sample,ME_green,ME_lightgreen,ME_yellow,ME_lightcyan,ME_purple,ME_red,ME_salmon,ME_blue,ME_greenyellow,ME_cyan,ME_brown,ME_turquoise,ME_black,ME_tan,ME_lightyellow,ME_magenta,ME_midnightblue,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
H171Fg01,0.07520228961354009,0.06035042205592632,0.05386035275425579,-0.027993505296007904,0.021759658612037613,-0.04835942342103899,-0.04859509259596043,0.11039629546184607,-0.018995819742064494,0.1022891906237965,0.15909775326424347,0.04198555854580214,0.01594701985058918,0.0416405538819437,-0.11521271890498162,0.03496250573577709,-0.026663667367316197,0.23448248931294735,HF,2017,30156,0.01246118,0.1304071,HF,2017,Spring
H171Fg02,0.0042467474071423705,0.5549425793923212,0.01666951358017199,-0.10802177093550658,-0.014543068528052316,-0.1329385559411368,-0.10221540850883959,0.0877398549158468,-0.13689243602056872,-0.22675795850115477,0.34040452361570817,-0.10115907275491254,-0.06953839123799349,0.07644807543679955,-0.2619962310074091,-0.2021685897815655,0.26066599552629877,0.2006501569958865,HF,2017,10481,0.009235177,0.177208877,HF,2017,Spring
H171Fg07,-0.027181413457769477,0.006948479092197646,-0.08279301351091217,-0.08200199385528684,-0.04854749551417947,-0.12332286441274232,-0.09928815717415773,7.098154522503786e-4,-0.05316891766167953,-0.01225743020868486,0.08593580468044086,-0.0030525547449271606,-0.05197033765518411,0.011685807854584063,-0.12685928403124813,-0.0181229691430681,0.1316627197456811,0.19322718528076366,HF,2017,81099,0.021030121,0.144519244,HF,2017,Spring
H171Fg08,-0.029467903875910306,0.27652526006249656,-0.10116922343033534,-0.12634249372866188,-0.07777839494690271,-0.14766984430794966,-0.11525188942511605,0.060685987680000955,0.03474499923942917,-0.1328240099219242,-0.056531250429456566,0.13389826170284735,0.039822421712608455,-0.09382467569672112,-0.19473147865018203,-0.09533632257543193,-0.2208873878725277,0.5350870058535818,HF,2017,81091,0.01509066,0.460714489,HF,2017,Spring
H171Fg09,-0.044618982763499085,0.01363331720047263,-0.11656718090179101,-0.10995204301444834,-0.04841664847025529,-0.15589416362796352,-0.13239151883186737,-0.04714705387703591,-0.055495180760082,-0.10261084335379428,0.03289036399583909,-0.057808675729736615,-0.10820039160948994,-0.0685004809268676,-0.1551209756444341,-0.11842705430020585,-0.05165256519720761,0.14552548313422767,HF,2017,60850,0.019897924,0.116563789,HF,2017,Spring
H171Fg14,0.031005799742295496,-0.036864802074383744,0.008274089846618163,0.006424680860876398,0.05576486320594266,0.033210543866768256,-0.015189148140298897,0.0455938943138632,0.08396472855536506,5.949396125611907e-4,0.08832374836262777,0.07395432805391226,0.058387388887608034,-0.012612625775242286,-0.08006398022455824,0.059722554218182025,0.09568928444278214,0.035852589232847586,HF,2017,150496,0.009089832,0.185359054,HF,2017,Spring
H171Fg24,0.09006018788183444,-0.10323583091319652,-0.05524353902803152,-0.06573774338700376,-0.02417684537496826,0.0021040632373352072,-0.048458652618618994,0.14719701963012063,0.28845929777382123,0.10799497806509413,0.10213369922761932,0.09616117616709025,0.10432722366682314,-0.0981531177065282,-0.07202923873901818,0.0681043878297624,-0.08553499856050417,0.043374711666795795,HF,2017,141939,0.001212585,0.046712676,HF,2017,Spring
H171Fg25,0.754667093327191,0.16248816561566987,-0.29670571088184255,-0.170503772269018,-0.14068432062458258,-0.16590269442081768,-0.166373649569891,-0.341999541850881,-0.14732310845338756,-0.15570786573009668,-0.2461724418408914,-0.3946574715198668,-0.4122877209608082,-0.22621680917964293,-0.2735562433197158,-0.32996135754604555,-0.29791767691965493,-0.24474292454629737,HF,2017,121716,9.98443e-4,0.048144357,HF,2017,Spring
H171Fg28,-0.029217802809817728,-0.19300914503335928,0.04057664782229915,-0.0747955302076839,0.020074580688059996,-0.07367448639302261,-0.09028882293337054,0.006947793228039917,-0.0699217552855408,0.08490162217107178,0.055097280916772996,0.04370593001014231,-0.06043027056131188,-0.11966185332787328,-0.12588909997270498,-0.0789418356133082,-0.09972647576917949,-0.04104186153545405,HF,2017,260845,0.005818461,0.042599623,HF,2017,Spring
H171Fg29,0.08409873453149108,0.3266520951897466,4.817002480929717e-4,-0.023055481419094696,-0.019650906738950428,-0.05612437454882377,-0.07816437157328414,0.039645942061590174,-0.0368108365240186,0.1367057515403414,0.18078392625835846,0.04616901589800808,0.047254095845587304,0.012659313520718954,-0.11439829998673447,0.04819841166459535,0.0730309253512158,0.07605194135267046,HF,2017,271124,3.12437e-4,0.007780705,HF,2017,Spring
H171Fg30,0.061027125467343846,0.024692479367419553,0.003121485426769373,0.12751973650200252,0.03567004283371748,0.09648098535311064,0.07565881725320961,0.05565028541481859,0.004360109831559792,0.011332721860207416,0.1369055900303202,0.05735936258711381,0.06569417382134857,0.027452889603772537,-0.05806564974477117,0.05151172498206451,0.10391176724669417,0.05324954927056983,HF,2017,281050,0.002839708,0.114597912,HF,2017,Spring
H171Fg32,0.1395241724741166,0.13820603309686277,-0.028456426584558683,-0.08061036648908199,-0.025239553408004343,0.04563910500236368,-0.07686529123757689,0.11612070571719971,-0.061431029080136326,0.49606291600466634,0.26320461166087644,0.11598375246323507,0.053100082994995024,-0.0020639676426222457,-0.05687317944541998,0.030941996256846203,0.021168979830341817,0.1558073338054517,HF,2017,281525,2.77036e-4,0.010498748,HF,2017,Spring
H171Fg36,0.017612433641728004,-0.10296049460296132,0.025353999856039037,0.006852110601661701,-0.07294579685432474,0.2658470741570921,-0.07433642409067685,0.07914038018354017,-0.01477380823226966,0.2755564216879458,0.05225345323104031,0.11626053354793203,-0.021677890783160642,-0.040646399264574425,-0.19478142984889094,-0.017812010870084712,-0.17694669856643264,-0.09674787335304094,HF,2017,241504,0.004337798,0.078684675,HF,2017,Spring
H171Fg37,0.017763483170738354,-0.06540586986826477,0.025247637616031028,0.010414101970799781,0.15561829644697098,0.26074278643247606,0.2410393654978791,0.058484963633272206,0.09138056561986924,0.0679291331436355,0.08186097123001697,0.08277710743852948,0.043973161781873535,0.006887828182708835,-0.10052749951616562,0.015056637547902794,0.08452297195672731,0.0015038903139914482,HF,2017,220932,3.31343e-4,0.009875665,HF,2017,Spring
H171Fg38,0.10289511547480573,-0.055751037013551344,0.018956719562011663,0.03146219280723303,0.0675701747255573,0.1903344861956186,-0.05546801915920858,0.12682448495935852,0.11997119784294479,0.06787959670009565,0.15019742856513596,0.16223622326667192,0.09326052132983056,-0.035432669807200716,-0.12796990067577227,0.0696284678250772,0.12722967220620005,-0.017253426771475622,HF,2017,211039,7.95138e-4,0.040090214,HF,2017,Spring
H171Fg42,0.07334321038884398,0.10751653589225764,0.08343588381360188,-0.05810513571490767,0.07279008010932005,0.18837290670982104,0.016346098554160415,0.10699638900704511,-0.021919017387130445,0.12351167957503799,0.12941234518941225,0.08384811900487885,-0.011849740045403352,0.046471845555078224,-0.1320705602236436,0.006719349569940335,-0.1136037719352528,0.03951632731153298,HF,2017,331632,7.81569e-4,0.048633394,HF,2017,Spring
H171Fg43,0.07249974565963264,0.044305979684007915,0.0828037418211645,0.2001950570853518,0.1068657616254187,0.20780692077690235,0.2038220617253598,0.11117478372390784,0.09278913428539984,0.08504330861760133,0.11626047145235026,0.10269822734124977,0.018527114701913157,0.07236413017968193,-0.05157352992860675,0.012177965228695275,0.14253138913290428,0.07325091307873033,HF,2017,321651,0.010753296,0.157859156,HF,2017,Spring
H171Fg45,-0.17176345444970811,0.022440311420350606,0.08122401554883502,-0.12077471518916083,0.8618364149182786,0.48065660999287696,0.5175802078642151,-0.04845217776926677,0.028817661755057865,0.35100949318816405,0.019905102123760243,-0.023998195684663996,-0.22060345016067748,-0.12825683773558214,-0.23098567366993353,-0.3298959043509732,-0.2248959867892418,-0.27997268287400834,HF,2017,351005,0.008636464,0.102353942,HF,2017,Spring
H171Fg46,-0.201766896841274,0.41084384669006546,-0.23230862813404984,-0.20913277921758935,-0.15874594617823812,0.023531467141366818,-0.20053290170639043,0.5218101436782674,-0.22171050614340188,-0.24274393012414902,-0.3351461886659892,-0.38959941600228043,-0.34904574522979676,-0.06515052223312298,-0.25930403870309887,-0.278667614132103,-0.2838856796416695,-0.272819705246805,HF,2017,341026,0.014778968,0.116131785,HF,2017,Spring
