sample,ME_green,ME_midnightblue,ME_salmon,ME_purple,ME_cyan,ME_pink,ME_darkorange,ME_paleturquoise,ME_skyblue,ME_magenta,ME_darkgrey,ME_black,ME_tan,ME_lightcyan,ME_skyblue3,ME_saddlebrown,ME_ivory,ME_greenyellow,ME_yellowgreen,ME_lightcyan1,ME_lightgreen,ME_lightyellow,ME_darkgreen,ME_orangered4,ME_blue,ME_darkolivegreen,ME_brown,ME_darkmagenta,ME_mediumpurple3,ME_sienna3,ME_violet,ME_lightsteelblue1,ME_darkorange2,ME_floralwhite,ME_white,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
H172Fg01,0.0021893426138605856,0.1789750564127032,0.024642815735317326,-0.04639107298281874,-0.07173382838141855,-0.03760039052711623,0.004038971332172863,-0.03487876563060082,0.8193616353443134,0.22493282136592754,0.3125350027641627,0.10702505759797354,0.20556715913223408,-0.09690192259143555,-0.20914397814214924,-0.17977426451546893,-0.08704856558689526,-0.13761913554020902,-0.10101291886830588,0.1050054502527849,0.08768894194492056,0.12313870332284864,0.2324302096860454,-0.08734064516433013,-0.03806230934991305,-0.22247293623062128,0.07380706792431378,0.1555871045626932,0.00958354121260824,0.10999172803938935,0.2221832472673236,-0.09547943005945171,0.3332313929654987,-0.017059305626578446,0.1177650757598366,0.02403836906743617,HF,2017,30156,0.01246118,0.1304071,HF,2017,Summer
H172Fg02,-0.9028938798424685,-0.4517194424190995,-0.2497089733510202,-0.23337474137867575,0.49819511137459677,0.5219186048161243,-0.3406778239496554,-0.13148659097527365,-0.15999634028529788,-0.4052484129281454,-0.39522088640210856,-0.5715801576749356,-0.46379842473304844,0.18836692861457666,0.20002443533724287,-0.157407134508985,-0.24072253162065452,-0.1562172852312517,-0.26853869638416716,0.21583752259430877,-0.16605301833240518,-0.3992115548119601,0.3887206056720056,0.6667121435235511,-0.07850967012382189,-0.168903475913179,0.1970473684291371,0.0645422999422252,0.6556947472152299,0.20925749697551205,0.42901802145376294,0.5248494632690106,0.45960852339701835,0.47303997536353454,0.8569519944319515,0.13741735408612707,HF,2017,10481,0.009235177,0.177208877,HF,2017,Summer
H172Fg07,-0.0862560128897757,0.0026323695907571544,-0.06956924258314709,-0.02099232566079546,-0.052731308661371414,-0.060509063008234366,-0.04952758980269694,0.2710851241456552,0.11641896772764831,0.08648100064882515,-0.028440911768118745,-0.018924860321809345,-0.01468290778650063,-0.05964858628654114,0.09407634856725257,0.03243776545733887,0.2730799830422661,0.11539786448972421,-0.055770097010588084,-0.04856508123486398,0.07646458178782738,0.14418615537695514,9.112231103230356e-4,0.11874844280242206,-0.10154843870340316,0.14832231720795852,0.06022940655107161,0.10410822317022642,-0.18911143295251923,0.03608898676108004,0.20430352602822688,-0.04912382919888319,-0.09814831885904532,0.23086082846981046,0.025124330000837972,0.026558266925613642,HF,2017,81099,0.021030121,0.144519244,HF,2017,Summer
H172Fg09,0.03819216106743467,-0.004879620591376625,0.05969159905784965,0.06713264886153,-0.03832861664245461,0.011985455492272262,-0.018504077480790065,-0.013803221756426504,-0.014535967706350503,0.2259254408705451,0.07188679919932123,0.10276452960212153,0.07731458542163136,0.11516330976997756,0.10421887257313288,0.5774510899707053,0.06720302852650986,0.08772527770568876,0.1666462175818897,0.09864201835992664,0.14175770500598353,0.09477070099281953,0.09957447777709091,-0.028806105058888143,-0.01002625016172865,0.29585061231647913,0.13551266255833,0.1287957633804641,-0.06863711946445043,0.17478052513920372,0.13508853499416154,-0.0031105682205011596,-0.030108865872018938,0.21660101523438238,0.004451073074970639,-0.43130064314889943,HF,2017,60850,0.019897924,0.116563789,HF,2017,Summer
H172Fg14,0.026752259775764013,-0.10341080334307283,-0.10136309225880341,0.014678177072533077,-0.09866172838823348,-0.30791352226582874,-0.13632637848238605,-0.19862933403164362,-0.06373627190677056,-0.051455790562210856,-0.05542272890352735,0.039865409410495836,-0.05494988293534957,0.09977514092027691,0.19188307091858853,0.4199952507239974,0.14751779947416213,0.48514803760950354,-0.06245588893392851,0.040902942167660265,0.13797971749820434,0.09335145511534854,-0.004996204586908523,0.01877302673414849,-0.07306334756385495,0.019200581298636485,0.033353263021528606,-0.04537507424006661,-0.11092750331016907,-0.14987924329861316,-0.11946523958938221,-0.010911461638584639,-0.1338576380914102,0.1811026232349861,-0.1438935339406139,0.16709100023177023,HF,2017,150496,0.009089832,0.185359054,HF,2017,Summer
H172Fg24,0.13195934922519184,0.29756431528231486,-0.11864522759122491,-0.6798848815224159,-0.1332553736233214,-0.07423631417708498,0.4887170406187892,-0.10830907791722517,-0.2675740221101535,0.14225133645010857,-0.3977316101207041,0.06664048140767403,0.37997301889626833,0.060551833345881545,-0.438947580608081,-0.2254737232249267,-0.12583675645770842,-0.2585087968488702,-0.11635429820353807,-0.45717864438930267,0.1753578160461764,-0.3906610524790875,0.4454352189597495,0.5406088977186343,0.9490491092485036,0.5113403104400446,-3.5903516622189975e-4,0.10110742438161043,-0.044348262649796244,-0.2921495249681438,-0.13989967474825948,0.12844300218901664,-0.22796394204664436,-0.35442611271660696,-0.08243236362393126,0.1553173592003338,HF,2017,141939,0.001212585,0.046712676,HF,2017,Summer
H172Fg25,0.07409915379151594,0.17182530897818718,-0.035440990000943466,0.08018335912939027,0.03804721197002346,-0.03231521172565559,-0.061568498789449935,-0.14911242946565068,-0.012577838477334886,0.30415669494062914,-0.03871368837875926,0.1235269739078469,0.14751135901322004,0.15494120310911538,0.15518289004403674,0.42095649784852074,-0.03243469559617861,-0.009943780606187051,0.2886573929356474,0.1608382151473878,0.18452973702827466,0.2443899126566584,0.1703148726969344,-0.12448847868285863,-0.006051232264837826,0.24482443726242126,0.12222089317143237,0.12118441860655581,-0.053757597442644196,0.2052558022598722,0.019353671809517647,0.0983323256666374,-0.03968909596379501,0.2011976306996655,0.09877688579884107,-0.5187390357428303,HF,2017,121716,9.98443e-4,0.048144357,HF,2017,Summer
H172Fg28,-0.009529944231443429,8.198737929292851e-4,-0.0023035223420682124,0.021989194846859277,-0.0802813920576778,0.03031525523046427,0.034982205878175944,0.07547902642826776,0.15185665079208582,0.09977537317306152,0.13121249777602337,0.09049698744134808,0.04482303202015798,0.014593072587705399,0.14268374723389662,-0.0909769761719655,-0.014879464866215336,-0.07078089987071505,0.04228076714249415,0.18640295391164743,0.058478098469369806,0.18018694650392786,2.4243136981483835e-4,-0.07487798318313707,0.022379450179667793,-0.09723076436118293,0.07742670302452168,0.0837305291557277,-0.03805208465747361,0.07087488932340842,0.12302322888985295,-0.10720803720521213,0.3305731508136176,0.14084789672923811,0.028313930445174114,-0.31729216900013085,HF,2017,260845,0.005818461,0.042599623,HF,2017,Summer
H172Fg29,0.14667551699432219,-0.1250981074404189,-0.08797291867892748,-0.13480229747840067,0.005719497860805842,-0.22549186404796234,-0.08121558886788757,-0.07853133635720519,-0.18226535579029776,0.12628094967862827,0.13550714174666084,0.046028576701010626,-0.04118578761297329,0.009974305638187035,-0.43600310403493514,-0.19857864490148427,-0.20807726811699687,-0.06789229633615657,-0.15348885479149685,0.10856210368336412,0.05750225900344968,-0.04317832305110817,0.11656337312105841,-0.03889211934945642,-0.020745978471986712,-0.27291091317948557,-9.301959514145269e-4,-0.64037820865778206,-0.050526435997159024,0.08192144091266935,-0.2615772510639983,0.049183508570970265,-0.22966962305242042,-0.21717184199844322,-0.09498543513789583,0.0029577592182928867,HF,2017,271124,3.12437e-4,0.007780705,HF,2017,Summer
H172Fg30,0.014991477660908728,0.03596001611331124,2.3606300760720166e-4,-0.06745638484566296,-0.047247031872988225,-0.1253138581311984,-0.111129619190948,-0.010869352206803228,0.19675199956178188,0.08981660693798169,-0.009754769324421996,0.05986929019350225,0.03919944809025269,-0.05636064578436842,-0.011279546980834864,0.0912672536836181,0.09592775056398595,-0.15849976463152063,0.001309754988076534,0.01996714282335813,0.05277256037233925,0.11097621953769699,-0.03774875496486577,-0.05386363155109048,-0.06239761933191295,-0.05605923688178663,0.004356716759726908,0.07694206084736369,-0.20634802151447168,0.1365018308445676,0.06978767568966257,-0.1075898715365263,0.023584810041119498,0.04528197829195621,0.0014320561126992444,0.2889745934784845,HF,2017,281050,0.002839708,0.114597912,HF,2017,Summer
