sample,ME_lightcyan,ME_salmon,ME_blue,ME_brown,ME_cyan,ME_purple,ME_pink,ME_black,ME_greenyellow,ME_grey60,ME_tan,ME_midnightblue,ME_red,ME_green,ME_magenta,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
H172Fg01,-0.04428756573312965,0.048889064683545695,0.05383377803743049,-0.07646535427774105,0.01432676779772543,0.10312325733394449,0.015199049736720486,-0.11441022876051049,-0.09624777891375752,0.05246125595140704,-0.08431778420237387,0.1115971224961682,0.202617698459528,0.02737787332865604,0.13386602880612042,0.21166172115448728,HF,2017,30156,0.01246118,0.1304071,HF,2017,Summer
H172Fg02,-0.06747656626282462,-0.6169509476123405,0.026656677957416407,-0.20433820811929487,-0.35070665878807694,-0.012051696730147545,0.14456477538054152,-0.1535194653369442,-0.1694551361591183,-0.130720111012373,0.20502109453665412,0.06752029764951101,0.21427377993826366,-0.011896033835014738,0.13537681248867175,-0.2457434942778022,HF,2017,10481,0.009235177,0.177208877,HF,2017,Summer
H172Fg07,-0.10264123175389221,-0.08972122640811014,-0.023530970560321676,-0.14779830299070595,-0.09523272439409167,-0.045360564338744906,0.16539166816766374,-0.0606319016272616,0.027352443435775114,-0.1771192334216544,0.14415890807623818,0.026773931795487402,0.17488777408875977,-0.012549591246304753,0.10226371313997994,-0.019766952727628496,HF,2017,81099,0.021030121,0.144519244,HF,2017,Summer
H172Fg09,-0.022383100904495492,-0.012462763646853125,0.001393528627239654,-0.12562677527796628,-0.031553805985499526,0.0036979449862366283,0.19438889516875196,0.006699594862313808,0.020494930165093055,-0.08216440769455079,0.17378069367297702,0.17390387173861596,0.2527777167091873,0.045473408630238486,0.1868166487184884,0.04760191062260993,HF,2017,60850,0.019897924,0.116563789,HF,2017,Summer
H172Fg14,-0.06729466459774863,-0.09963297213732457,-0.10142575934958074,-0.1756433165029758,-0.09564905107778286,-0.12626737696598725,0.18457108650852658,-0.09288030842671595,0.18861732505676448,0.22579166166326278,0.13720680333993673,0.0519471519255562,0.17399388175297642,-0.004616829551491077,0.04591502954560501,0.11327036749761603,HF,2017,150496,0.009089832,0.185359054,HF,2017,Summer
H172Fg24,-0.1877457471555116,0.02026964889013111,-0.19535014647732632,-0.13898612225683846,-0.195743485777629,-0.0476536265598762,0.021289350150218263,0.012340275710579022,-0.1454734341546722,0.2546495118021919,-0.27331383545869026,0.13491617216309765,0.18895890448864808,0.9129200248719102,0.15086193250621643,0.09742648833128356,HF,2017,141939,0.001212585,0.046712676,HF,2017,Summer
H172Fg25,-0.08950588353797168,0.03295806886903395,0.0014840270301237195,-0.1342191384077945,-0.023896964454060428,-0.0067484849899225,0.20657360583872497,-0.023008182116756846,-0.0013676777943188586,0.1219052940006134,0.1686568387292915,0.1890281885633999,0.2712056403430318,0.07606004676679869,0.2021793400935104,0.0362922370588723,HF,2017,121716,9.98443e-4,0.048144357,HF,2017,Summer
H172Fg28,-0.030661980080665015,0.004592903218372782,0.027135396014252855,-0.0959974266841556,0.01611349748005129,0.036690567115112926,0.08698186347248314,-0.10480938886035615,-0.07706564015600842,-0.17713034486598284,0.15337175211237486,0.07999428265524773,0.163330819376737,0.0654554042800222,0.07218293012548035,0.09659444369487429,HF,2017,260845,0.005818461,0.042599623,HF,2017,Summer
H172Fg29,-0.061615195594585635,-0.03680728568410096,-0.14964988280670563,-0.21874940496859693,-0.11200164533357425,-0.017708122434921116,-0.03005662999612265,-0.17292079060753773,-0.0936612991564259,0.18878039437689223,-0.22971447838078846,0.09441169347028958,0.17905039019897545,0.04362454319626586,0.05750723399746425,0.054932437970449464,HF,2017,271124,3.12437e-4,0.007780705,HF,2017,Summer
H172Fg30,-0.11204766056732632,0.01764605218274724,-0.0548746848890949,-0.17747862109797347,-0.02718853645499052,0.01730633257793239,-8.551349522824212e-4,-0.11257349332958637,-0.15732998688437214,-0.019404625896730945,0.1278407256373705,0.08783860070908395,0.16250611358380057,-0.016852620329331495,0.0703191514678447,0.09002459203596981,HF,2017,281050,0.002839708,0.114597912,HF,2017,Summer
