sample,ME_lightcyan,ME_salmon,ME_blue,ME_brown,ME_cyan,ME_purple,ME_pink,ME_black,ME_greenyellow,ME_grey60,ME_tan,ME_midnightblue,ME_red,ME_green,ME_magenta,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
H172Fg32,-0.12208847924013468,0.02853094921856326,-0.10743125798130694,-0.19771162387558672,-0.07013723349193407,-0.07862617360068684,-0.07056104123358722,-0.15286741453791003,-0.14202540243783887,0.05562230942689462,0.04732606178070292,0.05108818857163067,0.11831758296881098,-0.006520904276074817,-0.013681662352250268,0.05324041464071183,HF,2017,281525,2.77036e-4,0.010498748,HF,2017,Summer
H172Fg36,-0.0837231461252667,0.055850967423759744,-0.00728414946142286,-0.14757485928711453,-0.02929585000119701,0.016642779312930244,0.052458884272461516,-0.1220696303391031,-0.006789386654188529,0.2229435812892796,0.13942833468182408,0.052852411710138734,0.13013668235030018,0.006001489622240267,0.08997996577287398,0.0987936403612119,HF,2017,241504,0.004337798,0.078684675,HF,2017,Summer
H172Fg37,-0.1943348083717312,0.011918686785086317,0.05262050312597986,-0.14618089491260886,-0.17203402819801278,0.13540416861027701,-0.041641366606699794,-0.19439553028672618,-0.18944870006187853,0.20124918788603685,-0.24328699166195952,0.015708776469411562,0.07823312619247066,-0.013651537109934836,0.08541379733592645,-0.08744066870777104,HF,2017,220932,3.31343e-4,0.009875665,HF,2017,Summer
H172Fg42,-0.1604957871961871,-0.6148725133797912,-0.5704219388949467,-0.35775964116895886,-0.4103589290591916,-0.49248163909931975,-0.5219036897685962,-0.28078572120309114,-0.35683015337611496,-0.055730582706450774,0.061596177833390914,0.11315718790894125,0.004846750861345184,-0.1540502946088928,-0.5634732124707162,-0.6910282528227999,HF,2017,331632,7.81569e-4,0.048633394,HF,2017,Summer
H172Fg43,-0.15248194806849635,-0.07797421222341187,-0.08629229505854856,-0.16142901643233692,-0.08435148677270746,-0.06030447004968645,-0.036043983851410034,-0.16649594560491884,-0.1743814050779799,0.13512273260632499,-0.16592013201053404,0.0021674537254604592,0.1258449157992234,-0.03787382787863354,5.876327889166243e-5,0.06442650240501711,HF,2017,321651,0.010753296,0.157859156,HF,2017,Summer
H172Fg45,-0.03333014509195904,0.0010499009019735673,-0.027322124689713286,-0.10508421347076473,-0.018711056184777922,0.016224614175666126,0.1281397956910868,-0.01568938970366501,0.20414237378666447,-0.09342358300226757,0.14635788796666735,0.07364719430564971,0.12678135680053051,-0.01683783017421992,0.07965750750339899,0.07135974082976813,HF,2017,351005,0.008636464,0.102353942,HF,2017,Summer
H172Fg46,-0.1120208210638416,0.020720679681677477,-0.06039681281507233,-0.11403576933137587,0.00447932733415253,-0.10688020061362977,0.20372898289264812,-0.08960605290581496,0.3836021797258582,0.14026887574145402,0.16912172080468943,0.18517692160209426,0.1982930511723843,0.03569711093113615,0.05482054940042187,0.07590086593551186,HF,2017,341026,0.014778968,0.116131785,HF,2017,Summer
S172Fg02,-0.05816785579706349,0.009212967854224275,0.09654364030322038,0.14349637522604208,0.10999448886475381,0.05879133998396774,0.0971651753070005,0.19035806745151299,0.09540440081399533,0.16314687393578592,-0.24728083388657027,0.0181836014189467,-0.13150045859751328,-0.03556505899537021,0.11484709226011942,-0.17648556023582931,SERC,2017,130632,9.92e-5,0.00218306,SERC,2017,Summer
S172Fg03,0.05123817891430377,0.1751974191420062,0.1744270118660642,0.2150021216179847,0.21821543610088537,0.1972207680525376,0.09453522080684482,0.16714560351635185,0.24755002724835684,0.030625621449570133,-0.07266085846417615,1.8903622523862323e-4,-0.05904930846996838,-0.008852689819319096,0.10429645333486362,0.0029036364428911728,SERC,2017,140981,0.053608108,0.511960595,SERC,2017,Summer
S172Fg04,0.0367800403216612,0.13490874388799368,0.17702307245605878,0.18604743171928126,0.14838307465420028,0.15994341064474796,3.729499353406514e-4,0.1993077008238574,0.05168137588608688,-0.06145534855200373,0.14167715735815414,-0.03043880298308727,-0.14132674540852502,-0.0659377265916048,0.03243795136526574,0.07574143103997721,SERC,2017,142546,0.023178461,0.25218234,SERC,2017,Summer
S172Fg05,0.013492963210224274,0.09051126903304071,0.07310615634330307,0.11926198431861518,0.17171959602159367,0.061140883306230125,-0.017360298684478408,0.11417796910594467,0.019965213248591504,-0.16996440466285584,0.12578172793760428,0.009833292940941577,-0.1361035373525804,-0.04491743820874698,-0.0061962616344855915,0.07195525363305512,SERC,2017,150147,0.012073554,0.33007164,SERC,2017,Summer
S172Fg06,-0.13265073574261654,0.11198829853608858,0.09257075547667802,0.04919672650275357,0.19200127484879556,0.08377410377375413,-0.21622993353484626,-0.17938973257169158,-0.2312312618719713,0.14580034088691457,-0.23593724107200714,-0.06958891243275069,-0.1491649559480314,-0.08626183366657096,-0.21404865061418388,0.10137928524613321,SERC,2017,160234,0.031730028,0.228079299,SERC,2017,Summer
S172Fg07,-0.18858731665622713,0.23353273464866603,0.3922069193562238,0.3626239223319723,-0.514142163910536,-0.5368192618143339,-0.549143350448971,-0.15719829248867245,-0.18904072226692578,0.2501422304298871,-0.3173066411785352,-0.607610500567396,-0.2618208732112889,-0.12463820427405814,0.22619658761122793,-0.4322674864747232,SERC,2017,43245,0.021575559,0.46197039,SERC,2017,Summer
S172Fg08,-0.005910015586432884,0.0836340906361117,0.10758984074593167,0.1406818944921033,0.11427401335354392,0.09329637319588747,-0.09170442379082544,-0.01723675767444658,-0.047909838539372994,-0.06803465594963078,0.08799820260943458,-0.0445412876944417,-0.14592626730919867,-0.04897743229478722,-0.06222179204184411,-0.020725577951822286,SERC,2017,43247,-0.197717799,-1.2630024,SERC,2017,Summer
S172Fg10,0.060831233441698725,0.051626035322718915,-0.058986832043614726,0.005535619516436051,0.0929899491810533,0.004665415324591552,-0.045028584267245854,0.06379475208121889,-0.012385840978167325,-0.08189082157940869,-0.11011586809523911,-0.007784764771108156,-0.1106639580274794,-0.04357765067390526,-0.043702457494088486,0.13219558474150578,SERC,2017,43420,0.001760353,0.15364582,SERC,2017,Summer
S172Fg18,-0.08221511621569462,-0.032811025367345786,0.1249801020269468,0.1133699932914743,0.15007447528212164,0.03266268837978197,-0.03751984273704756,0.05593486601269783,0.14011330063793617,0.16195468569139648,0.03927883569065322,-0.006964701619446114,-0.2291212570185526,-0.16015365096296924,-0.05564067530016787,-0.12577599886103408,SERC,2017,80469,0.007559258,0.04228561,SERC,2017,Summer
S172Fg20,0.07547239233948488,0.16067890663218679,0.11945957336425529,0.18960060688825756,0.15678176451197273,0.16103020903774354,0.058135730720333165,0.23371234518728556,0.18218983129961153,0.1326790932648501,0.06688095682418581,0.10680613226637137,-0.02756873472806561,0.08904187004578532,0.03263170338952115,0.12726553356449954,SERC,2017,40756,0.00108798,0.08246182,SERC,2017,Summer
S172Fg23,0.08791731509171777,0.09172798484251272,0.05038205250470859,0.17705798446204882,0.07632902924945338,0.1400140021151897,0.12853364581430174,0.41764924463527303,0.23463907893666686,-0.04581098076468175,0.026855917331399057,0.06423737874649588,-0.09918320727570172,0.05804973085039451,0.028390048584242815,-0.0019513487635586543,SERC,2017,41628,0.004363547,0.16186371,SERC,2017,Summer
S172Fg25,0.030347126341198544,0.08132961745127007,0.12094837275612276,0.1974901482057637,0.1471371618051664,0.15639030054084282,0.1115651094885464,0.3442801336104303,0.2366734601304076,-0.14200346372295242,0.0918599246414278,-0.049068099460403754,-0.17053355429294584,-0.03369273170399028,-0.011416084865650853,-0.05275300699478019,SERC,2017,41489,0.002227916,0.1049022,SERC,2017,Summer
S172Fg28,-0.046704881682809916,-0.03266827263661115,-0.1084778066405568,0.1061849640277996,0.006970617619195399,-0.052687571185852385,0.05200651892019842,0.21018036601014656,0.1721376889882991,-0.5161392423068004,-0.17277912849346538,0.023472667829314616,-0.18662808888932855,-0.06647484613245912,-0.014247044702532376,-0.10966578194750348,SERC,2017,31048,0.004112243,0.08001773,SERC,2017,Summer
S172Fg29,0.12090560869296767,0.02411900337755911,0.03130352182536953,0.1136243256597404,0.04611216669221042,0.12822285890090554,-0.2007867868772785,-0.08022935882022576,-0.15838970649041145,0.03292338205732182,-0.1574171638919731,-0.18053031543195022,-0.20039932942982655,-0.09299043977957641,-0.2764086266045568,0.0390703247976531,SERC,2017,30971,0.001985306,0.10621848,SERC,2017,Summer
S172Fg36,0.29927517460558206,0.10026739699602094,0.12401428636484702,0.19006143179179258,0.19942423591435188,0.1567418632732106,-0.04717818803984996,0.05995331816605451,0.06005719387911051,-0.1702598572870891,0.061724437625026864,-0.01112228922571031,-0.11105497267112005,-0.03733753013370449,-0.043298315026881126,0.08303785021033912,SERC,2017,20948,0.016896425,0.24406925,SERC,2017,Summer
S172Fg39,0.3263667430692006,0.044789367073622945,0.08206292791684776,0.10342762131034593,0.11947686258847504,0.08356130459054548,0.003041075366596393,0.09810996643922605,0.10897709429104134,-0.0963516168029179,0.12505761347898103,-0.062429119355328584,-0.12199381517444786,-0.06795366089631857,-0.05067653457296634,0.0014922475994774303,SERC,2017,50913,0.010167921,0.25712059,SERC,2017,Summer
S172Fg42,0.19487333885063665,0.06208572347336448,0.06394600841085213,0.1500535313805356,0.12641908993801643,0.10156566545057115,0.10197028071520588,0.2444507833284902,0.07634346786387632,-0.22897778008086536,0.1427727116995869,0.011045979237323629,-0.05446639851618958,0.02777926850032154,-0.04167440191131088,0.06830656586671285,SERC,2017,70361,0.001706904,0.11000587,SERC,2017,Summer
S172Fg44,0.22059247067378926,0.02890829776916598,0.03576491113693636,0.11611326190017215,0.11381339509561408,0.052369753375213705,-0.002657864736926794,0.08673276487392857,0.03513034103920937,-0.1255202309365803,0.08384705776187876,-0.06076999299837424,-0.1362175769693507,-0.019520457359379198,-0.08636622778460909,0.014328925123681644,SERC,2017,71429,0.002905544,0.18931849,SERC,2017,Summer
S172Fg45,0.6402780674741493,-0.11304355943555551,-0.4780084019785975,0.0462487444196703,0.005967395550729918,-0.41689141567471244,-0.14194254482802737,-0.21411016661337542,-0.2360383554598208,-0.07396574121428648,-0.35755058533413636,-0.6146487495844187,-0.29333314579485875,-0.17577995052110987,-0.5229672933498914,0.1344021289609416,SERC,2017,111002,0.022916986,0.65629826,SERC,2017,Summer
