sample,ME_green,ME_darkorange,ME_darkred,ME_lightcyan,ME_darkgreen,ME_midnightblue,ME_darkgrey,ME_darkturquoise,ME_lightgreen,ME_saddlebrown,ME_black,ME_orange,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
H182Fg01,0.016634364962602743,0.1513053139308563,0.07642209868499523,0.06668869384928605,0.012290959914663691,0.05926501777250376,0.018210050015079957,0.07262539183667972,0.03271888044622378,0.16564826134201455,0.07896231503843654,0.08741603850308234,-0.011759355172387851,HF,2018,30156,0.01768953,0.188287123,HF,2018,Summer
H182Fg07,0.01940052919453459,-0.005473927607885914,0.032888236723610076,0.05539532493086704,0.07217410809250689,0.06112555237116272,-0.07437699323799545,0.06295076408190034,0.058104370129821566,0.20891879904323327,0.059042801227022317,0.06963839795879134,0.12129804238913246,HF,2018,81099,0.021665351,0.152604713,HF,2018,Summer
H182Fg09,-0.023571354128879757,0.02615118369571355,-0.003217270718192476,0.00439676433037864,0.023505665134154783,0.02689338941598509,0.010553882355302536,0.05490764996861563,-0.01402805552793677,0.18944222240387756,0.009110935428620558,0.02535175261558054,0.03839681427809938,HF,2018,60850,0.034797181,0.209816186,HF,2018,Summer
H182Fg14,-0.5889536475113484,-0.12608400842947703,-0.594272476980941,-0.4560903718083079,0.5136918022023984,0.6031833811763367,-0.22259095885897004,-0.420062875411365,-0.46527256839371894,-0.2705135131653332,-0.49817061181815037,-0.44246251083044474,0.5478534275223433,HF,2018,150496,0.01239828,0.256107849,HF,2018,Summer
H182Fg24,-0.017311696147985226,0.08661007924672615,0.014702605466973113,-0.005981427307179676,-0.046850114097425316,2.755727475262049e-4,-0.056274453662151,0.018284834162364087,-0.01307565274680261,0.18862708396351469,0.0012748828889068246,0.00563197644721189,0.1397360576361802,HF,2018,141939,0.003485707,0.134702427,HF,2018,Summer
H182Fg25,-0.10956313146233489,-0.1421197416739565,-0.04010738085526145,-0.10783266161133889,-0.2863482765025385,-0.030436888019832638,-0.14389764942257555,0.07433522857199339,-0.1528710337559523,-0.1804869455358887,-0.09412397764322135,-0.11152199282384927,0.056075860776956615,HF,2018,121716,0.001260663,0.06091392,HF,2018,Summer
H182Fg28,-0.2102833404921448,-0.14550471568784976,-0.15497346704838694,-0.09253324728033968,-0.32607633634282934,-0.1421598687802183,0.08426152528516397,0.0857425128357056,-0.19000044123434304,-0.20650489990198845,-0.19817602903792034,-0.14267060523137318,0.15853339648966527,HF,2018,260845,0.014533972,0.107637779,HF,2018,Summer
H182Fg29,-0.05531962197534692,-0.12361728010094394,0.07901834974957904,0.0462828699396099,0.07826714263177335,-0.052375053483124566,-0.019372200100865038,0.02705070217043043,-0.020992808494545323,0.18913176709401364,0.06409428319407735,-0.016719310169479595,0.1077631732136843,HF,2018,271124,0.001641891,0.040945645,HF,2018,Summer
H182Fg30,0.08151959958657652,0.028037316380479148,0.0664575250635201,0.07832352347853432,0.087521877976766,0.06667634196597233,0.30751164142054904,0.03131263276817154,0.07171946710534215,0.17122908188687158,0.09288892162129152,0.09287399343525998,0.1295270950160363,HF,2018,281050,0.00478918,0.194231083,HF,2018,Summer
H182Fg32,0.06209409639771403,0.1710991075967696,0.07677377820719422,0.06501468623429536,0.07309429232423849,0.03681440718809949,0.13500182744394337,0.07043342503983203,0.03785328087818546,0.1810697973562437,0.07413973022061036,0.063005158133834685,0.16047234600592816,HF,2018,281525,7.41348e-4,0.028352093,HF,2018,Summer
H182Fg36,-0.427345494658552,-0.08203111026585376,0.23152011599923203,-0.46637183904701895,0.23478108122366798,-0.4270679345277203,-0.2168846170499944,-0.3595863225125095,-0.34855523686575646,0.05709903690797059,0.30121791243410606,-0.41212440724549704,0.18433553989465798,HF,2018,241504,0.00536074,0.097757205,HF,2018,Summer
H182Fg37,0.07851847268865372,-4.243051966371529e-4,0.04424643683736274,0.060887923848153135,0.058648492559445355,0.04623825034527719,-0.02220835956986775,0.057629534320711495,0.05518792956469231,-0.16064555062877184,0.05294358969641559,0.06743551943048308,0.02064255800128999,HF,2018,220932,0.001014794,0.030282839,HF,2018,Summer
H182Fg40,-0.09294106827548466,0.07248073781796249,-0.028154200835343358,-0.011269164809835022,-0.07392522636728821,-0.04806904015421084,0.06365964885149217,0.02374438408996354,-0.061021192845874074,0.11494565165488808,-0.01962256303923202,-0.04258568269386235,-0.028015377635826417,HF,2018,31078,0.012340858,0.333827096,HF,2018,Summer
H182Fg42,0.4315068540967989,0.8498757404635794,0.3724924140909527,0.5015580225449089,-0.43258719900060283,-0.424429468381735,-0.16879473310817786,-0.4868576105018197,-0.5089421593650472,-0.20324338870634956,-0.49846508435685677,-0.43653138434043165,0.12463499026277236,HF,2018,331632,0.001475846,0.092051239000000007,HF,2018,Summer
H182Fg43,-0.05654186134788147,0.01918148705181636,-0.026332324649166,-0.0350175236998298,-0.12103747224736042,-0.07423186135673364,-0.12837883661810467,-0.14840702580855444,-0.11488979368366145,-0.21980085872607938,-0.07941365706706498,-0.08532389239587189,0.011847905710173863,HF,2018,321651,0.014024107,0.208581523,HF,2018,Summer
H182Fg45,0.04063279725765118,0.1363498449606388,0.04744372155240455,0.06919914477785308,0.027605585227538507,0.05814732473581673,-0.09291575547172488,0.03095638597420305,0.04677720437837381,0.13109374139894925,0.06288369402255527,0.08143584898418246,0.08896172252340541,HF,2018,351005,0.007490891,0.089577616,HF,2018,Summer
H182Fg46,0.4008558499793358,-0.14208396613701546,-0.5935441592479056,-0.4878794983756788,-0.432085905973965,-0.4302449693936449,-0.1647978792632411,0.3209419510215673,0.45604877913565633,-0.2295698845980997,-0.49633857905353973,-0.44655412823314167,0.41593021292330473,HF,2018,341026,0.011525128,0.091973919,HF,2018,Summer
S182Fg02,0.060932695482191594,-0.08491818963504803,0.08080822952798035,0.052845443084725045,0.09024442457124918,0.06456447616782364,-0.0994633891139792,0.05506432289563753,0.08916656271838862,-0.1557193967771565,0.09945098885203049,0.11894743252473879,-0.12205740361253159,SERC,2018,130632,2.25571e-4,0.00496399,SERC,2018,Summer
S182Fg03,0.12273067856407263,-0.01446535805397263,0.10346417138234885,0.07404159975987257,0.11079800638684703,0.09319082483211243,-0.11477298978702262,0.07040851830241122,0.15763270055100637,0.12428794494522821,0.13054769948482717,0.16033366847359978,-0.14400161823008747,SERC,2018,140981,0.026852035,0.253352489,SERC,2018,Summer
S182Fg05,0.05661830448567994,0.02548248548517806,0.05269700849084153,0.052475903117656056,0.07840970214144072,0.055519790443863105,0.06760582794848553,0.06409675467841257,0.09246589910582244,0.1742237655683644,0.06850651918395563,0.11587819058051069,-0.14461575913648428,SERC,2018,150147,0.011099398,0.30712148,SERC,2018,Summer
S182Fg06,0.02786796613114981,0.03364834649202832,0.03524867016793364,0.03722498815080734,0.0025201214580912196,0.04869177292844679,-0.08563677302365595,0.071224975315807,0.05036723276852558,-0.15254723694253497,0.06674022880333724,0.09693048268367235,-0.12111275033722439,SERC,2018,160234,0.05258339,0.394748297,SERC,2018,Summer
S182Fg07,-0.0037351954993232947,-0.15121373871594404,-0.10389986619766148,0.019333751825774743,-0.11709164545974705,-0.010072910899182047,-0.14585129538757355,-0.4864844176986651,0.07213938246375808,0.1570660515113253,0.03769777667984251,0.02588958142853844,-0.1622219337997987,SERC,2018,43245,0.0203423,0.44507626,SERC,2018,Summer
S182Fg08,0.03858044771139322,0.0282646450407754,0.022792271195436406,0.05443409207235134,0.037431950448192856,0.048153018751087885,0.029089549912103767,0.04310779024308039,0.10549699526333627,0.12806201748984908,0.07141219043467079,0.12108182119709855,-0.05231066256565637,SERC,2018,43247,0.002095766,0.01344353,SERC,2018,Summer
S182Fg10,0.03710167281486926,0.06933345870237283,0.044300315741725556,0.06679742148426712,0.038402300017995245,0.049725014773242975,0.07570403725791072,0.0934920582007225,0.09110098468476652,0.13740286657997308,0.07837775842083983,0.11390513374587091,0.054867230613449273,SERC,2018,43420,8.2209e-4,0.07193787,SERC,2018,Summer
