sample,ME_darkgreen,ME_tan,ME_blue,ME_midnightblue,ME_skyblue,ME_black,ME_greenyellow,ME_magenta,ME_darkred,ME_lightcyan,ME_saddlebrown,ME_white,ME_steelblue,ME_darkolivegreen,ME_darkorange,ME_sienna3,ME_darkmagenta,ME_paleturquoise,ME_green,ME_pink,ME_red,ME_turquoise,ME_darkturquoise,ME_orange,ME_yellowgreen,ME_grey60,ME_salmon,ME_brown,ME_darkgrey,ME_cyan,ME_lightgreen,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
S172Fg02,-0.17351781628047036,0.012816302153550502,0.06354331387649223,-0.1252130976639445,-0.595070729605288,0.05367171508903339,0.2270778416391672,-0.18755587751064112,0.11475316898493726,0.1896845322869161,-0.5571376914339072,-1.5901824789979832e-4,-0.16542998516851934,-0.18725579783447047,-0.10431042144491884,-0.13414785707545593,-0.11983974040425409,-0.18608496271269692,-0.4397732311263222,-0.16812962916608962,0.12431473584901007,0.22358269603497877,0.8059765556155776,0.5426694967998539,-0.21486396688076634,-0.20404383386296357,-0.2023786586596538,0.24023829298894395,0.3540377495332046,-0.08804033662833488,0.11109347876873941,0.014422785987634272,SERC,2017,130632,9.92e-5,0.00218306,SERC,2017,Summer
S172Fg03,0.024678707542413407,0.19355810654740827,0.04523063205971644,0.027766315935627377,0.09362473660738359,0.16182840324037343,0.16757941104355234,-0.07690166971503976,0.12895705113956452,0.14400543379555697,0.12804298948029713,0.11035007776181249,-0.03579958496547808,0.0265321356424663,-0.024070622720097478,0.9164807216260243,-0.13304588444689563,-0.04700308044336006,0.07104191940005222,-0.045095572641218405,0.18647928115208745,0.15532310638986416,0.18884083743782545,0.4007744679415613,0.14571123348760318,-0.07971963205187663,-0.028720134461390632,0.1884537279401673,0.23047675276184182,0.22376645981674817,-0.1124848215963147,0.1057121924790907,SERC,2017,140981,0.053608108,0.511960595,SERC,2017,Summer
S172Fg04,0.06327086580776695,0.09810478896751566,0.03426105228698013,0.06557693560590022,-0.01616836437259015,0.03310905206765674,0.12332677829490829,-0.06749910967499168,0.07647048711403438,-0.01251004732821198,-0.0037056963925917287,-0.008414290618325052,0.09438886351751888,0.007995826879485276,-0.10209758765938413,0.07410897806810028,0.2649841634469856,0.8242886366056217,0.1611745932877541,-0.08765923783684483,0.08530290402637077,0.10759595402659475,0.28924955672774916,-0.14537482088271747,-0.12285027743501349,-0.04633096471633739,0.21755409040132487,0.00219273536914675,0.18629492253696348,0.008282220315455054,0.0267934172811182,-0.0396552984097627,SERC,2017,142546,0.023178461,0.25218234,SERC,2017,Summer
S172Fg05,-0.050349789567355224,0.07970530589518626,0.011691997450201353,-0.05673249905498288,0.10120822715804932,0.04104272530475762,-0.013987306757569937,-0.029144518412040618,0.06507458389057516,0.014034059146817579,0.0500619214532059,0.011253575855516501,-0.03529828240833446,0.055394075568703655,0.014954779508660955,-0.03038020760478992,0.8518524309535791,0.023595152648644587,0.11050099984668393,0.028387855116266132,0.05696653720488873,0.06942882708987376,0.06929029505519335,-0.10332138262643266,0.10048603837147167,-0.06640242371825397,0.04399863128136374,-0.006096705884208874,0.0279454231729937,0.07640249105444319,-0.03731957608732418,-0.004636941147875599,SERC,2017,150147,0.012073554,0.33007164,SERC,2017,Summer
S172Fg06,0.543739446605716,0.2380703558380267,-0.248781867069567,-0.228058478692197,-0.04039884330421221,-0.5428982781719118,0.07212419621728271,-0.18418530083513027,0.1823321683925916,-0.058499900828955155,-0.08281365435635923,0.21440620564860627,-0.1389856798084258,-0.15108774862544289,-0.11439369907631239,-0.12009818388327054,-0.018028676820152932,-0.1809599742610393,-0.06398732215217134,-0.1647728328102764,0.39288529202579986,0.168668383430386,0.0021475124358009737,-0.21951198077133932,-0.20587744409999223,-0.10172121779154795,-0.30185234524652643,-0.41516069684466744,-0.41561344425281754,-0.4249477819275093,-0.37051982023328567,0.07820435677105203,SERC,2017,160234,0.031730028,0.228079299,SERC,2017,Summer
S172Fg07,0.6941437819533137,0.3860005069137737,0.8635650064198466,0.70487864390951,0.30342387478425864,0.28527826317769245,0.2708470282413203,-0.2765632093883207,-0.7236761404458986,-0.8797023415122859,-0.6655613660842733,-0.5918557750107498,-0.22858942187844325,-0.25962301047904024,0.0019736379095772983,-0.15926749614407223,-0.2138302533201776,-0.23284243721125486,-0.5003955395817931,-0.3045424624648997,-0.48550574953610975,-0.6852874189737996,-0.19471509161797407,-0.30704150284039794,-0.28275162005274157,-0.26162517144879904,-0.2504429901101405,-0.5077970621923734,-0.4127352795126129,-0.3910257417994864,-0.1226128078782475,0.4959536254285294,SERC,2017,43245,0.021575559,0.46197039,SERC,2017,Summer
S172Fg10,0.0556720082586198,-0.052473295706515675,-0.13043969293872779,-0.07962509930244173,-0.05559234500074208,-0.10392201530508835,-0.051339246795125325,0.06000616401753979,0.031009238982604583,-0.019655262458049032,0.007895611294587795,-0.05591083464969722,0.7763315248558311,0.007993721590594624,-0.05383498048829841,0.1391660295822872,-0.025427796064921467,-0.13940457285693789,-0.0014164364048049546,-0.05860338029835824,0.006645429851055421,0.02015440674960133,-0.07952697683225786,-0.1264242260688266,0.017395489818333026,-0.09868066252716619,-0.18466957720005112,-0.09125557536905338,-0.04649324071405012,0.07937550415282035,0.15941874765954692,-0.1407782482879904,SERC,2017,43420,0.001760353,0.15364582,SERC,2017,Summer
S172Fg18,-0.14518156474981714,-0.40636538673658545,-0.30795118231601204,0.4761527987305521,0.18514283275441762,0.1923501994303083,0.10887802751962378,-0.29896839350194265,-0.5185181503959289,0.18905413986602873,0.18080886212773892,0.21883850923492834,-0.16258549548200368,-0.23785426041129484,-0.18178334074910268,0.05008494956974672,-0.18574687760481684,-0.23203800257565685,0.32209806684976294,0.8682894808168533,-0.4668492136224697,0.183642657139139,-0.21877616389016702,-0.21264633314649606,-0.18174561434887715,-0.1988284156863489,-0.055021760150350756,0.3265407293168794,-0.23415961876750288,-0.41854727894989224,-0.2822746975759858,-0.3377633820475563,SERC,2017,80469,0.007559258,0.04228561,SERC,2017,Summer
S172Fg20,0.04569187763325212,0.14255369329420214,0.060281159674262584,0.04648996798153233,0.18311010829262694,0.1322846354929078,0.11825335462203886,0.029441962006532242,0.1336322815411185,0.1200604881279758,0.12943290952535452,0.17946798602474015,0.2366429864508741,0.03663590202812775,0.10150029939229552,-0.053979115464919285,0.03047408803575399,-0.028018660415413017,0.1973622276088639,0.11269806939410919,0.1380365084071744,0.14056189238380967,0.03131212988138306,0.11890901517249258,0.11361400757163576,0.41084636487629567,0.16185871456547946,0.12232871537928884,0.07091758230766637,0.26438824693266405,0.3163255923094328,0.11626547832773525,SERC,2017,40756,0.00108798,0.08246182,SERC,2017,Summer
S172Fg23,-0.16825158010181485,0.006318354996237637,0.024356568803163243,0.05664017341387413,0.10439189198098899,0.12659424653380333,0.04743855959206666,-0.04210462672525765,0.09641527768665607,0.06562949559370838,0.11106941490304784,0.03715106921042483,-0.07717883546282014,-0.10162457159643988,-0.0888172199818098,-0.12689457003689641,-0.09849943739526718,0.06705379308487908,0.15289498107103086,0.021696641909859354,0.1555333930928284,0.06751049453472267,-0.11887244818956859,0.1981638563290809,0.09912733506620616,0.6979998099488167,0.45376457369021694,0.1988552435079864,0.27750973676311214,0.23090936787527624,0.3964179023844346,-0.04577162497086322,SERC,2017,41628,0.004363547,0.16186371,SERC,2017,Summer
S172Fg25,-0.09522134592465495,0.08747608404950065,-0.01322306116459315,-0.061028451825845854,0.03130301845132889,0.09148185597036014,0.07828665133533755,-0.1167484004801206,0.061140287601467676,-0.016842403723858836,0.15256173828383568,0.025800974971807656,-0.18105061606621134,0.04512283028628658,-0.09604072387957857,-0.004523672945145235,-0.02340460414329317,0.0886160354490132,0.16182366475317359,0.030807547194337186,0.08949313445896727,0.04315677878954417,3.4002068902764127e-4,0.17642828738980493,0.1820392483824544,0.045254317819981155,0.47480107067906047,0.17915307249186888,0.2586042071499825,0.20813629920795967,0.19628620629998966,-0.136876328377498,SERC,2017,41489,0.002227916,0.1049022,SERC,2017,Summer
S172Fg28,-0.19094038387640097,-0.4061670812096833,-0.07899749680089847,-0.2646127163082207,-0.06541423409611141,0.10233315653284084,-0.011571702730877091,-0.0504212460805552,-0.04581469222661775,0.09068117200818156,-0.044774623163040594,-0.6001671136415051,-0.020698255196645345,-0.19933623679722542,-0.041489753392406147,-0.07478346528301748,-0.15906014175165228,0.01765400941205189,-0.10271860429386845,-0.04938650699271109,-0.07153034094787533,-0.05307302478075361,-0.10649844902111048,-0.2226540141568477,0.7646283192250085,-0.13286867337360922,-0.059998495401393445,0.18283904755165745,0.08154529897889323,0.09775106498047494,0.41580251686916986,0.009864842567228391,SERC,2017,31048,0.004112243,0.08001773,SERC,2017,Summer
