"","gene","color"
"169","FAGR_UCONN_25472","green"
"170","FAGR_UCONN_22141","green"
"171","FAGR_UCONN_29733","green"
"172","FAGR_UCONN_19648","green"
"173","FAGR_UCONN_27584","green"
"174","FAGR_UCONN_08119","green"
"175","FAGR_UCONN_04807","green"
"176","FAGR_UCONN_21836","green"
"177","FAGR_UCONN_31751","green"
"178","FAGR_UCONN_15969","green"
"179","FAGR_UCONN_09483","green"
"180","FAGR_UCONN_04501","green"
"181","FAGR_UCONN_29207","green"
"182","FAGR_UCONN_14500","green"
"183","FAGR_UCONN_12250","green"
"184","FAGR_UCONN_12524","green"
"185","FAGR_UCONN_02054","green"
"186","FAGR_UCONN_18377","green"
"187","FAGR_UCONN_03152","green"
"188","FAGR_UCONN_00350","green"
"189","FAGR_UCONN_20040","green"
"190","FAGR_UCONN_20825","green"
"191","FAGR_UCONN_04871","green"
"192","FAGR_UCONN_13572","green"
"193","FAGR_UCONN_14197","green"
"194","FAGR_UCONN_02750","green"
"195","FAGR_UCONN_20846","green"
"196","FAGR_UCONN_28739","green"
"197","FAGR_UCONN_27099","green"
"198","FAGR_UCONN_27535","green"
"199","FAGR_UCONN_13166","green"
"200","FAGR_UCONN_02269","green"
"201","FAGR_UCONN_24416","green"
"202","FAGR_UCONN_01128","green"
"203","FAGR_UCONN_12492","green"
"204","FAGR_UCONN_23068","green"
"205","FAGR_UCONN_20804","green"
"206","FAGR_UCONN_10903","green"
"207","FAGR_UCONN_22641","green"
"208","FAGR_UCONN_25181","green"
"209","FAGR_UCONN_08586","green"
"210","FAGR_UCONN_12061","green"
"211","FAGR_UCONN_26030","green"
"212","FAGR_UCONN_13487","green"
"213","FAGR_UCONN_25609","green"
"214","FAGR_UCONN_13358","green"
"215","FAGR_UCONN_24577","green"
"216","FAGR_UCONN_23808","green"
"217","FAGR_UCONN_22284","green"
"218","FAGR_UCONN_29792","green"
"219","FAGR_UCONN_19357","green"
"220","FAGR_UCONN_24943","green"
"221","FAGR_UCONN_20227","green"
"222","FAGR_UCONN_32999","green"
"223","FAGR_UCONN_09782","green"
"224","FAGR_UCONN_13837","green"
"225","FAGR_UCONN_00821","green"
"226","FAGR_UCONN_32884","green"
"227","FAGR_UCONN_06653","green"
"228","FAGR_UCONN_00216","green"
"229","FAGR_UCONN_19469","green"
"230","FAGR_UCONN_11615","green"
"231","FAGR_UCONN_20016","green"
"232","FAGR_UCONN_15450","green"
"233","FAGR_UCONN_16310","green"
"234","FAGR_UCONN_12128","green"
"235","FAGR_UCONN_12469","green"
"236","FAGR_UCONN_01039","green"
"237","FAGR_UCONN_13289","green"
"238","FAGR_UCONN_04471","green"
"239","FAGR_UCONN_22027","green"
"240","FAGR_UCONN_31471","green"
"241","FAGR_UCONN_23250","green"
