"","gene","color"
"1","FAGR_UCONN_17334","lightcyan"
"2","FAGR_UCONN_30776","lightcyan"
"3","FAGR_UCONN_17521","lightcyan"
"4","FAGR_UCONN_16477","lightcyan"
"5","FAGR_UCONN_18381","lightcyan"
"6","FAGR_UCONN_29121","lightcyan"
"7","FAGR_UCONN_15985","lightcyan"
"8","FAGR_UCONN_20534","lightcyan"
"9","FAGR_UCONN_12678","lightcyan"
"10","FAGR_UCONN_25907","lightcyan"
"11","FAGR_UCONN_24265","lightcyan"
"12","FAGR_UCONN_08476","lightcyan"
"13","FAGR_UCONN_02898","lightcyan"
"14","FAGR_UCONN_21979","lightcyan"
"15","FAGR_UCONN_19682","lightcyan"
"16","FAGR_UCONN_31414","lightcyan"
"17","FAGR_UCONN_19113","lightcyan"
"18","FAGR_UCONN_04056","lightcyan"
"19","FAGR_UCONN_17122","lightcyan"
"20","FAGR_UCONN_17854","lightcyan"
"21","FAGR_UCONN_18725","lightcyan"
"22","FAGR_UCONN_27407","lightcyan"
"23","FAGR_UCONN_14817","lightcyan"
"24","FAGR_UCONN_24486","lightcyan"
"25","FAGR_UCONN_12883","lightcyan"
"26","FAGR_UCONN_20648","lightcyan"
"27","FAGR_UCONN_20657","lightcyan"
"28","FAGR_UCONN_00575","lightcyan"
"29","FAGR_UCONN_26393","lightcyan"
"30","FAGR_UCONN_13321","lightcyan"
"31","FAGR_UCONN_07157","lightcyan"
"32","FAGR_UCONN_17508","lightcyan"
"33","FAGR_UCONN_05991","lightcyan"
"34","FAGR_UCONN_20449","lightcyan"
"35","FAGR_UCONN_02644","lightcyan"
"36","FAGR_UCONN_09230","lightcyan"
"37","FAGR_UCONN_00419","lightcyan"
"38","FAGR_UCONN_10959","lightcyan"
"39","FAGR_UCONN_18874","lightcyan"
"40","FAGR_UCONN_27847","lightcyan"
"41","FAGR_UCONN_11017","lightcyan"
"42","FAGR_UCONN_15746","lightcyan"
"43","FAGR_UCONN_03938","lightcyan"
"44","FAGR_UCONN_10885","lightcyan"
"45","FAGR_UCONN_24289","lightcyan"
"46","FAGR_UCONN_27796","lightcyan"
"47","FAGR_UCONN_29801","lightcyan"
"48","FAGR_UCONN_26036","lightcyan"
"49","FAGR_UCONN_21723","lightcyan"
"50","FAGR_UCONN_29759","lightcyan"
"51","FAGR_UCONN_31271","lightcyan"
"52","FAGR_UCONN_04253","lightcyan"
"53","FAGR_UCONN_31347","lightcyan"
"54","FAGR_UCONN_17769","lightcyan"
"55","FAGR_UCONN_01180","lightcyan"
"56","FAGR_UCONN_30468","lightcyan"
"57","FAGR_UCONN_04759","lightcyan"
"58","FAGR_UCONN_07928","lightcyan"
"59","FAGR_UCONN_21560","lightcyan"
"60","FAGR_UCONN_14818","lightcyan"
"61","FAGR_UCONN_18825","lightcyan"
"62","FAGR_UCONN_06220","lightcyan"
"63","FAGR_UCONN_05637","lightcyan"
"64","FAGR_UCONN_19678","lightcyan"
"65","FAGR_UCONN_28482","lightcyan"
"66","FAGR_UCONN_29981","lightcyan"
"67","FAGR_UCONN_01562","lightcyan"
"68","FAGR_UCONN_31986","lightcyan"
"69","FAGR_UCONN_03202","lightcyan"
"70","FAGR_UCONN_22776","lightcyan"
"71","FAGR_UCONN_12556","lightcyan"
"72","FAGR_UCONN_04921","lightcyan"
"73","FAGR_UCONN_12881","lightcyan"
"74","FAGR_UCONN_32284","lightcyan"
"75","FAGR_UCONN_11703","lightcyan"
"76","FAGR_UCONN_16599","lightcyan"
"77","FAGR_UCONN_02806","lightcyan"
"78","FAGR_UCONN_14503","lightcyan"
"79","FAGR_UCONN_03433","lightcyan"
"80","FAGR_UCONN_23478","lightcyan"
"81","FAGR_UCONN_03741","lightcyan"
"82","FAGR_UCONN_18537","lightcyan"
"83","FAGR_UCONN_32800","lightcyan"
"84","FAGR_UCONN_08101","lightcyan"
"85","FAGR_UCONN_28643","lightcyan"
"86","FAGR_UCONN_10604","lightcyan"
"87","FAGR_UCONN_23253","lightcyan"
"88","FAGR_UCONN_16600","lightcyan"
"89","FAGR_UCONN_05055","lightcyan"
"90","FAGR_UCONN_13837","lightcyan"
"91","FAGR_UCONN_04918","lightcyan"
"92","FAGR_UCONN_21624","lightcyan"
"93","FAGR_UCONN_17091","lightcyan"
"94","FAGR_UCONN_26661","lightcyan"
"95","FAGR_UCONN_25710","lightcyan"
"96","FAGR_UCONN_00948","lightcyan"
"97","FAGR_UCONN_11892","lightcyan"
"98","FAGR_UCONN_11116","lightcyan"
"99","FAGR_UCONN_14006","lightcyan"
"100","FAGR_UCONN_10512","lightcyan"
"101","FAGR_UCONN_04204","lightcyan"
"102","FAGR_UCONN_10825","lightcyan"
"103","FAGR_UCONN_14438","lightcyan"
"104","FAGR_UCONN_21234","lightcyan"
"105","FAGR_UCONN_10501","lightcyan"
"106","FAGR_UCONN_12356","lightcyan"
"107","FAGR_UCONN_00882","lightcyan"
"108","FAGR_UCONN_21046","lightcyan"
"109","FAGR_UCONN_00492","lightcyan"
"110","FAGR_UCONN_12092","lightcyan"
"111","FAGR_UCONN_27111","lightcyan"
"112","FAGR_UCONN_18335","lightcyan"
"113","FAGR_UCONN_09492","lightcyan"
"114","FAGR_UCONN_25884","lightcyan"
"115","FAGR_UCONN_29329","lightcyan"
"116","FAGR_UCONN_30645","lightcyan"
"117","FAGR_UCONN_22291","lightcyan"
"118","FAGR_UCONN_12209","lightcyan"
"119","FAGR_UCONN_23867","lightcyan"
"120","FAGR_UCONN_01510","lightcyan"
"121","FAGR_UCONN_20221","lightcyan"
"122","FAGR_UCONN_31216","lightcyan"
"123","FAGR_UCONN_15101","lightcyan"
"124","FAGR_UCONN_09190","lightcyan"
"125","FAGR_UCONN_27010","lightcyan"
"126","FAGR_UCONN_28948","lightcyan"
"127","FAGR_UCONN_31184","lightcyan"
