"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_11033",0.797818971846593,7.84889054825667,26.1456242956017,3.16613772674648e-07,8.41712677355646e-06
"FAGR_UCONN_03004",-2.48828019453779,0.665755663576222,26.1434266432866,3.16974324020355e-07,8.41712677355646e-06
"FAGR_UCONN_31580",1.30879516396378,5.81552933852251,26.1404874513711,3.1745717726955e-07,8.41961792949462e-06
"FAGR_UCONN_09325",1.05241760432016,4.59264927162508,26.1243414149929,3.20122843714487e-07,8.47992482701216e-06
"FAGR_UCONN_28247",5.19666483427659,-0.0622141472866851,26.1216600200152,3.20567702150045e-07,8.48132788500157e-06
"FAGR_UCONN_16852",1.89246674695239,4.01269494088235,26.1121689620862,3.22147306325288e-07,8.51271306897665e-06
"FAGR_UCONN_20934",1.18948528731021,5.28485113922414,26.104455120998,3.2343687276267e-07,8.53636682967036e-06
"FAGR_UCONN_27496",-0.933745687441491,5.29976769056863,26.0836826054132,3.26935319840906e-07,8.61819024603762e-06
"FAGR_UCONN_21170",-0.7116019905475,5.15681086324533,26.0811885094352,3.27357910864831e-07,8.61883200357259e-06
"FAGR_UCONN_07892",-1.81809941998781,4.17639529063735,26.0684031920623,3.29532824132401e-07,8.66555210191181e-06
"FAGR_UCONN_24557",0.768672517656111,4.88948746823212,26.0499413801913,3.32698951501838e-07,8.73819260728491e-06
"FAGR_UCONN_15648",0.621311741951632,6.98607083987268,26.0325125309572,3.35715907381756e-07,8.80674383946176e-06
"FAGR_UCONN_17207",-0.869582681900096,4.20370266466784,26.0222595171724,3.37503513285644e-07,8.84291892799989e-06
"FAGR_UCONN_30797",-1.09798979872524,4.70228357120906,26.0072337188772,3.40140503223242e-07,8.90123430563169e-06
"FAGR_UCONN_18869",0.901605727390437,5.57441675742829,25.9780445413104,3.45322307816083e-07,9.02592437893198e-06
"FAGR_UCONN_16743",0.687125256781796,5.62588973292479,25.9580023481253,3.48926045604343e-07,9.1091163799387e-06
"FAGR_UCONN_17087",2.35486804042826,4.30311521760508,25.9472395299719,3.50876815257841e-07,9.14900727206049e-06
"FAGR_UCONN_20792",1.18417487431076,7.1382125435096,25.9389875166843,3.523799009691e-07,9.17714298047324e-06
"FAGR_UCONN_16857",0.77144271537115,5.43136764197032,25.9246380217923,3.55009016392803e-07,9.23438809248235e-06
"FAGR_UCONN_05205",-1.32758939215661,5.44361035204158,25.9223428937288,3.55431350200434e-07,9.23438809248235e-06
"FAGR_UCONN_32515",-0.850669169035943,7.96889409160246,25.8996817042135,3.59628439989666e-07,9.33222865498364e-06
"FAGR_UCONN_30261",-2.04133770422891,2.96590615123718,25.8580978113954,3.67459874867829e-07,9.52403187052641e-06
"FAGR_UCONN_18009",0.848248509169841,5.23689248458464,25.8507095606734,3.68869073679362e-07,9.54912020642196e-06
