Gene_ID,S191Fg02,S191Fg04,S191Fg06,S191Fg07,S191Fg08,S191Fg10,S191Fg20,S191Fg23,S191Fg25,S191Fg27,S191Fg29,S191Fg42,S201Fg02,S201Fg04,S201Fg06,S201Fg07,S201Fg08,S201Fg10,S201Fg20,S201Fg23,S201Fg25,S201Fg27,S201Fg29,S201Fg42
FAGR_UCONN_29551,4.054497185,3.57460541,2.558066158,3.292600425,3.248205744,3.806425732,3.638548528,3.960796416,4.220331377,3.90321009,3.836096408,3.958924616,3.59997883,2.711286351,3.147107048,2.940846851,2.855865228,2.914662948,3.396635451,3.138606621,3.540824879,2.805270902,2.996493213,2.699744907
FAGR_UCONN_29558,2.97340491,2.028813704,2.558066158,3.396611561,2.08060662,3.101348436,2.620897736,1.916045201,1.794781771,2.633829981,1.647230915,2.289576218,3.440959325,2.683379681,4.206839265,3.28745782,4.167902929,2.697321989,3.268985511,2.837529823,3.525921863,4.203571635,2.005369894,2.771914837
FAGR_UCONN_29562,4.478937066,4.738002788,4.550333236,5.302548582,4.00825468,5.303398031,4.27782311,4.333888383,4.189096911,5.22006214,4.904297882,4.810337496,5.091668227,5.424033606,4.715937312,5.351720911,4.886581435,4.914309471,5.667061961,5.419933755,5.417379615,5.19686291,5.604573554,5.307483598
FAGR_UCONN_29563,6.426300512,7.178508695,6.71182292,5.603564555,6.662806279,6.556994006,6.627560475,7.271753683,6.531316844,6.593676381,5.6016716,6.238849414,4.664243422,5.130491602,5.393604493,2.818243992,5.504417498,3.99791405,4.561392889,4.055429325,2.943252804,4.506265991,3.114434587,3.329372082
FAGR_UCONN_29568,4.989683041,5.208722527,4.928248299,5.094042963,4.686898823,4.527946754,5.322482048,5.189450135,5.529391513,5.106384553,4.943707003,5.047942914,4.624423714,4.482686345,4.552286774,4.504153654,4.442723994,4.369030476,4.724382933,4.751400736,5.282017081,4.161903566,4.820796986,4.440694337
FAGR_UCONN_29569,-0.963878562,-0.466953672,-1.857971539,-1.123444452,-1.857971539,-0.225369233,-1.030568862,-0.40357519,-0.566859729,-0.84092533,-0.441081239,-1.857971539,-0.232613713,1.921759986,1.368332721,0.008218614,0.001772935,2.958816323,0.396475269,-0.663564227,-1.857971539,0.713389267,-0.065382985,-0.473487468
FAGR_UCONN_29583,5.710798186,5.86955924,6.064666535,6.249688695,5.907491417,5.722966059,5.783402,5.758029739,5.529391513,5.957129258,5.917567767,6.166568153,6.484640919,6.645947129,6.232971484,6.891418513,6.320503214,6.477225206,6.454035977,6.164341343,6.337894792,6.489707084,6.630485418,6.481711668
FAGR_UCONN_29585,4.989683041,4.725851921,4.592902293,4.695685031,4.91410659,5.040967715,5.019287043,5.022918255,4.898121235,5.021120549,4.739907766,4.446548354,4.422518511,4.382108661,4.002931963,4.227326704,4.179500074,4.02931136,4.202337115,4.065673725,4.880672045,4.10146938,3.918268748,3.92237328
FAGR_UCONN_29588,5.90575314,5.14627102,5.115091932,5.728413178,5.549824329,5.08268435,5.440746713,5.834585886,5.491487178,5.699301706,5.647475816,5.517066871,4.301482316,4.546042515,4.048320084,4.690449614,4.301270604,4.425187806,3.706886168,4.229542518,4.954875733,4.170334013,4.271353927,4.425858019
FAGR_UCONN_29589,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-0.483590019,-0.594649439,-1.385750066,-0.40357519,-1.857971539,-0.250325226,0.559474137,-0.166558806,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539,-1.857971539
