Gene_ID,H173Fg01,H173Fg07,H173Fg08,H173Fg09,H173Fg14,H173Fg25,H173Fg28,H173Fg29,H173Fg30,H173Fg32,H173Fg36,H173Fg37,H173Fg42,H173Fg43,H173Fg45,H173Fg46,H183Fg01,H183Fg07,H183Fg08,H183Fg09,H183Fg14,H183Fg25,H183Fg28,H183Fg29,H183Fg30,H183Fg32,H183Fg36,H183Fg37,H183Fg42,H183Fg43,H183Fg45,H183Fg46,S173Fg02,S173Fg03,S173Fg05,S173Fg07,S173Fg10,S173Fg20,S173Fg23,S173Fg25,S173Fg27,S173Fg28,S173Fg29,S173Fg36,S173Fg39,S173Fg42,S173Fg44,S173Fg45,S183Fg02,S183Fg03,S183Fg05,S183Fg07,S183Fg10,S183Fg20,S183Fg23,S183Fg25,S183Fg27,S183Fg28,S183Fg29,S183Fg36,S183Fg39,S183Fg42,S183Fg44,S183Fg45
FAGR_UCONN_00083,3.089798888,2.731898789,3.087763025,4.128700939,3.363138988,3.49892939,2.224044908,3.332321636,2.419864913,2.801701508,3.68789776,1.899747533,2.908352313,2.517032151,2.740848689,3.023003965,3.37764982,3.120501373,3.553457311,4.703500284,4.349299273,3.41541762,3.376361377,3.532732044,3.894494079,4.296420086,4.86203449,3.172729208,4.313107769,4.573233719,3.766326355,3.232695223,0.943390735,3.087249122,1.478858401,1.38150411,2.434613045,2.337426752,3.816920851,1.937641099,2.440316672,2.447365264,1.937985826,3.513982187,3.253134946,3.274728648,2.511941041,3.539902378,5.007185809,4.682663681,3.27626657,3.786676427,3.7754093,4.312764017,3.840365443,4.033411955,4.475860325,4.565701894,4.276472573,3.523559183,4.079136696,5.412702124,4.796898007,4.646325643
FAGR_UCONN_00123,4.075548436,3.91284171,3.864250915,3.880426524,3.470365759,3.545931405,4.450535925,3.530114566,3.955075651,2.973572028,2.755011399,3.978229077,3.644457591,4.248530741,3.288618801,3.686050093,4.103430393,4.121057628,4.976818752,4.874052069,4.615775138,4.44151806,4.511300779,3.564834137,4.194263887,4.37173864,3.381769864,4.849074826,3.938235599,4.040150288,4.680198519,4.670011629,4.049081325,3.83932491,2.434881023,3.945334098,4.512074794,4.503617928,3.217078438,3.73102721,4.01951093,3.22206223,3.123912527,3.725188727,4.554371911,3.458114526,3.954124211,3.494285513,4.032786851,3.723034871,3.740610038,4.1945816,4.33158888,4.430279307,4.427948504,4.857021329,4.280410555,4.167353953,4.162467859,1.704020776,4.355723018,4.009797802,4.462892934,3.881604143
FAGR_UCONN_00131,0.785320178,-0.61471447,1.287108047,0.193397334,3.053977648,0.201790443,-2.578935396,-2.578935396,-2.186219419,0.748155591,0.228460008,-0.706326492,2.494031353,-0.450648979,-0.013627622,-0.301997168,0.707560961,-1.974826663,-2.578935396,0.270176977,1.301355499,1.352876175,0.003024468,-2.578935396,0.829706787,1.343016785,-0.119289481,2.266056098,1.109287218,0.830475682,-0.277059461,-2.578935396,3.864327387,3.171338981,2.180749991,-2.578935396,1.478598469,3.05515459,2.375671747,2.868172995,2.248904652,2.985751236,1.666302758,2.356210311,0.813922761,1.480794782,0.027344403,0.69189297,7.126278764,6.724073613,5.545068678,5.075810981,6.628320551,4.582350433,3.637138287,5.224372581,3.798206001,5.050127817,6.265783693,4.376576296,4.437270767,4.020614234,4.768218612,5.100806599
FAGR_UCONN_00218,2.09418106,2.714211443,2.638942533,2.872897497,3.335039072,3.354587449,2.867842679,3.704030792,1.918518702,2.070427223,1.450856285,3.109717656,1.235003004,2.642694961,3.504573095,1.703735622,1.925332937,3.091332318,3.320318241,4.51975836,4.72005344,4.320352434,5.586396009,4.064318152,2.191537675,3.488616291,2.263909492,3.771907778,2.178386011,3.255900973,3.834445401,2.196317511,3.21674836,2.652687418,2.180749991,2.04585181,1.184704373,2.364522083,2.713590736,1.519405522,0.465992111,2.350988257,1.827750346,0.370741287,2.140457803,2.250588592,2.511941041,4.122932936,4.551328657,3.395443861,2.23619291,1.63403064,1.932533034,1.143378213,4.011164494,4.6310326,2.44720098,1.487737548,4.297202282,3.866976271,1.013953786,3.469626929,3.065989262,3.729820419
FAGR_UCONN_00269,4.55514249,2.849986848,2.177594107,2.335657165,6.349499309,0.60834537,1.698459565,1.930003064,0.080684345,1.730290907,5.622418799,1.259987086,2.231569923,1.448182929,2.534260253,4.444692747,3.147549486,2.636072918,0.527573597,3.74827379,4.248286172,2.841726235,2.14006339,1.10197381,1.972301893,3.26980458,4.720180523,2.244132596,2.084805628,2.61370068,2.813195164,2.846466578,4.580600351,2.443138563,-2.578935396,-2.578935396,2.24443021,2.517204886,4.323997736,3.851542612,4.825626794,4.506176132,2.389859812,2.837218839,2.783104171,3.50053691,2.278609197,3.709183686,7.946691107,7.20714334,6.420226171,6.076717132,6.462608215,3.964639407,6.118478917,5.49787502,6.324905581,7.203659076,7.569145282,4.376576296,6.092356844,7.72099865,5.820752836,5.813718451
FAGR_UCONN_00275,4.330118786,4.053114472,3.087763025,4.621187702,4.3086479,4.642145031,4.117704533,3.626357359,3.85943003,2.852931644,4.363625954,3.608365827,3.492597919,3.410005998,4.920484475,3.31195696,4.363654941,4.303816074,3.696198299,4.782247967,4.101560398,4.175420289,4.655889326,4.134447923,3.198987341,4.353274423,4.180316,3.882480961,3.33878009,4.463013601,4.936358063,4.381348624,4.989573762,4.301631175,4.569649841,4.405679928,2.578012394,3.793804142,4.356516736,3.908223954,4.24149045,4.124134974,3.060334286,3.909387108,4.053439578,3.458114526,4.335137398,4.452063221,6.689631791,5.897662171,5.955462792,6.019559266,6.547842354,5.181699938,5.588564654,5.398720962,6.51664536,5.613359437,5.344310404,6.196021407,4.884400527,5.74332421,6.022436684,5.535607687
FAGR_UCONN_00279,1.513587461,2.913365184,3.937422262,3.484013567,3.545859801,3.516735075,2.590580508,2.830297147,2.271302693,0.748155591,2.755011399,1.259987086,2.815386245,2.041876893,2.409412029,2.107324649,3.058059777,2.162097423,3.312630103,3.944861966,2.996022953,3.315192948,3.20412242,3.181641961,3.729194179,2.215053625,4.212236508,2.987207673,2.765701101,1.089815948,3.076934455,3.10389492,3.718019964,3.028336592,-2.578935396,2.90332119,2.335330508,2.067520213,2.810670322,3.479959292,2.475729955,3.32712795,2.10483657,2.077145186,2.745577777,3.006898437,2.000118892,2.248782512,3.946245709,4.527418466,4.263751437,4.531967919,4.558852994,3.664862301,3.781487296,4.276218626,2.282799741,4.681424627,3.700322635,3.388153752,3.750885835,4.903480985,3.559984423,3.595733314
FAGR_UCONN_00280,2.141204455,1.505222976,-0.442968869,0.141148729,2.517216264,-0.551852472,0.529753067,-2.578935396,2.015125513,0.233336985,-0.463421849,3.660126018,1.135957104,1.73829327,2.499678018,-0.645077914,-2.095505498,1.451503338,-0.756142828,-0.857187001,-0.67389484,0.677594593,-1.202640501,0.273820253,-1.031042698,-0.527182901,-1.551321226,1.511683149,0.157038267,-0.683574363,-0.277059461,1.524569306,1.682815962,2.229622267,4.066964779,3.554346565,0.193108929,1.186073581,0.995444869,1.61331511,1.217487139,-0.197145656,2.906129046,2.837218839,3.253134946,1.094310038,2.712736592,0.795826353,-0.796414758,-0.126661467,0.046725814,0.009122048,0.037256558,-1.965050982,-0.282775918,-2.578935396,0.657200276,-1.369129647,-2.074107932,0.260148526,-0.270870629,-1.28692641,0.169738032,0.071099497
FAGR_UCONN_00281,7.09615797,6.725277195,6.524114324,6.18837424,5.785182414,6.181183046,5.287528242,6.36399396,5.450637382,6.172461001,5.876438919,5.803657239,5.958122356,6.353692809,6.760522385,5.451925504,6.606861179,5.602971855,5.502909338,7.53825013,7.094060367,7.169272912,6.359395951,5.987480793,6.524226667,6.486711816,5.337664269,5.93487829,6.505504941,6.270729856,6.70595896,5.925598316,5.834188831,5.63458005,5.13338204,6.402317977,3.86279482,6.172438012,6.289889899,5.863039036,5.747224972,5.466765903,5.126461007,6.417714725,6.406395976,5.77968702,5.18458149,6.506383528,7.714878047,7.274377051,6.117106069,6.875468212,6.136969684,6.744414923,7.205001164,7.309620026,7.108118003,7.464626638,6.255227858,5.507725464,6.002928531,7.192878749,7.376980154,6.109637754
FAGR_UCONN_00284,5.056153251,4.630865406,3.454729494,3.619076514,3.930901484,2.778102342,3.406419429,3.957644991,3.293073926,3.188245728,2.996019678,4.67591077,4.598029156,4.721804495,4.698331488,3.372993858,4.792617027,5.438984114,5.029359788,5.620936957,5.555541319,4.899358857,5.655877377,5.748455195,4.690382954,4.851199905,4.594329097,5.23262738,6.272481606,5.658946184,5.664830277,4.422440619,3.705130606,3.052191056,5.424899715,5.594504955,3.486713541,4.900647873,4.167846806,5.450974367,4.839286138,4.437435933,3.715178038,4.995971461,4.891526768,5.153269314,4.50711409,5.130969141,5.587602762,4.891130322,4.959348586,5.516860565,4.134055604,3.888861448,4.996278994,3.675048738,4.962538436,4.971466769,4.864239056,5.406234113,5.191696067,5.629581939,5.723266498,4.964624914
