"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_24846",5.48443448097833,6.13935099402846,185.708775218429,2.74832309554612e-42,5.94792084338091e-38
"FAGR_UCONN_16852",4.10064989386996,5.24936643424453,172.433271841807,2.17639233286947e-39,2.35507414339805e-35
"FAGR_UCONN_32390",1.43862780082959,7.53234087163952,161.509848434799,5.29387912557891e-37,3.81900440119263e-33
"FAGR_UCONN_11694",3.31933284347353,7.8210408402849,158.909238438249,1.95871633710498e-36,1.05976347419065e-32
"FAGR_UCONN_09588",6.13971901544699,5.90640255232774,156.405579920908,6.90303562690837e-36,2.98790994075102e-32
"FAGR_UCONN_23755",5.28886488350987,5.94248416471246,155.463728995763,1.10880638645838e-35,3.99946463595536e-32
"FAGR_UCONN_14392",5.42962558435113,6.07709017964385,150.965861476066,1.06622722780233e-34,3.296469952014e-31
"FAGR_UCONN_07246",-2.4477851544414,6.4236582547141,146.560071304677,9.79270746812544e-34,2.64917218781463e-30
"FAGR_UCONN_01505",-2.48003644185554,8.74581648516836,145.295302511439,1.85097660397897e-33,4.4509817403681e-30
"FAGR_UCONN_07733",-3.14638326946629,7.29990135806894,144.346944945217,2.98357633829582e-33,6.45705591133982e-30
"FAGR_UCONN_21664",2.74037747541052,5.77274900196992,143.743437647647,4.04282245329351e-33,7.95406941219802e-30
"FAGR_UCONN_17466",4.01405217461511,6.1456532395648,142.350279589458,8.15251042958598e-33,1.47030525597583e-29
"FAGR_UCONN_15016",4.71527924984165,7.15219643997202,140.33141668834,2.25289610747884e-32,3.6806577125289e-29
"FAGR_UCONN_24141",-5.50987471660387,5.13890035084554,140.221596044468,2.38098179352207e-32,3.6806577125289e-29
"FAGR_UCONN_21063",2.06664166343077,4.74408807612512,140.076516377414,2.56142362967715e-32,3.69562201289819e-29
"FAGR_UCONN_14995",2.20909592360773,5.10559475135601,139.547986007607,3.34241105823892e-32,4.52102875765042e-29
"FAGR_UCONN_01245",-2.50909177851576,2.40481774052197,138.417109464311,5.90702653867454e-32,7.51999225588202e-29
"FAGR_UCONN_24370",2.46106105688865,7.89513749891783,133.872363200122,5.82632431431249e-31,7.00518393390838e-28
"FAGR_UCONN_30693",4.92795246095431,8.31039978818214,133.431271701113,7.27583373240645e-31,8.28755755982845e-28
"FAGR_UCONN_08178",3.69538052019184,7.28029749286553,131.220316091317,2.21595569203894e-30,2.39788565435533e-27
"FAGR_UCONN_15332",2.77523921223164,5.9823806958169,129.975972027658,4.14768168496463e-30,4.27448223933355e-27
"FAGR_UCONN_08616",5.38753496972882,4.8912882067578,129.696399591787,4.77501168878797e-30,4.5734628730751e-27
"FAGR_UCONN_07559",-2.95276880570195,3.18919496278596,129.661201818884,4.86044016637683e-30,4.5734628730751e-27
"FAGR_UCONN_16583",1.35153967536179,6.46918320223311,128.725820691264,7.78645489091506e-30,7.02143569788266e-27
"FAGR_UCONN_31147",2.82838345100468,4.94284420223108,127.604972319297,1.36961782243696e-29,1.18565075652723e-26
"FAGR_UCONN_12484",-3.12551191391976,6.96951607620201,126.801554947425,2.05309956540601e-29,1.70896849209681e-26
"FAGR_UCONN_27699",7.42393518035075,6.7967619710378,125.882802126774,3.26189275469578e-29,2.61458825915281e-26
"FAGR_UCONN_31972",3.34719614806135,2.53067268286067,124.514635991569,6.49979562140851e-29,5.02387774423296e-26
"FAGR_UCONN_28691",-2.48072920145975,6.8409466366149,120.450185582305,5.04170231414666e-28,3.7625007407849e-25
