"","Gene_ID","S171Fg02","S171Fg04","S171Fg05","S171Fg06","S171Fg07","S171Fg10","S171Fg20","S171Fg23","S171Fg25","S171Fg27","S171Fg29","S171Fg42","S171Fg44","S201Fg02","S201Fg04","S201Fg05","S201Fg06","S201Fg07","S201Fg10","S201Fg20","S201Fg23","S201Fg25","S201Fg27","S201Fg29","S201Fg42","S201Fg44"
"2","FAGR_UCONN_00009",0.482655920808375,2.85057913193436,1.94586823117733,-1.80825265549877,2.88081154158149,2.02970628203269,-1.80825265549877,1.80360960472612,-1.80825265549877,1.57427221312982,0.732317053359543,1.36705452853046,2.98527198192428,-0.945787210941064,1.28122558208832,0.359259277493021,0.235698253628075,-0.313205322957259,0.156185156573349,-0.176450334067061,-0.633304257604431,0.32122948427987,-0.733153513569149,-0.041580073224936,-0.249079680585318,1.1459660100414
"16","FAGR_UCONN_00035",2.87318159507455,0.895253759429078,1.74118716299774,2.60324547854205,0.488975765839657,1.46917506963846,2.51680229910171,1.99702773841601,-1.80825265549877,2.13855105693434,0.593059160243625,-0.887862923902168,-0.815407362166779,-0.653012428103245,-1.28030611450082,-1.80825265549877,-1.2759381253673,-0.743893743416398,-1.30779934081083,0.244336644920843,-0.929672185900196,-1.80825265549877,-1.80825265549877,-1.80825265549877,-0.97739744131632,-0.945744629042916
"30","FAGR_UCONN_00064",5.57656326921271,5.81593894377883,5.88822194402637,5.84477490178687,5.718116719869,5.84289864342097,5.62128422944519,5.04616823185608,4.96328649413114,6.19563905276845,5.57047072867121,4.82385434029335,5.08441300133465,4.27237582313564,4.10370992643294,4.37356213060424,4.43059807180981,4.16528872331011,4.5394776856576,4.28276946479278,3.95326934444026,3.32834846477682,4.29017696456489,3.96415855843525,4.3273604501073,3.91287171363289
"38","FAGR_UCONN_00078",0.822041609931464,-1.80825265549877,2.0081140812563,-1.80825265549877,-0.092876050755974,1.22060328043741,-1.80825265549877,1.19465739608696,2.99217604295669,1.49542952541753,0.593059160243625,1.36705452853046,0.986815243816365,-1.31350798411947,-1.28030611450082,0.159063393033767,-1.80825265549877,-0.512537159099125,-0.936948348398336,-1.19968015985942,-0.177654550344581,-1.80825265549877,-1.80825265549877,-0.959539229113026,-1.80825265549877,-1.80825265549877
"53","FAGR_UCONN_00130",2.87318159507455,3.82173679792184,3.94518597885523,-1.80825265549877,3.4592815759916,1.80692558158195,4.2024820229217,3.5855923656026,4.34809211494815,3.60447468527205,3.57327001198841,4.15963593396495,4.74740962648962,2.12885604877784,2.63589396186472,1.85185433559927,1.43643712007737,2.04560644835517,0.667153418041762,2.81313930008541,3.26659737044407,2.54293199512325,2.06470981307115,2.47126072952889,2.95131718325889,2.8896873393125
"55","FAGR_UCONN_00134",2.7982992669087,2.23077414303062,2.89139095380716,-1.80825265549877,3.79564169740957,0.804204697857142,4.2024820229217,2.67712694620941,1.68645156787757,1.64902853459841,2.28434584627654,2.49517424369885,2.87839636945442,1.92207652026917,2.23313406895112,1.18903235850636,1.21676923336557,2.00884711633866,1.47089439845392,1.15923821147325,1.76480064221617,0.32122948427987,1.59676569779455,1.15662661425006,1.26179741748602,1.57154271515392
"67","FAGR_UCONN_00166",-1.80825265549877,-1.80825265549877,-0.330736049102439,-1.80825265549877,0.389884886587245,2.54497809403849,-1.80825265549877,-1.37443039860249,-1.80825265549877,-1.80825265549877,-1.18968120318912,0.0706215586505893,-1.80825265549877,1.39046575907217,2.06930890991705,1.38538016060477,3.38944784417098,2.15057813446318,2.29370511230623,1.50219596021326,0.881197450553603,0.32122948427987,2.85572212088675,0.729134168589593,0.881309582359481,2.10955022499742
"82","FAGR_UCONN_00215",4.23382329147588,3.53868960366857,3.04774399391067,1.29698920379595,4.09991539919249,4.09448689957672,4.68150178608337,4.61625718080292,3.5319062405871,4.46863582428931,3.26456496517206,4.43930703946176,4.87798060506574,2.24004557385895,2.57610078196373,2.35204781593805,2.89162450331168,2.91761258148618,3.303917744402,2.87337870954759,2.64882506819949,1.61194152518614,1.95138161499328,2.55785325145703,3.33189352017255,2.16696798850697
"103","FAGR_UCONN_00265",6.04986987407538,5.08651655837201,5.74934448906891,5.84477490178687,6.01892190534561,5.7322945790439,6.66941130508729,6.43179340009177,7.25129975173918,7.59499943296976,6.45739950259501,6.63194828546808,6.362327155898,5.09911592627274,4.54689060485789,5.57452506104466,5.42957089295065,5.08479353495199,5.25450112516333,5.56022479585722,5.31445407513014,4.83788643861823,5.29904325079379,5.28716089546246,4.97341557111835,5.47380821434847
"109","FAGR_UCONN_00280",4.05238120370947,2.02293506356078,1.66595518197411,3.95297366212444,2.19246700388388,3.91054702769614,4.57582092169057,2.37678726965037,4.3639870190714,3.54699144622816,3.11985597637916,2.49517424369885,3.49969073772982,0.286851757240817,-0.590633347868138,-0.35079506527946,-0.582519508587377,0.514025905731937,-0.00587412954961054,1.05905024595483,0.568267460573179,0.32122948427987,0.726910230331751,-0.222215508435588,-0.453530298314285,0.0632512564388772
