sample,ME_orange,ME_royalblue,ME_midnightblue,ME_greenyellow,ME_salmon,ME_black,ME_pink,ME_darkred,ME_red,ME_darkgrey,ME_magenta,ME_darkgreen,ME_green,ME_brown,ME_darkturquoise,ME_darkorange,ME_grey60,ME_yellow,ME_purple,ME_blue,ME_tan,ME_lightgreen,ME_cyan,ME_lightcyan
S191Fg02,-0.07202458102329741,-0.08064614463257964,-0.06344727804955608,0.9639408826391767,-0.04314604060458415,-0.055906555726124095,-0.03403296509725371,-0.046942196796806224,-0.04722355145845497,-0.07624499327220308,-0.05585980394185038,-0.08393097659805593,-0.0627301531199177,-0.05773403175237364,-0.09191624731371036,-0.09808994638815828,-0.10569593467989113,-0.07318080802034767,-0.045437432852095935,-0.04403964932592988,-0.10651937348370334,-0.07086081474067041,-0.07110014516599215,-0.07176676568406178
S191Fg03,-0.048582582126819984,-0.05886880848805847,-0.0669977998748133,0.016224568704985853,0.968067628548047,-0.054273903144103096,-0.06119596840854612,-0.09216150636139483,-0.08064461028045093,-0.13010321898814226,-0.052456580704731796,-0.07896263441825697,-0.06190274153288115,-0.07220343690816736,-0.06117342031785849,-0.09681231775618858,-0.11448804922595615,-0.06703942182232055,-0.06674995035136483,-0.06259398125085859,-0.1045164134938294,-0.07188001110483702,-0.07633118441644787,-0.06993877861819789
S191Fg04,-0.057425774730546206,-0.060171914451407245,-0.057822970765972495,-0.06907149241298276,-0.059357592891898785,-0.04497553107843667,0.9663989403683874,-0.08821102812587014,-0.031603790118540406,-0.016985774172038132,-0.05618018283727919,-0.07762545152647236,-0.027482186810531436,-0.07278133223213239,-0.051948598053767045,-0.05604269319208278,-0.10256265158240549,-0.0352969921048792,-0.04513318431503156,-0.029923255582297546,-0.042562321394925634,-0.05423607160551292,-0.050643297853230754,-0.059579574770487566
S191Fg06,0.9692833262949972,-0.08295341358463933,-0.07637071153165453,-0.09206591515908587,-0.09044281128847215,-0.10256823049916747,-0.09734427774959423,-0.13203262096666618,-0.09673198043249102,-0.13286131665400047,-0.10204866330456154,-0.10423085821250334,-0.08599595043635781,-0.13439095027544412,-0.13311526053252032,-0.1381391336692987,-0.16439370247446425,-0.11356343440464588,-0.13964874979885014,-0.11148876320319316,-0.14770057103161752,-0.07947468482548875,-0.07422011941731836,-0.07911714924252244
S191Fg07,-0.05092738277210922,-0.05642732686040336,-0.060918990605305735,-0.06553357098320636,-0.04681551640599604,-0.060259565586099864,-0.04239488210848208,-0.09762095203516388,-0.0647726945248825,-0.07890390334819415,-0.057985843343035616,0.6665241804367754,0.9669480578208023,-0.0516517914070031,-0.11024859189782253,-0.07309618109250425,-0.09354670780927021,-0.034128709862853414,-0.05441016741683195,-0.058515555126403336,-0.06508108097105278,-0.046909871466805,-0.04819940224254335,-0.018728515499759204
S191Fg08,-0.061151068055133435,-0.07909281970244483,-0.04945163886483413,-0.07959901557633757,-0.08517501596339944,-0.09167441742912234,-0.06338405002949225,-0.10709659593854455,-0.07451742821237009,-0.10213404114567659,-0.07469391131774125,-0.09298755845785678,-0.05945406285149265,-0.11235078406776751,-0.12347506981600408,-0.13094860728859714,-0.12736874478860424,-0.08823827132221698,-0.1068037963753127,-0.07280338307212157,-0.11687231588026317,-0.03832964685510566,-0.04247830817067461,0.9666731875651523
S191Fg10,-0.06552806606474645,-0.07009707536545201,-0.08187945757022637,-0.059312216732776084,-0.050446167790069794,0.9640466042249786,-0.08332852253941557,-0.1177831546618791,-0.050926421515687895,-0.1067188756636013,-0.07243826489704738,-0.09566457210068614,-0.04027153722815802,-0.035778949818163326,-0.09858870759426204,-0.07561238714179642,-0.08747455300736189,-0.03221260785734347,-0.07128621780045206,-0.04761797016114885,-0.08598693428609613,-0.04761525550618039,-0.08144494212776632,-0.07633166822681142
S191Fg18,-0.0611870470972754,-0.07422140400168802,-0.07785177842569094,-0.06704850938023618,-0.06740243042460606,-0.08360413946414319,-0.07516137268604675,-0.09790904094634797,-0.06395512174757735,-0.07739302901733862,-0.02269199705182013,-0.07797750211882357,-0.06462726277948921,-0.0965917576613081,-0.08041718858864456,-0.09796055479968603,-0.1343840642386853,-0.09088766807390734,-0.08853454537959173,-0.07758102230591706,-0.08708273791071604,-0.08275592094329806,0.9686360521177565,-0.0729027124884839
S191Fg20,-0.05898826532113495,-0.03323341060908196,-0.029284930725927086,-0.03471078544611939,-0.038837504724142546,-0.014256768162166816,-0.04607061241413593,-0.04307185374924293,-0.023295614473954493,-0.077255002182839,-0.0456848462695172,0.657349628877371,-0.03631874782413439,0.02822815154118139,0.6553955126549873,0.10268241117574271,0.037443173624457315,-0.02485327256741525,0.023928941371752326,0.9636674388741487,0.6887555514548735,-0.04644209235045597,-0.04970477724783663,-0.038343947998654294
S191Fg23,-0.03937364145165412,-0.019826595539422832,-0.03287477453081563,-0.01092448135619422,-0.035393828397295025,-0.005879072458191516,-0.019867806541740782,0.6290304201863538,-0.01862912728405071,-0.06110909679043587,-0.013421899354075015,-0.10414530542143237,-0.035938515444994545,0.09218684372365257,-0.09603942887653319,0.6280423914126622,0.26696136463161496,-0.017276601707665224,0.9515364651720443,-0.01840313971195276,0.6227612003193856,-0.05203057360378314,-0.03473619865770344,-0.00983687546809284
