sample,ME_steelblue,ME_white,ME_skyblue,ME_magenta,ME_orange,ME_darkorange,ME_darkred,ME_grey60,ME_black,ME_pink,ME_red,ME_tan,ME_lightyellow,ME_yellow,ME_cyan,ME_brown,ME_purple,ME_greenyellow,ME_lightgreen,ME_darkgreen,ME_salmon,ME_midnightblue,ME_blue,ME_green,ME_darkgrey,ME_saddlebrown,ME_darkturquoise,ME_royalblue,ME_grey
H181Fg01,-0.03584661547479538,0.0012247979177890864,-0.02630655537997654,-0.017499011604661056,-0.031242062714944212,-0.017299379217023965,-0.0375072415489087,-0.03820533926946379,-0.036641163092692074,-0.02765875690651683,-0.02071961911583796,-0.027162288952588334,-0.03804233737486859,-0.02070303258774281,-0.025866748302469312,-0.052497548514745355,-0.033595861482805224,0.9826533744780099,-0.025366714243950008,-0.03257957823569445,-0.008969209240508345,-0.025802349241406532,-0.03504837674015656,-0.018328417959119256,-0.0051952418513053645,-0.050572478144007865,-0.015345318882801202,-0.02473797901793891,-0.0325354505409439
H181Fg02,-0.0358466154747943,-0.015373097550122448,-0.04120424681906471,-0.032794138614790566,-0.03230631053831944,-0.03585275266639443,-0.03569856749881589,-0.04450810696611638,-0.03582418234387278,-0.03797653164634229,-0.042345025813353275,-0.0455025801277256,-0.035030055018150603,-0.03996118457302762,-0.04207705046418872,-0.05629995578761406,-0.05280962256083586,-0.027275987078049797,-0.027208253688013034,-0.02819888466865376,-0.022747781486603925,0.981224305437423,0.013513055331200006,-0.0191219408191537,-0.03639937210650553,-0.02945019492790269,-0.027480200209810058,-0.030922604595644138,-0.032535450540943596
H181Fg07,0.9831372667299464,-0.0431053571849933,-0.041204246819064344,-0.03572772868173285,-0.040683964819380816,-0.031913198913733946,-0.0472999191176901,-0.05711172131035614,-0.06583034020148726,-0.06436107917868443,-0.057115221608242436,-0.0773827687135691,-0.05000623554679881,-0.056561777108881994,-0.05375946549780652,-0.06973381242899833,-0.05759876768063854,-0.036809643806912755,-0.054090093172754004,-0.039575882208917404,-0.04112877480602004,-0.04219615661494614,-0.056480072899122616,-0.05044104491732551,-0.03586222722966814,-0.044152029996357006,-0.047598545792676694,-0.04798812043496148,-0.03269090069122443
H181Fg08,-0.03584661547479436,-0.04654622673897841,-0.041204246819064365,-0.041865065162376036,-0.04068396481938084,-0.03949521788488471,-0.05160382169591684,-0.055256198295094455,-0.06689083143514676,-0.06482142358519925,-0.060073931742824785,-0.07698461524656745,-0.05197019399934985,-0.06001338101731618,-0.051664578846668315,-0.0719432143422985,-0.06461086251532194,-0.04572147523877125,-0.0500411022790368,-0.033063109545218884,-0.049240000111475044,-0.03725978321659943,-0.059166686534058564,-0.05310594629535915,-0.04346108216593201,-0.050911568563954034,-0.04934679432201565,-0.05354537577763049,-0.09790210018047794
H181Fg09,-0.03584661547479436,-0.03270786364591803,-0.02988012955352844,-0.027471596129660807,-0.03262577560399705,-0.0381919025520281,-0.039752868447802625,-0.05186257911533479,-0.04382215463158108,-0.04031594851994824,-0.030772391489553776,-0.03913220755890538,-0.045760936985524886,-0.03390160212388973,-0.04312253716535432,-0.057567132100747265,-0.04305376698402142,-0.017442662983729793,-0.035050009656393606,-0.02337301606096353,0.9818352199007409,-0.01025882789029181,-0.025389363435797594,-0.006375626198918504,-0.03253418567427908,-0.04528433838192632,-0.04133902476610829,-0.03221887366078472,-0.017544267570349187
H181Fg14,-0.03584661547479436,-0.044636907326475746,-0.04120424681906437,-0.03793435070920438,-0.04068396481938084,-0.041590830252553695,-0.055952667170149566,-0.059982246375562445,-0.06647077251208915,-0.06306888432824315,-0.059880778838667964,-0.07629662363427436,-0.047987529812026385,-0.06019080615229518,-0.06141576760655729,-0.07278177631591565,-0.060067053387498195,-0.04776506300159478,-0.05424274115415406,-0.03579977272606456,-0.0445542278689952,-0.04099402845298261,-0.05470807668896293,-0.05080272605646648,-0.04588876437333136,-0.056538798745981764,-0.04717175635498841,-0.05359816000618239,-0.09643695151721991
H181Fg28,-0.03584661547479436,-0.04105544446678957,-0.03851185533755885,0.9836523322209652,-0.024710723119085985,-0.038119336818614534,-0.04736273624134584,-0.04253832114578794,-0.05066804508956641,-0.04338185061763901,-0.03442494575623584,-0.043643773790099885,-0.0422197379137487,-0.02435605225621757,-0.04400453824529595,-0.06334110678220245,-0.043374942201954654,-0.034537815392585325,-0.02953512880045714,-0.035370264738396245,-0.028393727084524627,-0.04302603708409925,-0.03639611873082037,6.262299972817435e-4,-0.04133898423674922,-0.03967515688185004,-0.035870350773828934,-0.046250379266729855,-0.01754426757034915
H181Fg30,8.248034643111964e-4,0.9818513262244359,-0.04120424681906437,-0.03404424469177363,-0.038117431954861544,-0.0376982804723993,-0.057592035090459064,-0.053215001401266934,-0.06213916040262819,-0.05249606264356252,-0.04539439231801136,-0.057291727514662154,-0.044877193355159474,-0.049479668202701346,-0.0486844089546143,-0.07125575389428601,-0.049820689479714846,-0.0409644961852319,-0.03759288019682399,-0.022112961274309208,-0.0401390780765837,-0.038930146476972315,-0.04900352284939899,-0.04032849468068186,-0.03654444249110694,-0.056538798745981764,-0.04662393107269105,-0.0483969965710205,-0.0160546519296941
H181Fg37,-0.03584661547479436,-0.02310894736093879,-0.04120424681906437,-0.008100020152579634,-0.026609261270492776,-0.031028838337411428,-0.0317099202310571,-0.031161320520664046,-0.033270962763433914,-0.0173288438362137,0.003303805007383219,0.014769909275933463,-0.028289801848657925,-6.385650295613327e-4,-0.033112368295349096,-0.04530219889767307,-0.030423871078293165,-0.0071391655707484175,-0.023068816930746035,-0.026753201751006962,-0.00760335677576614,-0.018018554877067657,0.037655261653718644,0.9779786478623468,-0.038222994282065194,-0.02225545948744028,-0.015363175964395388,-0.0072311340643002545,-0.034085286328045826
H181Fg40,-0.03584661547479436,-0.03034296278856988,-0.04120424681906437,-0.03985250538975701,-0.04068396481938084,-0.041050279688288754,-0.03780924442715372,-0.0584282922840106,-0.06537690844520828,-0.06017881690199989,-0.056008223437354385,-0.07314161214547563,-0.04482718845893909,-0.05624635704050416,-0.05692087586146709,-0.0698174212889373,-0.06172167345865945,-0.04041450450492637,-0.051074875027337915,-0.018123515186502674,-0.0377552932989867,-0.03766811534968294,-0.05327959623891948,-0.05073141816927337,-0.04253389503514388,-0.056538798745981764,-0.03648904159704299,-0.038866726332117914,-0.03451229547054818
H181Fg42,0.002034298953117086,-0.02171149100756035,-0.0016883579877923379,-0.031057323973372675,-0.03810996643683981,-0.03863212906100608,-0.04393274422229014,-0.04586622818496171,-0.04524935281747071,-0.05003798821793147,-0.038677758778226753,-0.05219875552723544,-0.04080679971668631,-0.03509634223597112,-0.04432632687028399,-0.05809399700263806,-0.04171044557610287,-0.006679284428996619,-0.02061183376694238,0.9830039467859698,-0.024371049825063017,-0.017662838991239316,-0.008308200760858756,-0.02732776972138663,-0.01880585687131963,-0.02784683521167559,-0.019172548086239954,-0.02815887545743664,-0.032535450540943894
H181Fg45,-0.03584661547479436,-0.012672779272584705,-0.03477422234489622,-0.023718533650867426,-0.017874951713387426,-0.02929041731170852,-0.030663067804662932,-0.021403052344598578,-0.016868885833704463,-0.012458536226957126,-0.036335719811240064,-0.021708953391964696,-0.01842820354107938,-0.02892099223192353,-0.02095549835208677,-0.03790777006139648,-0.021675660808263338,-0.010247382219952379,0.9798163133130052,-0.039086289844095214,-0.0158767738206542,-0.026314644144979516,-0.02603600450781213,-0.0204870526158876,-0.03773913655263161,-0.045959628496602595,-0.021857667781018664,-0.024576352141482603,-0.032535450540943894
H181Fg46,-0.027120475733785072,-0.001609061227778915,-0.030232808419388208,-0.016726059312800756,-0.015795831761889895,-0.022802602662320204,0.004999969100288991,-0.010257020871150081,-0.020077624279766147,-0.009124499287263409,0.004242678896092228,0.008870593470414755,-0.017979802718785833,0.0032899464220255636,-0.015270582689089818,-0.032153245098041065,-0.01931848541667899,-0.01678187233100684,-0.0015206050108522637,0.01042747896399699,0.004524504765622908,0.023807520918405857,0.9726476129299693,0.023844664242685786,-0.03349613586320453,-0.01919092887899582,-0.00923359502691406,0.0013413121275217856,-0.032535450540943894
S181Fg02,-0.027120475733785072,-0.04664744421720015,-0.04120424681906437,-0.03628952878260581,-0.03566947698801463,0.9831799494475306,-0.04756336338240876,-0.018375184876304997,-0.04103731056370974,-0.046951984886866964,-0.04617203590105943,-0.05584004093896457,-0.029325903132210604,-0.05087589622001516,-0.036749253484245376,-0.05931889805829765,-0.052364397291596136,-0.034154030602934544,-0.032715216283957,-0.03638161880525619,-0.04122001955707872,-0.03872874170603332,-0.053883096480391794,-0.04498152632286137,-0.0383065121839498,-0.0466949350580029,-0.03961787607030459,-0.04164891070898948,-0.013344139422739414
S181Fg03,-0.027120475733785072,-0.0412316143615652,-0.01965178270280221,-0.03689601587360326,-0.03409288195187162,-0.023241686158312902,-0.03525779070644591,0.9767110085777029,-0.013920060517912069,-0.009251041691645267,-0.031060685610929326,-0.04265516400713923,-0.02288100900401741,-0.03218739010495741,-0.015540572753246907,0.026740979541793927,-0.018832122714889796,-0.04112000287553211,-0.04721102394388105,-0.035476366980801734,-0.033357755348301626,-0.038920543970337396,-0.044687942991348394,-0.0377734516944364,-0.03353767695158055,-0.01888511697578105,-0.040219053957648576,-0.04011199451963472,-0.02154825146677735
S181Fg04,-0.03584661547479436,-0.019720015969209036,-0.02868752429683684,-0.031806217294151846,-0.03601478041430974,-0.0365934210346484,-0.011036415723385627,-0.008126046123184918,-0.009419386330317315,-0.01928354184084028,-0.02303911219925653,-0.01964257062962786,0.9804566048899418,-0.024653112341970776,0.0018083224015257924,0.062190228931691946,0.014807226832906464,-0.018116644580400784,-0.03314549112696507,-0.019358092413721394,-0.023341115982540656,-0.03838264605469164,-0.03235952213251231,-0.03720497920196663,-0.028668628110844505,-0.008453631800536678,-0.013294278159505452,-0.028131851528836176,-0.032535450540943894
S181Fg05,-0.03584661547479436,-0.042059687349125754,-0.022055398236850966,-0.03239483496885185,-0.038660505675083105,-0.041717350050907744,-0.03987420883474327,-0.03775341802195376,-0.04278961253881073,-0.05099748376682546,-0.05378890184647253,-0.06374558972158659,-0.03458738328445355,-0.044855435847722454,-0.027207187878563417,-0.037401377512338685,-0.03402679183625337,-0.04099840315312053,-0.04066787680822916,-0.03658629891970472,-0.042730227412321915,-0.04624145045692712,-0.05534599539143079,-0.050522609190583566,0.983094888967252,-0.030091926176268675,-0.035738827721096426,-0.021638118559842153,-0.032535450540943894
S181Fg06,-0.009929684887919666,-0.01980318603310263,-0.013718063844219919,-0.03322131456941657,-0.03173938711550772,-0.013272952578076865,-0.027125395418248596,0.0028776538176832926,0.003155174462334704,-0.013148457956389355,-0.01728680908792407,-0.0011327388775761804,-0.008949268247396143,-0.0033216495735507324,-5.421552820043321e-4,0.9429113508379515,0.03471530046543604,-0.0325128591512561,-0.015272666243347282,-0.032272559403260015,-0.04355599209309513,-0.02746614827342874,-0.021080441732819883,-0.030378081657962918,-0.013653099437841577,-0.005049578664988525,-0.03309330349764739,-0.03418261726731314,-0.032535450540943894
S181Fg07,-0.026685322402835516,-0.03075162252616429,-0.012857530281444384,-0.03504222233446134,-0.031326176122355706,-0.024023626621726968,-0.012774362689552654,0.0038335490945027306,0.006998194037670211,-0.012705796833742901,-0.013460817267544981,-0.02288450705237573,-0.012840594716469226,-0.0031277919425464202,0.013515684045914907,0.13850083884478212,0.9720340116028371,-0.03212755166584156,-0.0311652842093001,-0.03297522714044772,-0.03752235150984812,-0.04005309133197901,-0.0321047305390529,-0.02945637355420659,-0.02783263100231661,-0.024997654109102044,-0.049073337427040495,-0.03631157851348685,-0.034744354021723545
S181Fg08,-0.03584661547479436,-0.02630443387250787,-0.033557728745608605,-0.03045914553638517,-0.0348018388469442,-0.01630108383749446,-0.0261162044477145,-0.011195259910786825,-0.007528641496048422,-0.018805753000844486,-0.027553003805143347,-0.018689462585698712,-0.031810646553976654,-0.004612367531993131,0.9772495442098325,0.050570394243481295,0.037483060207307926,-0.027812307178814572,-0.02017218657185929,-0.03678521978428851,-0.03092189872186605,-0.03842908279008439,-0.03344303661006694,-0.03296158267172265,-0.028307353944847853,-0.039490881553979305,-0.030458820854554966,-0.009573096155301494,-0.017544267570349152
S181Fg10,-0.026685322402835516,-0.037504858996675494,-0.010419629168224663,-0.022666001051408587,-0.022725108146667998,-0.01963248711251051,0.022955939477158335,0.006216781691663162,0.026602929864878437,-0.0022594186140853464,-0.005927915417135836,0.016228182779417295,0.00517112454971016,0.977314423805804,0.008225777516584067,0.052512303921880055,0.02638353511700314,-0.021888323121542028,-0.013479411278923485,-0.0239185755307119,-0.025886391611086437,-0.02972236322370624,0.009611410112518596,-0.014793329217568181,-0.011571833212822749,-0.003965964810766248,-0.01539366918542309,0.008832947911281856,-0.032535450540943894
S181Fg18,-0.03584661547479436,-0.03694448960745597,-0.04120424681906437,-0.04235304551530534,-0.03846372050467548,-0.04174672308573681,-0.04783534298062752,-0.0511906245537463,-0.060895958119838056,-0.05063165056023974,-0.054773035322047955,-0.06922681479938632,-0.05099296660246469,-0.05513414639604276,-0.05583264548704201,-0.066416909093654,-0.0522982838524682,-0.0432838119864716,-0.038048199732053006,-0.0399622285300223,-0.048037026078278096,-0.04960809794152268,-0.059691958862976346,-0.04768687443367024,-0.04501528222497047,-0.04305334576242713,-0.042573362414288024,-0.05294851539637064,0.9774340891282901
