sample,ME_steelblue,ME_white,ME_skyblue,ME_magenta,ME_orange,ME_darkorange,ME_darkred,ME_grey60,ME_black,ME_pink,ME_red,ME_tan,ME_lightyellow,ME_yellow,ME_cyan,ME_brown,ME_purple,ME_greenyellow,ME_lightgreen,ME_darkgreen,ME_salmon,ME_midnightblue,ME_blue,ME_green,ME_darkgrey,ME_saddlebrown,ME_darkturquoise,ME_royalblue,ME_grey
S181Fg20,-0.021443102868137897,-0.017338208348112276,-0.02088449798559195,-0.012596686143274631,-0.01650303504789724,-0.018534021032970836,0.01599635668188247,0.02197613813457527,0.05940462225078825,0.03864068109666008,0.05060297460677925,0.952136619081267,-0.010212472014224473,0.021442947639138357,-0.005418902055007472,0.039301753874628746,0.016375847462743374,-0.012016391897857467,0.03026266333535268,-0.024483752595041063,-0.01487742155864032,-0.01283323799169672,0.03865292216219555,0.013753310534619836,-0.018585072863292133,-0.04906363799537855,0.005795924309641794,0.0016060387706031286,-0.03451229547054818
S181Fg23,-0.03584661547479436,-0.04634379178253496,-0.04120424681906437,-0.039326296873346794,-0.03809311100825408,-0.03695056923797468,-0.04359380794271518,-0.04790687693507278,-0.051763320751272934,-0.05062899780094363,-0.052017586718677074,-0.06408243926442979,-0.04227509778868054,-0.05146794000433132,-0.049598048690262644,-0.06380262188796595,-0.05151712879080775,-0.04358552185875455,-0.04234319587839151,-0.03697872686839888,-0.045385254771491905,-0.04225889920154574,-0.060074690615893225,-0.05203230908755582,-0.02682246552296813,0.9788711155459296,-0.008314740979445123,-0.038279589273989535,-0.02154825146677735
S181Fg25,-0.03584661547479436,-0.04199840350522466,-0.04120424681906437,-0.028971593841372288,-0.011601153211738015,-0.032005691545020795,-0.035294205146351953,-0.019291904424465753,-0.032902378442595234,-0.024590245677381512,-0.026548546713159968,-0.0010198790493928225,-0.03740997603473903,-0.021112846863001064,-0.03482821775588574,-0.04368941357876363,-0.03657430462761672,-0.03382297653324235,-0.030108706461710988,-0.015352991950851498,-0.01700936049832374,-0.0260819967952305,-0.02280873416117014,-0.033096150757612526,-0.027360595426878916,0.0025777800111532463,-0.02059526079970412,0.9800341674950311,-0.018031496859298377
S181Fg27,-0.03584661547479436,-0.009675415281355617,-0.017372759471051935,-0.020459618433851624,-0.026881205444373942,-0.03458008747624939,-0.019076495381918197,-0.013857971963545383,-0.0025720302094984293,0.029604517320527438,0.974976744698443,0.1411218939937479,-0.0207537306614179,0.0020798816523787665,0.008311992804305567,-0.02612456031139449,-0.013579120123415176,-0.02940109968694976,-0.030348276558999507,-0.038473401119064,-0.02312867297897374,-0.01598296566871519,0.011251577190706491,0.01362048545369695,-0.03149743037570594,-0.013878930109953343,-0.024103368591969307,-0.03408574996561377,-0.032535450540943894
S181Fg28,-0.03584661547479436,-0.04644500926075669,0.9826903395774285,-0.036021699175926736,-0.03651924675175695,-0.03718903922222137,-0.03926857768359479,-0.04522057040501554,-0.05650780819157896,-0.04359667012162501,-0.04289039969814871,-0.06497514682815209,-0.046209199109151604,-0.04322726058692412,-0.043441254040593014,-0.06162332307446921,-0.04342180804707824,-0.04334972177807819,-0.05222655255504621,-0.04022312089529147,-0.04242248943695521,-0.03761598326543294,-0.059201554878829464,-0.051322605262650395,-0.04062435855072983,-0.038587165446389946,-0.042492499773267405,-0.04966391208496272,-0.032535450540943894
S181Fg29,-0.03584661547479436,-0.04533990460454379,-0.029715349298344775,-0.03517546330902202,-0.024482846363643958,-0.004141162449462456,-0.011801734948212959,-0.02123607703932729,-0.039876948758215194,-0.03133822455257605,-0.035284486321778205,-0.03858424678784906,-0.00996409662293361,-0.04285415482444459,-0.04702037730745899,-0.05548074263112371,-0.04557891345731961,-0.03834322924693066,-0.022877288410261872,-0.036281776243652794,-0.03126415879914774,-0.034317413953095094,-0.021435339591177903,-0.042635008154397726,-0.024933308282007252,-0.015874241211617353,0.981675900138216,-0.005996480636685098,0.024077910623153856
S181Fg36,-0.03126596893881494,-0.029790388432403683,-0.02432453294622092,-0.03651582107670764,-0.013683572305156643,-0.03635793051079619,0.9785786118242285,-0.025995243470689284,0.015654120753879796,-0.006111484501817482,-0.0225767350082156,-0.020972256632142104,-0.015305909722628915,-0.02503887426268493,-0.014974831017101047,-0.014290341288644615,-0.021270522582073247,-0.033141230053341166,-0.024122176564949263,-0.019609883408133546,-0.025671374020915072,-0.024826187339827274,-0.0169493754962093,-0.035354028714480484,-0.018240409394673876,0.001221804484103854,-0.034073780200490546,-0.011335246190489166,-0.022207319160455076
S181Fg39,-0.03584661547479436,-0.029357794649322515,-0.04120424681906437,-0.03050987118659127,0.9836164365497383,-0.04567447804633911,-0.032233928622264624,-0.05376354940836758,-0.06009472509318237,-0.054825177186638686,-0.04995296018771777,-0.05902817106886255,-0.04432489318985091,-0.043472177191115076,-0.05026712479214724,-0.06834853024539189,-0.05366625515083658,-0.0286486656913752,-0.04459784354344188,-0.03912798326228736,-0.036710410481627286,-0.04038425738332776,-0.05513470850671254,-0.04281515871993881,-0.03806245457705899,-0.051170883793787675,-0.03464689211468147,-0.04477481021884672,-0.03319451823462162
S181Fg42,-0.03584661547479436,-0.026695746493316585,-0.01657694107320063,-0.028959497235168212,-0.03216361701777363,-0.021124867995917715,-0.0084173909950546,-0.004339910817892115,0.9690811589201678,2.0026667145889353e-4,-0.0055605073827763645,0.03078889610696644,1.3825821125404598e-4,-0.012989251732231578,-0.010626279212447423,0.02681598442641233,-0.01441788997709986,-0.03497572884042332,-0.015972614398523124,-0.0333077658449068,-0.04177667628565935,-0.033232849732807,-0.022158928262988813,-0.02520588149707915,-0.02781727951740247,0.0036213509548637317,-0.02537804100777881,-0.03134184515868974,-0.02154825146677735
S181Fg44,-0.03584661547479436,-0.02960652606373719,-0.04120424681906437,-0.02918578378690734,-0.025604711469230032,-0.02461740260997297,-0.015575014312383118,-0.022447537737001,0.011993477171161749,0.9738915141576486,0.01523117732371732,0.04336008483713413,-0.008762808858520479,-0.022720009605706568,-0.018488891448260658,-0.011868064700266703,-0.0253998050973059,-0.02341118332432058,-0.010462687206008308,-0.040168536002981356,-0.012612051899903158,-0.004482675250226269,-0.025586307766969695,-0.030970811177165207,-0.0176685951623779,-0.004299402352142552,-0.03878508022605408,-0.02550555464449521,-0.0037900015913314
S181Fg45,-0.03584661547479436,-0.04664744421720015,-0.03581946385605333,-0.03801109715903128,-0.03446188777314192,-0.03251020300282289,-0.0528018043716838,-0.061119527544406554,-0.0644511125992548,-0.06400182835733169,-0.058715833334878995,-0.07435124469862943,-0.05293401581799485,-0.056407133930074765,-0.05739483262266531,-0.07248411972481782,-0.059069935508684876,-0.03816433850831479,-0.05573922494504792,-0.04167082381132138,-0.04814980322512817,-0.04733171168494664,-0.06356945597384919,-0.053582139341200215,-0.03656758349174117,-0.04781973996627079,-0.0467276808364253,-0.04979301815466137,-0.054838175811754215
