sample,ME_skyblue3,ME_darkorange2,ME_lightcyan1,ME_yellowgreen,ME_darkgrey,ME_ivory,ME_skyblue,ME_brown4,ME_darkmagenta,ME_floralwhite,ME_royalblue,ME_tan,ME_saddlebrown,ME_lightcyan,ME_lightsteelblue1,ME_cyan,ME_midnightblue,ME_grey60,ME_lightyellow,ME_blue,ME_red,ME_darkgreen,ME_green,ME_lightgreen,ME_turquoise,ME_orangered4,ME_darkslateblue,ME_sienna3,ME_darkolivegreen,ME_steelblue,ME_plum1,ME_paleturquoise,ME_darkturquoise,ME_mediumpurple3,ME_darkorange,ME_darkred,ME_bisque4,ME_greenyellow,ME_brown,ME_magenta,ME_pink,ME_black,ME_purple,ME_grey
S191Fg02,-0.031134387751090828,-0.030926066757785198,-0.025880654010434156,-0.034184078735485124,-0.017712862146052853,-0.027225696011893064,-0.026561685191723833,-0.013831716253831394,-0.023426348869270548,-0.023542637809885525,-0.015584177755552332,-0.020042327036636144,-0.03321953218774638,-0.028537955558763515,-0.026592109701100597,-0.01009378407247061,-0.033605056383079035,-0.03493446339937276,-0.001382093384824667,-0.03302789356921839,-0.019159092268503833,-0.034810254262484505,-0.017003565406204697,-0.027621205624753203,-0.030129820142999558,-0.03286937501197486,-0.02624300251517464,-0.029717172885326718,0.9864028307085225,0.0707003801020096,-0.0025529652057464055,0.03213507133909031,-0.009854972409910104,-0.020642859060233998,-0.0023189154020057437,0.009660336034816936,-0.017153294954458713,-0.01860410065420548,-0.006502055420319428,0.02800602274552143,0.01489760434208655,-0.026458116440490065,0.00486225067945874,-0.01650018248279952
S191Fg03,-0.03149034583514809,-0.030373924722305948,-0.01868615821518811,-0.02818807768164122,-0.01116118432366886,-0.027016041576205838,-0.032699845064040445,-0.015358428102947644,-0.025472686126587152,-0.0263367955389521,-0.03925231239885141,-0.040411215147148294,-0.0412970460132861,-0.03728177110198072,-0.03126654712666141,-0.03401527082847178,-0.02936530986109842,-0.02046035387406764,0.014028342140122566,-0.03548657980012704,-0.032492623420042444,-0.03803129729118426,-0.03411981762249594,-0.025846929662491136,-0.031927970835186836,-0.03106803798594282,-0.032247749276656607,-0.04281330082693513,-0.018661413568438007,-0.036388506740426596,-0.002304039523314677,0.9848581288126446,-0.010348174103901875,-0.026049875059489663,-0.026387371353416567,-5.741971117454447e-4,-0.0038190240966451405,-0.021939984151172265,0.003669139585724901,0.07766811497638726,0.011511133340887714,-0.03813305250116861,-2.4396093011630482e-4,-0.01617050473135717
S191Fg04,-0.03065356296306948,-0.015401301703003242,-0.03183158163186716,-0.007228946592897634,0.010670754353141798,-0.003466588036533658,-0.03469286267759816,-0.0022018208562262814,-0.031109816716395983,-0.026169738044643762,-0.008204461490854964,-0.03589377255423731,-0.012066486545714017,1.240348527520585e-4,-0.03340872234954231,-0.02446239758410118,-0.03693640259549824,-0.03551058497716464,-0.02813988087262942,-0.02188579689866088,-0.029902265642298254,-0.0187509768661972,-6.638383727358144e-4,-0.014106225630877045,-0.009849866676228058,0.04246890920068386,-0.016700524784023965,-0.028571099943874134,-0.01232270850247608,-0.02664061268242507,0.008792436534518,-0.01661446305613906,0.009993765175752123,0.0076209281108648216,0.006078701830045552,0.9800624959949503,0.012160090096639598,-0.020043070693911702,0.03720937363088095,0.13224662753932506,0.035236330032906715,-0.031054648066248414,0.006568438979834501,-0.010526402078881003
S191Fg06,-0.037559826679001686,-0.029780703578757395,-0.02375664117391758,0.014156028125504788,-0.02288558485364763,-0.025178071058319616,-0.04438878831133538,-0.025907018628541147,-0.03168983309770258,-0.03141192250693742,-0.0412718370339438,-0.054332191360877365,-0.04093417085890037,-0.04315498605010281,-0.03996502554031434,-0.0490020228093766,-0.04923743079413155,-0.04881549125457191,-0.049833163955826404,-0.052847082518721826,-0.053163570007084854,-0.05317254825603548,-0.040515579799240434,-0.03916216700220916,-0.05362734168077679,-0.03938396413707489,-0.020830893813295975,-0.03480284524976973,-0.033179756812004683,-0.03534287920853505,-0.024055170624240563,-0.024655364028890837,-0.03640645913631274,-0.014374988577437721,-0.01780608856982905,-0.02137480002078874,-0.03547305034477029,-0.04116822936101596,-0.03972689421400044,0.0153103354793315,0.0026073422207707206,-0.056780752073476014,-0.033439501687862014,-0.01628039731517117
S191Fg07,-0.02601605972873968,-0.006734752054911575,-0.022594786135333497,-0.033668673723565315,0.009885698890343153,-0.01766740641270116,-0.02769000998364937,0.018305879864339823,-0.024968209745879145,-0.031680570251494476,-0.021474484822363374,-0.029843125611821602,-0.030414143697814425,-0.026996342719473366,-0.03430586150279207,-0.016369441077346943,-0.02880426067110658,-0.0291731725118926,-0.04295839693582859,-0.011900014520511473,-0.034266861229431345,-0.015007864283542005,-0.01537405413331283,-0.026257763024166176,-0.017795508849969412,-0.006687925008368404,-0.024917091161631395,0.04973243416152031,-0.012591891894005199,-0.025502038733159146,-0.013582206569020105,0.011780135534715883,0.0033619087906919328,0.011965630887466999,0.0027435190485393898,0.036456651929494474,-7.244515836834142e-4,0.007170017190852223,0.0015203061879154086,0.41059699190854204,0.9671601268196924,-0.027470606240287684,8.470016413486303e-4,-0.016719967650427714
S191Fg08,-0.03579715259136893,-0.03285576652694429,-0.03675400455165954,-0.03871193798345856,-0.037471830493207875,-0.03056722113820044,-0.03806266383798081,0.9836977146120998,-0.005950993916582518,-0.032840524860067256,-0.03975854487777859,-0.04849053393690832,-0.04369483742744171,-0.0387366383474784,-0.03604447552804087,-0.03423260785509813,-0.042802073016534166,-0.04366805412997956,-0.04581295756036348,-0.012745252237833378,-0.04748600387867102,-0.042480555416735635,-0.03245163278766957,-0.025078038497090862,-0.038316812363778124,-0.024606782592697298,-0.030547526542928857,-0.027649443700461098,-0.02492236198398796,-0.021805546095513238,0.013146421084740288,-0.022677001490055235,-0.001812092169057984,0.038531266602592755,-0.020194104085491524,0.0028358025743400778,-0.027923167888586668,-0.026176157994316454,-0.02910779747547102,0.02159336437664036,0.010244626049117004,-0.04556880494103739,-0.004067328508886317,-0.01639028989898539
S191Fg10,-0.032811865682285946,-0.03126721854288088,-0.0282573853912787,-0.009026116787005736,0.979494428784811,0.011661031681351849,0.06725682063043796,-0.024658589767175026,-0.0142657152973353,-0.02233232555422612,-0.0259725485237646,-0.04299580548374257,-0.03635995868857494,-0.03666026718663732,-0.019708826334256937,-0.030690339936176862,-0.016682275665125396,-0.021900961920807867,-0.02907923190701742,-0.033957188159545036,-0.029964813564088956,-0.042684961375934825,-0.038896488059592206,-0.03488706276579472,-0.02774751796159282,-0.011790312330019327,-0.027088218357567532,-0.02361708165604773,-0.028688543169333648,-0.027684796675621237,-0.026986293707084517,0.002800654245544516,-0.03116677852640248,-0.024259577026835656,-0.02638391131735616,-0.02481226747444632,0.0026666469481218275,0.013244411056814846,-0.01167367780137307,0.22372627258950387,0.043876409350616846,-0.024705097062635958,-0.005311160934793321,-0.016390289898985402
S191Fg18,-0.017564873552652197,-0.026439751525210487,-0.018294644784983854,-0.02246709861375083,-0.021621337763227905,-0.030082444150659148,-0.04267224287016344,-0.028787239368272127,-0.03138595722149327,-0.02030617288404004,-0.037852293512140305,-0.037192135225632805,-0.037430651273075516,-0.03369119824488158,-0.02321272829909313,0.008151353350599595,-0.02252188284749238,-0.04382489771034684,-0.05230720639417257,-0.04019851320723205,-0.03622651465323637,-0.03473199615472079,-0.005489495316433071,-0.016511929606109928,-0.040879041461188495,-0.04105919532013895,-0.03224774927665662,-0.03375812726488157,0.008603847650262878,-0.025122073479703216,-0.025870167460690433,0.00430526765921518,0.05836813898580729,0.9830427380392782,-0.009640549828385239,-0.002242210025326248,-0.021365170047442053,-0.019653082725014977,-0.009516832058938763,0.09610186594352642,0.015972644152283104,-0.04274949100037948,-0.007035485098056084,-0.016170504731357185
S191Fg20,-0.02306064806945527,-0.013973557046832556,-0.01711001616704547,-0.013752451141372055,0.011768330311981002,-0.02208074024702355,-0.012975570451075804,-5.828696131698131e-4,-0.02204891682815245,-0.027146916119591535,-0.019196060980745507,-0.010285687980464378,-0.02533889954038092,-0.021128734430027662,-0.004644218614219865,-0.007473048672416428,-0.020000511649588628,-0.03395901138205818,-0.03002992672176495,-0.0024485634053515847,-0.02574670099302547,0.021968702797138657,0.04023459092461678,-0.032715410875804304,0.012682235731924854,-0.03185933464208595,-0.02643109773959063,-0.009886303084669654,-0.005640044056859182,-0.010194562818203958,-6.726615016961782e-4,0.001547212717924562,-0.007876126680857375,0.0013831295944548771,0.023704614326264938,0.01047797399709293,0.047152062533652145,0.02812796501496705,0.07453702030617088,0.35098131664903787,0.06325309252126612,0.14817252998670508,0.9818112917052022,-0.01929268107323864
S191Fg23,-0.009572029442122787,-0.032405657511404715,-0.0028590902237623857,0.005454938326827762,0.008154667367378191,-0.02961301581617678,0.007569442544208548,0.031363867008130646,-0.02099837561109708,0.048588973098042866,-0.003779706199747548,0.030036329273460918,-0.011846696893420754,-0.0026060014833921125,0.016493186431233525,-0.0046547108783349,0.017030072300377775,-0.017347368558361793,-0.007527953448235563,0.007724255374482472,0.0018102602476040882,0.049652908474839566,0.0435213684278256,-0.024433053115011486,0.012389792192142129,-7.761538785328972e-4,-0.023727099474257156,-0.010727678067068187,0.023321485593888962,-0.023756274833580154,0.009358127765985907,0.0012813337913474142,0.04412220723326367,0.010189640811908292,0.04036765364817941,0.025005544575091455,0.07554734837899571,0.10565608306662681,0.972532420338106,0.3899195218541752,0.06301418601977798,0.0276434112843483,0.029762256864723613,-0.010521329076224436
