sample,ME_violet,ME_lightgreen,ME_steelblue,ME_darkgrey,ME_orange,ME_greenyellow,ME_royalblue,ME_midnightblue,ME_salmon,ME_red,ME_green,ME_yellow,ME_blue,ME_brown,ME_turquoise,ME_pink,ME_tan,ME_lightyellow,ME_magenta,ME_black,ME_darkolivegreen,ME_darkgreen,ME_grey60,ME_darkmagenta,ME_darkturquoise,ME_white,ME_darkorange,ME_darkred,ME_saddlebrown,ME_purple,ME_skyblue
H183Fg01,0.006804348276290595,0.012381447692412513,-0.021459995214912025,0.003968212848387311,0.026346131135283123,0.042216296694258346,-0.00829603801578734,0.03877455312577354,0.0132079300106362,0.011971802564167525,0.042830435436261166,0.07186949732760106,0.04580280531177626,0.08149852818762675,0.975227859035176,0.0060795359758533465,0.015737454168279815,0.04080743581764079,0.006054065984936865,-0.009239130657255018,-0.021020890177069436,0.019249888936173278,0.004553339488448622,0.032301407793441324,-0.0037545753511222957,-0.024152226480754515,0.026111241863309435,0.02817767275360908,-0.005639804920062203,0.0010510701565903625,-0.011483259890060842
H183Fg07,-0.001397354958825666,0.006117504155049227,-0.003980981283450857,-0.013839833114038708,0.014564226205679178,-0.004791739107486866,-0.017133754724233757,0.01956753756446295,0.006160071088797296,0.9815168614123189,0.011315558528946617,0.02128357127173431,0.016008351746028413,0.02848042060924466,0.028489709402577952,-0.015819115787058077,-0.020278613722812103,-0.014268618449097494,-0.011481821668190008,-6.692290734569479e-4,-0.037173964718686614,-0.020002532602364845,-0.01201120661565663,-0.023435368353703558,-0.00869320815987712,-0.034943353538109116,-0.012997759166652306,-0.010189626427781437,-0.017239911386578332,-0.011369736689260737,-0.03397364757866007
H183Fg08,-0.03825539829682351,-0.03404819101736928,-0.038897470279971855,-0.018384750700520595,-0.0041709539287836704,-0.023339973105860775,0.012801481834071786,-0.0011677467272740575,0.9776898465903928,-0.017351538834013344,0.008637402423594481,0.005539499372738428,-0.014777159290799789,-3.533760014818236e-4,-0.01521619526546043,-0.015552811506324381,-0.00918014816760155,-0.004458975101868173,-0.007495259496591732,-0.02119238894401094,-0.03920174364398012,-0.021269173142294553,-0.026548986633132654,-0.019841506045341382,-0.02279822267071264,-0.02993152507020032,-0.03316632503094667,-0.02978171093922757,-0.03257468757816859,-0.04195182002807437,-0.032969037069593116
H183Fg09,0.003781872604125957,0.0019372848672029816,-0.01805967393149753,-0.021937092288899698,-0.0033017294147488895,0.005019968607795601,-0.015215863921859646,0.0031766524223850296,0.0031032292793189034,-0.02045781700505387,0.0072844177143426515,0.019479339171698487,0.9745420066725623,0.017100290800910176,0.02784457669358856,-0.013927439211293352,-0.012319701991928077,-0.013141546089787237,-0.014835103150435748,-0.021533884928693202,-0.03025289010789522,-0.012158826959803476,-0.020287714344711848,0.026748820805120876,-0.03407567951686249,-0.030849681480120673,-0.019972304182557007,-0.003600588367067369,-0.018736112139768613,-0.018536340233307694,-0.03665866165098229
H183Fg14,-0.049931633530730296,-0.06341482352125304,-0.04917967149188723,-0.04778176062276145,-0.0440840542883333,-0.06064999519469847,-0.039096493045264476,-0.058164619349326895,-0.047036660567335145,-0.0498973471763886,-0.0560078516594758,-0.0632326808160428,-0.05441248348317155,-0.05616252430944287,-0.05643539873931104,-0.056618488539168906,-0.04498008310557195,-0.05232306833584296,-0.050096566065329466,-0.038350370753929046,-0.042725340927273245,-0.05103077267031467,-0.05602749534895268,-0.06046588283093315,-0.04618337990209214,-0.0390044720916914,-0.056939211784239246,-0.05620885521555023,-0.050129919299251854,-0.053335272155196484,-0.042287070875912866
H183Fg25,-0.029987176007748292,-0.02691812914458913,-0.010229002929005646,-0.02380272547452853,-0.03057095723860874,-0.010570741520383772,-0.025918902480836486,-0.00932144029073366,-0.022984345127813926,-0.01039704623525984,-0.016330932309443432,-0.008817724737424898,-0.005767107100834267,-0.02220730380369151,-0.01670108806166613,0.37590616121168724,0.9806517582369315,0.008130884606189968,-0.0049292942310031245,-0.02469608412742461,-0.042725340927273245,-0.03263872643575112,-0.017846988785602712,0.007251318118508929,-0.0207742642002617,-0.03573440849446428,-0.02260481395101996,-0.015594435540585622,-0.024095976023452842,-0.0279779460575212,-0.018679372583589916
H183Fg28,-0.02824325886457472,-0.005938093722365733,-0.010190683240043729,-0.0219172178443614,-0.028034694739133125,-0.020683076407873684,-0.017617377119006548,-0.008944152239942032,-0.00661741396133538,-0.012962625268799533,0.002289775334283512,0.9696879887192005,0.021498431305126433,-0.005724260312495983,-0.0015081132754269407,-0.002466100151933047,-0.006427802813262577,0.006897645627954304,-0.014977564766496943,-0.020861843895084435,-0.03145534905619869,-0.023378650472442135,-0.03592977728370864,-0.0483791026616744,-0.03687519598792345,-0.04021496848743862,-0.019609314875637662,-0.025418660524925307,-0.03186692991761498,-0.02958673654581241,-0.03883359806515621
H183Fg29,-0.04238521047034106,-0.01249616604550702,-0.0230700598746917,-0.030977570171600265,-0.026884857279000977,-0.016788620792977098,-0.020912337541513483,-1.4939455899228498e-4,0.004395950202365429,-0.018747568740339414,0.9742468247598948,0.004375263778283612,-0.010816346918521708,0.00856615347573147,0.0013346856369825903,-0.009378291500842585,-0.004894331797235434,-3.111473041492711e-4,-0.007208387240798475,-0.0185925311310983,-0.030226978730977055,-0.03684011652210301,-0.0317650019645236,-0.011535892934281389,-0.021983214887865313,-0.040324032673567836,-0.02992760999068611,-0.030915250760369394,-0.03147367469859365,-0.0395754661350287,-0.03586842642166773
H183Fg30,-0.05015291660891134,-0.05112800036625551,-0.048402948179238306,-0.03812569864099589,0.9779316266503695,-0.036674354288566205,-0.020300809121418895,-0.05506091267890073,-0.04716083963231159,-0.036258499911581005,-0.032328950464240766,-0.030344935053682826,-0.03657632469334484,-0.03678965073140566,-0.03728931072034274,-0.04763460371996642,-0.042009559170897444,-0.04551615659683167,-0.04132408301787029,-0.026429982551681604,-0.040686942033703107,-0.055198277195906476,-0.04749279766988427,-0.010531448676864799,-0.033344083344398034,-0.04578943045306665,-0.04542225339146764,-0.04488990174403019,-0.03109863018978318,-0.0513106233250652,-0.03784489780913788
H183Fg32,-0.0406733165217463,-0.05722705600305564,-0.03841293418280859,-0.0435376591420614,-0.052721917127465934,-0.05779638147739939,-0.04329853663173724,-0.05251879356379044,-0.043425422273792286,-0.044106251347235996,-0.05199815506539894,-0.06001632704877641,-0.05690701699371591,-0.04529179684802235,-0.054481921040023945,-0.05549575083854536,-0.042739863057363645,-0.05142328434088363,-0.0409580602070689,-0.04244823776577252,-0.026952029534533167,-0.054079817913780276,-0.051954258223373954,-0.05004954679226089,-0.04157400774319001,-0.04430310755131625,-0.057351011080793476,-0.05702265028464392,-0.04494003555943677,-0.05577889836966263,-0.03998326964737422
