sample,ME_magenta,ME_pink,ME_purple,ME_brown,ME_royalblue,ME_black,ME_darkturquoise,ME_darkgrey,ME_grey60,ME_red,ME_green,ME_lightcyan,ME_blue,ME_salmon,ME_lightyellow,ME_turquoise,ME_lightgreen,ME_tan,ME_greenyellow,ME_midnightblue,ME_darkred,ME_orange,ME_cyan,ME_darkgreen
S193Fg02,-0.05490861379224527,-0.06072400427873467,-0.054120283674223855,-0.04796073988688544,-0.08996770673720901,-0.05772599709777234,-0.06553830257383286,-0.10008821423920784,-0.08544617842132408,-0.06679376580965442,-0.06476833822135962,-0.09422945080911406,-0.07012464761821466,-0.11450092867770575,-0.07110848666540018,-0.07201886681785803,-0.018297265883787727,0.9665833743095097,-0.07081716265815656,-0.06904255766239487,-0.06972345687945115,-0.05793653816298028,-0.07291173434641916,-0.07220548282381424
S193Fg03,-0.05819120578651279,-0.04785408002078667,-0.06767639924130296,-0.018364484887137964,-0.04460523724155718,-0.06248327936729059,-0.08382763192451767,-0.08312596437994697,-0.05852480748462439,-0.05198442152620198,-0.02460200660398542,-0.0843140695029296,-0.033104470213196575,-0.05023150366722621,-0.06613829090134146,-0.037634521768418396,0.952352911338225,-0.010645763085540959,-0.0600375130101173,-0.05946712306751611,-0.04937747836987718,-0.06875002363070065,-0.05661863723383063,-0.044891682918643795
S193Fg04,-0.05696434239749471,-0.052750464887392795,0.9654780366328464,-0.07189247327412901,-0.09432650906823356,-0.04431152791545602,-0.10135575510912205,-0.08107368488262748,-0.09411640735269307,-0.05235912084444228,-0.05878177225096878,-0.03965952453598826,-0.0705620903240909,-0.0729442119182357,-0.08865022052961385,-0.050578215329427544,-0.07351981202308668,-0.03997916590637891,-0.04055426947611668,-0.05999257244790437,-0.0668425445646747,-0.06669720217084456,-0.08143694284266889,-0.058667954589147406
S193Fg05,-0.05771170425778782,-0.05107183376206242,-0.06578690545226955,-0.03850363661509828,-0.06992845189961594,-0.060107826931140605,-0.023575737099363857,-0.028447351092413527,-0.09112762450371381,-0.05931364593919612,0.9654662377189458,0.6704870138637055,-0.02731277491738724,-0.028861473154973945,-0.08270705293604445,-0.030835391667140468,-0.0415627449535885,-0.05415536920925631,-0.057915897540696655,-0.0585197173842153,-0.05336950331859383,-0.05127433829773541,-0.06533653229904642,-0.05556957620698356
S193Fg07,-0.08677666793302914,-0.08302610838447119,-0.0751354916388649,-0.09376544783223507,-0.12496134945525492,-0.07769922675174841,-0.09165897683302265,-0.08647930306344682,-0.09841074094626819,-0.08450268090427135,-0.06973268218146611,-0.10180689055447145,-0.0994596848065389,-0.08770336134305969,-0.10827653256699468,-0.03774503513416549,-0.07912173343855973,-0.06854366527614554,-0.05338906408164007,0.9669681993204919,-0.08517768720132828,-0.06468364499464584,-0.06757590937387498,-0.08697315733788268
S193Fg08,-0.03979675430986959,-0.036205720001969116,-0.006383547850740109,-0.02070966622579961,-0.0460776668283853,-0.02364917115490801,-0.08360722285732035,-0.07035878847702023,0.637958291045176,-0.038918198810222356,-0.018492947079175797,0.6477994931113529,0.01471480128349838,0.6600289277364182,0.647801890590924,0.9629168851790996,0.07544983967678794,-0.030856558156697227,-0.012956328576041964,2.451192433412165e-4,-0.04426967641621099,-0.0574153761113696,-0.03759112670602016,-0.04263229234147103
S193Fg10,-0.0773849595411131,-0.05264574539363097,-0.06362437197263564,-0.07193724063446698,-0.10381166187821322,-0.07925658762351905,-0.08338952546268281,-0.09021618043778601,-0.11729928304890021,-0.07384161367279261,-0.07156552929490301,-0.10304917830744494,-0.08456146755232477,-0.10451670502709758,-0.10440516513144273,-0.04952581827147025,-0.08222502892529009,-0.07412766871361068,0.9671883961932787,-0.05553544084350114,-0.05809961050325737,-0.07524680373126637,-0.06616030756194338,-0.040370195993698905
S193Fg23,-0.07235014508444682,-0.05921098435628527,-0.05078342628642319,-0.006000692507346282,0.014543900181231476,0.9664228652208599,0.6687446623115513,-0.08299070512540527,-0.10193238130715869,-0.046822138306815496,-0.055867504732353905,-0.03830163233134295,-0.039881889988619676,-0.04191492131584778,-0.02373233620299039,-0.03862045172901535,-0.030550887322527247,-0.0627707564240465,-0.0624987336595794,-0.055164461135659565,-0.053653964401897056,-0.017357440419523116,-0.06450393751224301,-0.05056703637990589
S193Fg25,-0.09866233082044583,-0.10606145725260721,-0.09703720086640254,-0.11089060221646646,-0.160970855702455,-0.09560006544879229,-0.1290490875635154,-0.13379419798284622,-0.10592956282040707,-0.11234571032688949,-0.1009811451054453,-0.13472489802328547,-0.12363929125750944,-0.14067613997167946,-0.11988119190497763,-0.12264240414979485,-0.12115252621360362,-0.08873328925916886,-0.0978743328200677,-0.08424448583040925,-0.07979094041252895,0.9687567156808868,-0.06777417595458947,-0.06296040678989599
S193Fg27,-0.03188710893141631,-0.05084009351473644,-0.03009365668613478,-0.05185219033720513,-0.0715135429122351,-0.059580539160207655,-0.03212059001125441,0.662849751624632,0.6816552456847323,0.9653019403194248,-0.01537410273645208,-0.02799216272494623,-0.0028408555331651568,-0.06939564267714676,-0.08955636598666823,-0.026302416191191422,-0.033761978321110254,-0.06423735525668452,-0.05053995225390021,-0.04429911448948402,-0.05830464449653,-0.06597188695698927,-0.05426497499897436,-0.04906285418521826
