sample,ME_lightyellow,ME_pink,ME_red,ME_green,ME_magenta,ME_cyan,ME_darkred,ME_grey60,ME_midnightblue,ME_salmon,ME_greenyellow,ME_black,ME_turquoise,ME_blue,ME_darkgreen,ME_purple,ME_yellow,ME_brown,ME_tan,ME_lightcyan,ME_lightgreen
S201Fg02,-0.03904246607017976,-0.04675660606930047,-0.0473562333524347,0.045465033349701,0.9718118535167821,-0.036510950784611036,-0.05239366627997141,-0.039617415056268805,-0.005803982574373291,-0.0476409612368374,-0.02926038064845219,-0.026133987727206907,-0.042964296997690075,-0.009511098534289069,-0.012616145543110255,-0.05162988191370535,-0.03785037215688083,-0.04569151427458424,-0.04725876110410217,-0.06310127303615155,-0.04298380823295781
S201Fg03,-0.04645290250161856,-0.045939510843920464,-0.03478644652297753,0.9684175194861592,-0.03687966936605841,-0.036373979776685626,-0.033551941170388455,-0.05934496216731935,-0.041849018063793444,-0.05933405895216881,-0.048271917000353624,-0.06768343146651135,-0.03542120744888226,-0.04672061393802526,-0.08091536134856402,-0.04529856831342017,-0.0504565619675638,-0.07414937486118024,-0.055766905920848486,-0.043663271038671014,-0.026890877501131345
S201Fg04,-0.05368903251721764,-0.026072878373328646,-0.06669265098423821,-0.055927614976268046,-0.051741893718818564,-0.05391751886675491,-0.05994660315425695,-0.02888013068140503,0.9649715187843271,-0.01343540212700955,-0.06428983718945527,0.019577662449955603,-0.06672473326142038,0.006007952392792432,-0.05164608532238473,-0.033176142430532386,-0.04070154797013344,-0.07915857587504763,-0.03780266485128711,-0.05402759348210108,-0.048395382651999275
S201Fg05,-0.036772626252282205,-0.059611788899031536,-0.04043131507762291,-0.05653472559760277,-0.06570980579743052,-0.07663377747981581,-0.0628367028623086,-0.06687624782498991,-0.07358248123928506,-0.06655158179506915,-0.0718890443782028,-0.0931184129963552,-0.07774306884758034,-0.0981554082572399,-0.11113510283671588,-0.03963427833955174,-0.030572793266337224,0.10556523410878371,0.9719215050899791,-0.0663309807183556,-0.059698378876937824
S201Fg06,-0.05326369415452349,-0.06552165367465596,-0.07473462432501052,-0.07498511072476331,-0.06356866911981884,-0.07576673142693505,-0.05316813152741739,-0.06871451126390625,-0.08153802549258711,-0.059478445408941344,-0.06404826624585058,-0.09401669142877382,-0.06494486029339566,-0.08277279713504242,-0.09971580253488008,-0.04969301495577648,-0.03674943843600746,0.9333155388595534,-0.013724875102986112,-0.053802658028759935,-0.060174083018864566
S201Fg07,-0.06066592828041891,-0.01786582338389155,-0.03369998926043006,-0.03268445798881512,-0.022863208474823263,-0.05989246152616844,-0.07207333244711828,-0.03176500256816464,-0.02702561936169154,-0.03674097216084363,-0.07055755594028947,-0.053022383021266294,-0.024370146463659068,-0.04449762458477973,-0.0638131824016109,0.9710385856466294,-0.05144800968787044,0.012201675288117348,-0.052105146176404486,-0.05976595367693729,-0.03878790278926266
S201Fg08,-0.031901370603080445,0.972777983804882,-0.054167521613934295,-0.052541009802371495,-0.08466598525856149,-0.06327523718502279,-0.04427988287070756,-0.07517282319339011,-0.058156527333934095,-0.07305933463108102,-0.06829263108026716,-0.0537174870267916,-0.07175958763022423,-0.06316720641766868,-0.09252580317584927,-0.05356037443227939,-0.039741884239365116,-0.10590396284837589,-0.05844377754436282,-0.061383251184160166,-0.06168665091118715
S201Fg10,-0.04133540090091183,-0.059026475072062067,-0.056437517592902366,-0.05549782040491113,-0.05336159462067755,-0.06550071717974319,-0.047542215514444326,-0.0454391992523746,-0.02533214408948154,-0.0373466790244235,-0.053587074174005614,-0.07933403308441779,-0.04726870537830797,-0.057980837015102774,-0.08016209987897709,-0.030873771911045428,0.9728524103396762,0.07483846374277764,-0.042037772940254806,-0.044129301559224815,-0.03224677885869218
S201Fg18,-0.07028838696718491,-0.07307313655779733,-0.06442930544312662,-0.06746306432647314,-0.05468262956462959,-0.06696621288016544,-0.07457380999571403,-0.06901836200417726,-0.08918771204373069,-0.06135013469622481,-0.048959573004989695,-0.09145284274376393,-0.046195245728822165,-0.09184708557107939,-0.08865040055808035,-0.06567628768211892,-0.07217771788860909,-0.08445755343726867,-0.062412551528228,-0.017416886854964828,0.97306327677328
S201Fg20,0.9736765303136338,-0.044006959461389175,-0.06868881894085321,-0.06906116907331099,-0.061303699237681905,-0.038297426171469647,-0.03767831431067028,-0.06142446114164123,-0.07908137357223427,-0.06736417461020745,-0.05655138919592488,-0.08527315644060358,-0.08118701041981226,-0.08697865849895121,-0.08892535236845994,-0.07326561909671257,-0.06338260278893917,-0.12157102618574095,-0.066758146331387,-0.057163842806289784,-0.06972921318726769
S201Fg23,-0.04610395035957955,-0.04118356057926687,-0.052188283152592566,-0.06459672459722993,-0.04286657337050185,-0.007241730154634304,0.9715423846427587,-0.04433017816373169,-0.0746073127178308,-0.05002576211553884,-0.04527919488419178,-0.06506090328691093,-0.0734097086103581,-0.0750635087883712,-0.08425735557372464,-0.08079565354336166,-0.06715282178770034,-0.09401765824430393,-0.06343778940213442,-0.036308327622592236,-0.03739903119721512
S201Fg25,-0.05101904463375851,-0.07246864212077193,0.9703638677217385,-0.052363398887236234,-0.07916615825601225,-0.04031818793361355,-0.07340270127214402,-0.09519492932674528,-0.10094528484639463,-0.0718748899960912,-0.08016543998297025,-0.10002966953521536,-0.06307821936552274,-0.09176524688046409,-0.11660425347906037,-0.07694354613271348,-0.08090711551032963,-0.09271875502933413,-0.07404116284201212,-0.08321854820885809,-0.06828509975993116
S201Fg27,-0.07470980882071715,-0.05763600070700229,-0.0612630613705997,-0.04494172323367831,-0.05783920575739282,-0.05019328243497756,-0.06735357525679365,-0.049512091773407284,-0.04607001848053288,-0.03752125549658461,-0.03045272726057833,-0.06775905553715234,-0.016437229560325624,-0.06063615536590019,-0.049279334177792504,-0.03136701641527646,-0.044446061787787976,-0.03429233893341337,-0.03365272584119013,0.9719895273160785,-0.0580809505713883
S201Fg28,-0.04621954935720409,-0.04611992256074445,-0.036753245339550406,-0.04135149156930022,-0.04636181037786888,-0.05278061235078484,-0.03057377759769123,-0.044042960980917936,-0.09005519918762046,-0.054551977550590804,0.9721213034423982,-0.038672094970424876,-0.02525635880790416,-0.04872098077450556,-0.05243092126181536,-0.06183426266394784,-0.05604302997733735,-0.09459527843374346,-0.040702803132467984,-0.047287008068899995,-0.04838417199120061
S201Fg29,-0.05105166129751778,-0.04121184318152945,2.8979438579583816e-4,-0.040845720612860424,-0.014563007710767873,0.9723250575502758,0.005880434638272669,-0.028256418391655255,-0.07511865493732758,-0.05675361530758858,-0.030052991117581408,-0.06616628851274678,-0.043932455014109625,-0.07158189610108621,-0.06673732343244453,-0.0552977057044409,-0.05967864156317877,-0.07749758901944016,-0.04132799770934634,-0.05214153486171985,-0.06517930219716107
S201Fg36,-0.060936907440318856,-0.07201929514439546,-0.07781375332125474,-0.06692131253042168,-0.03907075551203738,-0.05183171389283595,-0.05364037288213946,0.9717707491526999,0.011490027009101822,-0.02002894436387989,-0.04713109452090076,-0.0537466464016195,-0.04171534255475124,-0.0478955298646546,-0.067608342473609,-0.03618935934174693,-0.030583045590815424,-0.036459204515497126,-0.058191098233933904,-0.03845396134261853,-0.05063880750285287
S201Fg39,-0.05182507231907463,-0.0541887906310173,-0.08231260172220223,-0.08122480880848552,-0.053453329595174126,-0.05283504890454365,-0.06302837769899794,-0.046827122773517936,-0.027274856308820934,-0.06812813326101823,-0.05755262194657489,0.14827050135564931,-0.044403412291977244,0.9603638105240248,0.6848922175027158,-0.07581091531104378,-0.06745071375451663,-0.09914243417378993,-0.08212298680601107,-0.07539529015625254,-0.07150096476600336
S201Fg42,-0.056814835776029006,-0.056837411390437194,-0.04962650901942862,-0.04855636749324129,-0.062074131994445524,-0.05110773021565562,-0.05794746062405237,-0.02987525784741107,0.002217149567588839,0.9722222100593975,-0.05486524901898029,-0.04371334008290492,-0.04661124535834905,-0.047658841778542814,-0.05338719440758324,-0.04628675672901882,-0.05053164960590676,-0.0444561751875312,-0.043132095213412595,-0.03268888235539497,-0.056978195804034695
S201Fg44,-0.04818061110870849,-0.04506482951985562,-0.006096380617741056,-0.04186640270155156,-0.024732816925359797,-0.036737109541421724,-0.04551391952733918,-0.03500960794599847,-0.04693680765514251,-0.04435968103574574,-0.017263521367259706,-0.035758449893762916,0.971600405774635,-0.0028181737167099568,0.6490553674643278,0.0011649651399584194,-0.03976574674086477,0.07256500517898833,-0.024372449545040004,-0.01863819956495663,-0.03725675911269191
S201Fg45,-0.05340328095330799,-0.04817285563448359,-0.06317540445063521,-0.0665196295073405,-0.05690690885871947,-0.05614462884443702,-0.047918034288876164,-0.05246906679567801,-0.03611367745623774,-0.04667620628955338,-0.03365079448557004,0.9468107103508226,-0.05817757174154229,0.06139990030559542,-0.07353752419238317,-0.06487039586989525,-0.053212655619531805,-0.11437447615896977,-0.07462979486456923,-0.06707276274916957,-0.03876691784250011
