sample,ME_saddlebrown,ME_steelblue,ME_violet,ME_yellowgreen,ME_darkolivegreen,ME_paleturquoise,ME_darkmagenta,ME_lightcyan,ME_lightyellow,ME_skyblue3,ME_darkorange,ME_orange,ME_white,ME_sienna3,ME_royalblue,ME_salmon,ME_midnightblue,ME_grey60,ME_skyblue,ME_lightgreen,ME_darkturquoise,ME_tan,ME_darkgreen,ME_magenta,ME_cyan,ME_purple,ME_black,ME_yellow,ME_green,ME_darkgrey,ME_turquoise,ME_blue,ME_brown,ME_greenyellow,ME_red,ME_grey
H173Fg01,-0.02077018455476707,-0.017631941708254193,-0.03293225134561521,-0.033832332325046455,-0.030686492986516517,-0.015109821756784065,-0.04299530761493158,-0.007964608695292951,0.98601982663077,0.007630508590369829,-0.011180815908538757,-0.006385103942745644,-0.03288928478901753,-0.021503383261938902,-0.025271280279177674,-0.020348439763802646,-0.03106076548888187,-0.003675083777048968,-0.02692008571691554,-0.027140679565005335,-0.022510074565322846,0.0052912174172861344,-0.02138150353674929,-0.01223010130126703,-0.011113009537270565,-0.015678883154050985,-0.025139378506725648,-0.03232576186821468,-0.024985721369992272,-0.021524866359790777,-0.028276142285946868,-0.016226831628035714,-0.019624043727862542,-0.03524106700189526,-0.014602955583624257,-0.02843535464777678
H173Fg02,-0.028055408841612506,-0.01554161629139883,-0.03287315613044961,-0.023304378645717775,-0.013614086769706879,-0.03567172690217091,-0.03342647652949504,-0.03344611806217468,-0.025229932245557224,-0.009466680243285116,-0.028409067556337764,-0.026263761164571964,-0.04344568858462905,-0.03640118039348976,-0.03933080787285359,-0.032632868457885156,-0.032286015955247493,0.9802736991177663,-0.038317811748140196,-0.020968596985194488,-0.027320018910963695,-0.03298258615065952,-0.02753969561416758,-0.02269795644131567,-0.03388888087741404,-0.028528356895505813,-0.037789465459399096,-0.03832875498746535,-0.03070314122772677,-0.040720542706894736,-0.039758997290970655,-0.03181585232989559,-0.03226481175463747,-0.03205297153316655,-0.03279173619757203,-0.028435354647776682
H173Fg07,-0.03593299361842006,-0.027818295600632287,-0.032051420595338886,-0.013388915715978786,-0.02575861907351043,-0.03159005249161517,-0.04390979501981535,-0.029699281279777834,-0.005572607249889589,-0.02302488588352982,-0.0247256789500242,-0.009622263186399915,-0.029764171549382434,0.006832463635512993,-0.015130357742025702,-0.006474558776592476,-0.0201713387295277,-0.028744747496497136,-0.018213818489063338,-0.010879617505669847,0.022169571090244145,0.9830762507080418,-0.01723319708172677,-0.013466871614064957,-0.008245024141363078,-0.016306302082089774,-0.016823056148063606,-0.016777672897549015,-0.011834078800115833,-0.004060174218499579,-0.009471780530856927,-0.015092846893766387,-0.011334561835046025,-0.02240893628730986,-0.026299685245812,-0.01625422053287463
H173Fg08,-0.023440921167502727,-0.03196791676059681,-0.0231006028852346,-0.031130745002567864,-0.035534346572916854,-0.03955589406557912,-0.010738003994921226,-0.037147715213303054,-0.030294390708282427,-0.037363060437757195,-0.03161224555620128,-0.0329492393959517,-0.01812739246946502,0.9840633570144238,-0.0050299253352792455,-0.016235610625053316,-0.03406205751894577,-0.038358783225907724,-0.040755989304671406,-0.03629815948985855,-0.031023220562818428,-0.019866661548393876,-0.023531507438579798,-0.03270813598576636,-0.024092846048242567,-0.030781853899823856,-0.04275908137213754,-0.04326492357497143,-0.040643144635827966,-0.013326082127687652,-0.041074158130497945,-0.03813565500196317,-0.04351223740904778,-0.041660996341427156,-0.037157446076824814,-0.0036412444958678052
H173Fg09,-0.028360740127014197,-0.026402110447210102,-0.00881231777279048,0.07980415182113369,-0.019232380688545096,-0.013724295508011868,-0.019150092369798564,0.018139532667894902,-0.01226276435679063,-0.011405588536473135,0.01043621174633584,-0.0025249571151874824,5.055578892566168e-4,-0.014497294109350644,0.012741945656275136,5.18336692933088e-4,0.0060850579886413516,0.007852145235647154,0.028498624846600935,-0.001094959184732077,0.010473484273419882,0.010176461270740131,-0.012824651829045332,3.473127162624143e-4,-0.008071739925356754,0.011643076820162503,0.024393281486109294,0.02956558679575739,0.04347809890994931,0.04149412748738495,0.07191223649721451,0.977058576731308,0.035262271035524845,0.016133467674203563,-0.005304583544253612,-0.028435354647776634
H173Fg14,-0.030463944557855192,0.9859881249830544,-0.03377830854708737,-0.03459586764299103,-0.025421295131244658,-0.03861616248093813,-0.02407117381099196,-0.030950358291524933,-0.02983411760540333,-0.035720282852118035,-0.03479420111410701,-0.03000120076844749,-0.032797486967061217,-0.03170443011370525,-0.028864742335669956,-0.03469823456960372,-0.03751392158027674,-0.03310137224691936,-0.03485439595697841,-0.01678368599228089,-0.017001380687402656,-0.030911853574154508,-0.019882274665102066,-0.03474724749517197,-0.027823836550907397,-0.03659747766747558,-0.035431958765730784,-0.042323245758218254,-0.04413173556177294,-0.026462888301091374,-0.03812718222381555,-0.03151424610191825,-0.040169656870427936,-0.042525699682247134,-0.03287617217866795,-0.028435354647776533
H173Fg24,-0.03684696449521663,-0.033004454785605424,-0.03062144522318666,-0.03857398941333961,-0.031014688756966228,-0.03793619543770367,-0.03544393270225912,-0.0351982254957366,-0.01370573434297087,-0.02477509806259212,-0.012164489837006194,-0.019117947896606525,-0.02508448375884088,-0.01768275846490774,0.9785992820317854,0.018563686185998577,-0.022202298391652175,-0.024672234438149816,-0.03466007094971337,-0.036270778503599756,-0.018153093558152367,-0.023135703417448944,-0.03238363845765504,-0.022237300492739278,-0.03251038735915178,-0.024597137047521644,-0.03361813882786333,-0.04051076382574942,-0.02094175536698069,-0.017726106122490985,-0.03334284034597968,-0.03640500598683181,-0.03753341625890179,-0.03437205629818322,-0.031629932271706046,-0.028435354647777078
H173Fg25,-0.02235242626195404,-0.027940424338395622,-0.03240346559469507,-0.014955823996334305,-0.03068649298651657,-0.025966860022161628,-0.03935169083302045,-0.022330371248047296,-0.025624325984664343,-0.014148827154286938,-0.003363741059801724,-0.0072102467638007536,0.007849638141976052,7.931161101044093e-4,0.011563209973638139,0.010259414605543813,-0.01615702058344984,-0.02479129228419953,-0.020943580948712664,-0.00426754192515004,-0.0016137882766235534,-0.019070892183824725,-0.003147888103945879,-0.01095144303483812,0.008100295927050877,0.001536290884031004,-0.013008461217834902,-0.0078768424718752,2.2010854992306723e-4,0.9583517873419517,0.02241516913221224,0.0032451095034710543,-0.018353208861997896,-0.020624606726093366,-0.028362967809592923,-0.028435354647776575
H173Fg28,-0.020358715985294762,-0.022201420481111542,-0.019157238407046365,-0.02913655203217897,-0.02724436880078587,-0.014175828863111615,0.015860120575644863,0.0033146002278325237,-0.016411572583125304,-0.020212102294804097,0.002773839306288454,1.238502002962388e-4,0.008873155355403305,0.012519250485064312,0.016235582194172152,0.0050933662957510836,-0.017401220228749195,-0.019938559516365584,-0.007118594613937847,-0.005444308714954616,-0.001663354569383536,-0.013703516290618967,0.02366865597291091,0.9842297683181456,-0.001892428644918378,0.0058604951205979625,0.0046648898540018234,-0.016138943590410775,0.006095728128334492,-0.0012341501854271446,0.009772404570945022,0.003278451359990276,0.006410991770745017,-0.01085036883338978,0.007952647174638417,-0.02843535464777657
H173Fg29,-0.034450049478598664,-0.03221089675088009,-0.033884065697271384,-0.021156507204092283,-0.03553434657291687,-0.030310206317071476,-0.044842525292952115,-0.041888523128578305,-0.02788330571687218,-0.03937949816689014,-0.021838914290603667,-0.02716263351145223,-0.04061731423348772,-0.014605448532876304,0.020778628890860025,0.9744103496234834,-0.03435968218625368,-0.03062346398559631,-0.040108696801830254,-0.02938635644965226,-0.030241549337065493,-0.03350090703721046,-0.03671763646944593,-0.03483640184988153,-0.03824326355300933,-0.01367304620710277,-0.04400860823164739,-0.0393381073485775,-0.025177966090240162,-0.02040380952272765,-0.03582126415106527,-0.03445018954901234,-0.04321116524144039,-0.023859255519514132,-0.03483867280050483,-0.028435354647776565
