sample,ME_darkseagreen4,ME_darkslateblue,ME_plum,ME_skyblue3,ME_plum1,ME_skyblue,ME_skyblue1,ME_maroon,ME_white,ME_lightpink4,ME_lightcyan1,ME_thistle1,ME_steelblue,ME_ivory,ME_mediumorchid,ME_violet,ME_lightgreen,ME_darkorange2,ME_grey60,ME_cyan,ME_yellowgreen,ME_darkred,ME_black,ME_orangered3,ME_pink,ME_palevioletred3,ME_honeydew1,ME_brown4,ME_darkorange,ME_antiquewhite4,ME_darkgrey,ME_purple,ME_darkturquoise,ME_greenyellow,ME_navajowhite2,ME_paleturquoise,ME_darkolivegreen,ME_brown,ME_salmon,ME_red,ME_green,ME_blue,ME_yellow,ME_magenta,ME_turquoise,ME_thistle2,ME_orangered4,ME_salmon4,ME_orange,ME_yellow4,ME_bisque4,ME_mediumpurple3,ME_sienna3,ME_coral2,ME_lightyellow,ME_lavenderblush3,ME_skyblue2,ME_coral1,ME_floralwhite,ME_darkmagenta,ME_plum2,ME_midnightblue,ME_tan,ME_lightsteelblue1,ME_darkgreen,ME_royalblue,ME_lightcyan,ME_saddlebrown,ME_grey
H171Fg01,-0.00813945171797491,0.00405209998524784,-0.009611204248623943,-0.007294380780686671,-0.014305934141659593,0.01985550709470163,0.0013741164307457703,-0.009642802389556445,0.028785541895053522,-0.007863580635899127,-0.012089560851808123,1.4169566685740394e-4,-0.008622832942645431,0.0023676425182612704,-0.01347205191602627,-0.020186648256098394,-0.016778894825589308,-0.017173868030625396,-0.013247903192142588,-0.009183718085679693,-0.012846518058086676,9.753786103244666e-5,-0.0074524587599456805,0.014733819801616867,-0.006219851797619077,-0.005586461870340384,-0.02078062613799644,-0.018473008442196164,0.009273970909627338,-0.012294990511467202,-0.005319431565074306,-0.010354510457213473,-0.007131732270964606,-0.006774117189873128,-0.007577804325921596,0.0019008614667012091,-0.016679738264756216,8.11683555185931e-4,-0.0022600584755746375,-0.006042279303503356,-0.011851482811361674,-0.008483312191308254,-0.016600697489925296,-0.019908477286292338,-0.01561967615575159,0.007419134497803014,-0.011229367933317191,-0.014148226533446115,-0.021141491624413256,-0.011817685503762825,-0.004217469321589504,-0.014952614084309479,-0.0010262028292553627,-0.0034131255755759666,-0.0046557257887213195,0.9871159637206658,0.012568091063422845,-0.008852534164152874,0.008268038097096591,-0.0021312227120563465,-0.006774973569607409,0.023104579706419433,0.005419742761769128,0.016670061604419306,0.0026417890576972834,0.027375089716093995,0.005900246271018484,0.003617441171366087,-0.008641580669372928
H171Fg02,-0.022233016595278366,-0.003568929921863277,0.21038006971447337,-0.0022512464912364666,-0.019222109013616567,-0.017618035386852804,-0.014941581357292058,-0.01283617973638396,-0.018802184334656746,-0.0031273664181608184,-0.016503607313933216,-0.014480131174183166,-0.01598970153479895,-0.01736769711987042,-0.0028730040160266364,-0.02109567154546499,-0.01655739603191031,-0.0031252487839547615,-0.013776349322295767,-0.021698223735180266,-0.011800757773340026,-0.021862531793724004,-0.015526131874664784,-0.01727531903469673,-0.014278767455564001,-0.014594266351172086,-0.018174690245720857,-0.019117982227848784,-0.013172230607490135,-0.007932655296979377,-0.01886876412346586,-0.015424757239420273,-0.011529625676742317,-0.016443693248485713,-0.006923424083864567,-0.016615047541569172,-0.020163312242535952,-0.020783346362099664,-0.017537735531102994,-0.021031348740063294,-0.024566452351388213,-0.022274958704433745,-0.02464939392864285,-0.02731679012032162,-0.024428562697154876,-0.021940939517193638,-0.017805530849034523,-0.013983288573888962,-0.02471031486663372,-0.020404751440409808,-0.016753276776342963,-0.018482186809013867,-0.012500710061804837,-0.01977946360347368,-0.016873006705342197,-0.014992298405939797,0.015901585852618094,-0.018305087212902294,-0.011707314982984218,-0.024681053859756164,-0.007493968765685415,-0.019430348470475867,-0.014174100072350315,-0.017540142963606814,-0.018392041656492802,-0.018314020771689643,-0.018693526080856282,-0.019116843283798868,-0.007167170294379247
H171Fg07,-0.0057708351923768,-0.004959432627914024,4.7674687281585275e-4,0.9883991696475732,0.03195688845682331,0.045484379625747993,0.012518278398734319,-0.01251575177807109,-4.314453147320485e-4,-0.012047580622470582,-0.01999147914959624,-0.01725167712823975,-3.521652809310008e-4,-0.018713986652286213,-0.016661491980712786,-0.01131549349721609,-0.005976500393229056,-0.01717386803062647,-0.0058300539850042465,-0.010955817590705075,-0.012760617870247647,-0.008931224560279727,-0.0073023553431177946,-0.01403564275716772,-0.008372749394510937,-0.016113152694913098,-0.013161280963991745,-0.007404341406133015,-3.8070180822054106e-4,-0.011784234890654437,-0.009154276278333668,0.002126085733556271,-0.01498656231458878,-0.009203901354464472,-0.020208967705997984,-0.008415540688033135,-0.01043043042361358,-0.003251591132622522,0.008569429189572264,-0.016355266980192074,-0.012754350258400382,-0.010603788702774564,-0.018260514758205088,-0.01928030707719114,-0.015464753718835544,-9.381281418835599e-4,-0.010817188443583262,9.330073942310535e-4,0.007518252262906691,0.008378776227537564,0.0070085031667517705,-0.0024099221897815465,-0.0033276212829048326,-0.01977946360347371,-0.004345453194420812,-0.014992298405940241,0.0016550803581195886,-0.018305087212902194,-0.014661323047605814,-0.00386170634883739,-6.508309355646497e-4,0.005259730436886545,-0.006348686022512706,0.008505713109292903,-0.006832102463643297,0.008386055936843273,-0.0032408092403219957,-0.005193345293831784,-0.0086415806693731
H171Fg08,-0.021372823907659887,-0.019554066004302036,-0.015617265078657645,-0.014671319044958959,-0.019289452560105665,-0.00492941729948242,0.01806420717165259,-0.01283617973638396,-0.010991308601965588,-0.013638019270903298,-0.023460469357794302,-0.021406138136482858,-0.015786633732634003,-0.015148146074349809,-0.02169054916080082,-0.023400987794465405,-0.018396395691670783,-0.017173868030626437,-0.02075322669491616,-0.019445123896365844,-0.021815068955664128,-0.024621543563926873,-0.013254200173961502,-0.017275319034696725,-0.012871969526764445,-0.017069800607707283,-0.020783759894622108,-0.019142936703275527,-0.018497699653782475,-0.019001588902482117,-0.017918678219737142,-0.022270709348259435,-0.019018402367313766,-0.018266804064322233,-0.020275187656925018,-0.02201611878020161,-0.015667255488991363,-0.023047992269603426,-0.021014354721732284,-0.021350621548889635,-0.025627848022955355,-0.0252783332983023,-0.02800698430726061,-0.029676757291617804,-0.028173780218422616,-0.023733098435958964,-0.014266812769434688,-0.014159693652616425,-0.02165728163524839,-0.02033244568354075,-0.017721219558111196,-0.014556789990904444,-0.0033963528101418963,-0.019779463603473737,-0.01642772538589811,-0.013674608781169339,-0.004838561448882489,-0.018305087212902225,-0.020060362055854816,-0.023678656885464573,-0.020282286805168692,-0.018138405439555787,-0.01995104438474013,-0.01920595797505415,-0.0205515725614539,-0.022788184439308082,-0.02173806425440366,-0.017249647492396148,-0.008641580669373108
H171Fg09,-0.009474145423056073,-0.01715324787837274,-0.015789807480625636,-0.013477273779326927,-0.01698051910598171,-0.014837975231182418,-0.016065131684578234,-0.012836179736383985,-0.01563769149119868,6.999392131145122e-4,-0.008661631534499852,9.025385975397316e-4,-0.004177428529176797,-0.01924547217730074,-0.013722778129271859,-0.019254166149397647,-0.019052867184428512,-0.01717386803062642,-0.01933561762056558,-0.019283313023788672,-0.01917982995426312,-0.01986198942969138,-0.01310915734715374,-0.017275319034696715,-0.019237421890896934,-0.013932507040796587,-0.01757267042092948,-0.019056883154567633,-0.009389492884110262,0.005981892087597264,-0.009616358315368308,-0.019894323345699176,-0.012701341479183259,-0.015686104706486275,-0.020862252512152596,-0.016185481212059993,-0.016710314795502928,-0.015244109150517242,-0.01804536294213511,-0.018692396169717244,-0.024139904615867028,-0.007937043348366512,-0.023634093534033253,-0.02871652972018411,-0.021964841245257497,-0.012957879491162498,-0.004299719715047623,-0.014159693652616538,-0.013830952015404923,-0.017981799998001688,-0.016228832763208873,-0.019901227794937464,-0.0161268507746451,-0.016737746682732826,-0.01159769572891946,0.0028186752850206764,-0.006906958416249408,-0.014905693419165315,-0.013801454372543992,-0.014099025716605757,-0.013137415473097871,-0.014741348052193945,-0.012794873951248082,0.001495397963300476,-0.01922049751323872,-0.019919488065874784,-0.007914464732319467,-0.009851406299057919,0.9955276422376227
H171Fg14,0.019315918315886752,-0.008557924865644958,-0.011563047359923143,-0.006036102069355613,-0.003303991914191291,-0.016324846259879768,-0.015391001488206135,-0.004264171589355156,-0.016478897493203,-0.011409491796624914,-0.009252772415486872,0.0034055661347731215,-0.007392467553218952,-0.011873211697800326,-0.008307627576673405,-0.01057956989392608,-0.003342624490040727,-0.010982166674885168,-0.01051954174316476,-0.00655462435777614,-0.008714141007954552,-0.007134123460944688,-0.0015443242719874054,-0.009366702350819874,-0.004583946094505797,-0.003277493864210213,-0.01458289160517517,0.007574863079641712,0.005797674829962999,0.006685360758647568,3.381520645998941e-4,-0.003660313165151945,-0.01645369575072858,-0.0076511116912139935,0.004803414340059039,-0.005118548705100876,0.002230232744995725,0.001396677123354326,0.015402850492282696,-0.004583759091231225,0.0010650997625295117,0.0017239237813382554,-0.010620455953334227,-0.008951689130235497,0.0035432121784133327,8.719761603691384e-4,-0.011463970842135521,0.01262172369677589,0.0015174640316006783,-0.01801821991979605,0.005027590914447011,-0.002282093043281594,0.0064748643173014415,0.03418360155654612,0.9881570576574424,0.002165452530976862,0.0024603355572566763,0.0034594880352321017,-0.003423708842591824,0.008573253100874187,0.0025058115740671256,0.0034447569882242006,0.017865796082080707,0.03319629624743151,-0.00866619724041896,0.0192132450054536,0.0035482931052945904,-0.004361458946894806,-0.008641580669373117
H171Fg24,-0.02044316385564874,-0.0035357626278508187,-0.015962349882593627,0.006488671416828855,-0.013943112561192583,-0.014033418868910092,-0.016065131684578984,-0.01283617973638393,-0.0019671456499778515,-0.01363801927090325,-0.021254371962507214,0.001767935734324005,-0.007885239050509044,-0.018741041296336712,0.003973722598153557,-0.01673721721868356,-0.016790071541231927,-0.016698279427066632,-0.015796525058283894,-0.018039932406477874,-0.009039903767269993,-0.021203689950029872,-0.016471601185265403,-0.017275319034696646,-0.018465416596265303,-0.012282705727011043,-0.01636496079451932,-0.013159631035818383,-0.01666860516367711,-0.011439044097029004,-0.01890730632605993,-0.01643782137639882,-0.007962043033831882,-0.016012300721002477,-0.019128109768234345,-0.018785792827610136,-0.015959249660421643,-0.019639483453705312,-0.016991936063624417,-0.018492898417041922,-0.015740019907947912,-0.018616384730169355,-0.02562968741271637,-0.02272791545925268,-0.021615887111655855,-0.01588211452554132,-0.01433367097836402,-0.004521845224626794,-0.01732557673850073,0.20392122542334343,-0.010982291331447711,-0.018138959542336672,-0.01359305621501917,-0.015320911174576833,-0.014522070137241298,-0.005015148470080606,-0.012935832442301261,-0.004450082233978389,-0.01630069296281781,-0.010052147044064206,-0.008950162617919786,-0.0163274512692163,-0.009887222117597717,-0.012614970671444936,-0.0010924362374777484,-0.016745802015275417,-0.015171057658897423,-0.015865748439947168,-0.008641580669373114
H171Fg25,-0.013058896454468,-0.019859328267608556,-0.01596234988259365,-0.018075451207060046,-0.01945589290541013,-0.019597634137782476,-0.01541569117280061,-0.005112587072641006,-0.018802184334656885,-0.01363801927090324,-0.020815926675426824,-0.02247560754929216,-0.01728394347439307,-0.019344002858860794,-0.021490144672980355,-0.02210057144834881,-0.01972925104728065,-0.01717386803062644,-0.021402628874456566,-0.01968208497248,-0.014165073245890718,-0.02305009473082224,-0.014923909338816582,-0.01727531903469673,-0.0198670529429987,-0.018567689356361744,-0.021331171165647683,-0.019081837629994273,-0.013394721473761317,-0.018406968103137623,-0.02091328604577958,-0.021750257481160308,-0.017129831650195552,-0.021911801090539973,-0.02043586222344328,-0.022016118780201613,-0.016304921255867466,-0.020191274056633506,-0.017128487641423308,-0.020477044082443382,-0.02735601590161586,-0.0235830552224396,-0.027454019370751523,-0.02529978729624189,-0.02796820967986586,-0.006320166688497136,-0.013652923049406476,-0.014159693652616623,-0.02453385885500802,-0.02043388737784541,-0.016753276776342158,-0.020802533419074034,-0.01596728357446627,-0.013434955789954335,-0.022146247989381657,-0.014992298405940354,-0.017948148488704223,-0.018305087212902492,-0.021296005016349286,-0.01953626198176689,-0.01849034094798054,-0.01987438113747705,-0.022449384370615597,-0.016100220194603627,-0.01589543417918112,-0.020288231926147565,-0.01417320374431792,-0.02178102557911122,-0.008641580669373108
H171Fg28,-0.013752008918297066,-0.007763785805078259,-0.015962349882593624,-0.006806194010260297,-0.016208209053686282,-0.014018208365549038,-0.016289841750035297,-0.0026667253562671226,-0.013621422273760647,-0.013638019270903263,-0.007120179978791395,0.032486846704848506,-0.01656119285865173,-0.014620535454036555,-0.013937235675065074,-0.019576021883970732,-0.019160765108921333,-0.017173868030626465,-0.019175264486301236,-0.01594249648755235,-0.021385856303145327,-0.015506982550949401,-0.015173952992992295,-0.017275319034696774,-0.01055641362295176,-0.00222756826718776,-0.016937553303921615,-0.012819346409169995,5.075531385692355e-4,-0.015756369716945662,-0.01799152353941129,-0.008711060335639781,-0.0018851547583941023,0.014610256386425437,-0.01772357399494389,-0.019671758759576875,-0.013957657815187373,-0.018017874122374076,-0.0022584938564226492,-0.012955962421950044,-0.016398081809842004,-0.014489577163886401,-0.019442520125069855,-0.018621392449748277,-0.02199847876214059,-0.003932183301269328,-0.011108711232050664,-0.014159693652615775,-0.006310862271534682,-0.008700005844119472,0.028146496429230814,-0.00819334669579934,-0.013775639621723982,-0.013920791416950887,0.014269012264664703,0.003717020282670094,-0.015855206991717673,-0.0025478537043789767,-0.003908459365153783,0.002938177128545759,0.03357886927307846,0.016691546744954558,0.008648168037712095,0.976946470551762,0.028742720624928296,0.06578955409107694,0.0259618133034241,0.02315285712187757,-0.008641580669373114
H171Fg29,-0.02223301659527869,-0.00783250015375751,-0.009952475365717042,-0.0031545130190142852,-0.012757561662245233,-0.016147612915815967,-0.010712249486462159,-0.012836179736384014,-0.01441497609866886,-0.011305360095935234,-0.013430417109193234,-0.012653217783671985,-0.015250697007025337,-0.017689549935220372,-0.018082317399519293,-0.013693320846818954,-0.01497277148330575,-0.016023515976639383,-0.0160260251171541,-0.017097367826507115,-6.721199206478189e-5,-0.015172146883283734,-0.01004556202299185,-0.017275319034696722,-0.015065054732869386,0.001503045833186926,-0.01208019261759381,-0.01902073855671345,-0.013370929693771278,-0.013566225566287924,-0.014248341086366072,-0.015923994905247384,-0.011498445567584678,-0.010198236563097525,-0.01044032373342465,-0.016437575019970306,-0.01715619966957358,-0.02025556413501205,-0.014845830027488039,-0.015580108799932851,-0.01722001057485016,-0.019209041837722863,-0.02509999362705337,-0.02580680695189772,-0.018691658300572556,-0.01762626918602047,-0.016619499235471694,-0.014159693652616474,0.01202072568369184,-0.013271212900596385,-0.014003979051766171,-0.015124637341189746,-0.01617550605757962,-0.006771770037907755,-0.014041399193329453,0.016412653760410557,0.9888632429183776,4.156568242130185e-4,-0.01307023130336399,-0.002173210863984694,-0.015741530480227386,-0.01386539641507212,-0.013162143604057073,-0.016094982214417207,-8.49126264887388e-4,0.00172754571696155,-0.009758477345484054,-0.012154231698980326,-0.008641580669373108
