sample,ME_sienna3,ME_paleturquoise,ME_steelblue,ME_saddlebrown,ME_violet,ME_orange,ME_royalblue,ME_darkgreen,ME_darkred,ME_midnightblue,ME_lightyellow,ME_purple,ME_lightcyan,ME_grey60,ME_black,ME_red,ME_cyan,ME_tan,ME_greenyellow,ME_salmon,ME_green,ME_turquoise,ME_yellow,ME_magenta,ME_pink,ME_blue,ME_brown,ME_darkmagenta,ME_yellowgreen,ME_skyblue,ME_darkolivegreen,ME_darkgrey,ME_white,ME_darkorange,ME_darkturquoise,ME_grey
H182Fg01,0.020112998648864844,-0.013089996775103006,0.027105483578216683,0.013570043445279468,0.0014974859858693293,-0.010663601567489668,0.007294119280802655,0.015487043250733896,0.024332099476607756,0.04642658873672756,-0.008999728011759932,0.020348904002433697,0.037897806910342155,0.0075874060622969875,0.011453583446575386,0.010643563634684038,0.05196845774408806,0.023057515297891868,0.008520837604830352,0.05390895977067057,0.06166630412586243,0.973996084201074,0.029853591049645585,0.012297808612298098,0.020740292391259636,0.01892776413706736,0.02202691701216986,-0.02398535032754116,0.00426264425973321,-0.023488319464205324,-0.03314959534667913,-0.011314781491603235,-0.026649868298492172,-0.005968306930274977,-0.024662543378904847,-0.01995133449490686
H182Fg07,-0.027494064102016047,-0.0011535464059077016,-0.0073621000947591275,0.0029851336980629695,0.003959928738651808,-0.01650719268264189,-0.005049526396107673,-0.0221060290454983,0.004572220960802786,0.01563622617659355,-0.03266921767970854,-0.0064624851861107,0.03310941963094227,-0.01538997153280508,-0.02579874158217199,0.00661046214542238,0.011054673618501765,-0.014574826207055525,-0.014875427579362666,-0.005610921886732068,0.008584198275881527,0.01265164326548604,0.9733090905209825,-0.01003383115302614,-0.009883010518105473,0.011917658945459042,0.01617703234928669,-0.02568071365566016,-0.023766363185960846,-0.03290638416624603,-0.026256171811694595,-0.035122865533092296,-0.022370854971696663,-0.010000100547835622,-0.028826528939777107,-0.034744064176343674
H182Fg09,0.027842216123536878,-0.038854473191015315,0.006297050871648557,-0.020916116143314678,-0.03959871699740236,-0.005707587675236381,-0.025559552054427837,-0.02115393155505979,-0.029534033601685494,-0.021541936516702637,-0.028569460016592996,-0.0111777136246215,-0.009523095699077305,-0.010199181478776298,0.019607491505533092,0.9782980092164969,-0.014741004917479844,-0.008273212870029245,-0.006243610116344556,-0.019064047504456227,-0.018162957657837403,-8.159225354484063e-5,0.004754097192553652,-0.029477259762864583,-0.009301559138650495,-0.004812139388558179,-0.013840154729082677,-0.03379970778211419,-0.01834925379201299,-0.034618824823507977,-0.010249857337348484,-0.029228193515820178,-0.034004769721206946,-0.03223482832659075,-0.032002237869735856,-0.03474406417634368
H182Fg14,-0.04909390575195879,-0.04448925033157001,-0.049093439253554895,-0.05413444684246363,-0.0490342235373476,-0.05130575374603797,-0.04665217300631171,-0.047494437734402886,-0.06624006240497812,-0.06457770646079053,-0.04500261899819323,-0.0545484858274258,-0.06290291327852951,-0.05337832835909949,-0.05842141175986096,-0.05394457227959986,-0.06047527369351392,-0.05801693591945735,-0.05687034173526419,-0.056097134277315316,-0.06630537783613803,-0.06360600275529565,-0.06180048801666971,-0.06581328026860385,-0.05152879015964512,-0.06586554071428602,-0.07540168852408113,-0.03379970778211436,-0.04689926638393284,-0.03952478358279576,-0.037619557038121886,-0.039799253470506356,-0.0332839008197914,-0.05030557039328608,-0.036336455870232,0.9835305665954748
H182Fg24,-0.028218244730944655,-0.013294554329348385,-0.023184644207902873,-0.026377256764958022,-0.02802141027780318,-0.017628523860836947,-0.02680019788973135,-0.026704070623921213,-0.03812417603430387,-0.00399827247031217,-0.03978480719729683,-0.03850053738960567,0.007678339841388751,-0.03530710762954377,-0.028120129544744004,-0.02804913389991503,-0.023491901862105605,-0.03588242053423141,-0.030927988414853495,-0.035934658988782536,0.9715722358255039,-0.005030445755334554,-0.02541875814691797,-0.03348013997870386,-0.03030542519215681,-0.024096109967817525,-0.022641234625755773,-0.03379970778211435,-0.04017806516570321,-0.022086886158834876,-0.037619557038121886,-0.03785967950978586,-0.03367269680491502,-0.04279301440114433,-0.03203356329542196,-0.034744064176343674
H182Fg25,-0.031750958186915604,-0.04751528646321286,-0.04221467707369192,-0.044244998872202325,0.9818478960988258,-0.027202393262925204,-0.04125244524160947,-0.0453541155095322,-0.05518964228222328,-0.044974396109730204,-0.0334113461801455,-0.05117801865738095,-0.044925713518577846,-0.05200818093464116,-0.04908581969150783,-0.04234743995607312,-0.055877168780215376,-0.046534031198064235,-0.052797746554161064,-0.046125157238380975,-0.05258141912928428,-0.05280507463516533,-0.05314348425275174,-0.05751913009112233,-0.05082501901363733,-0.060018822609221326,-0.06319740088217428,-0.01920990425526198,-0.04736154216886878,-0.02201524985546213,-0.037619557038121886,-0.039799253470506335,-0.03685587439461384,-0.040754419651494816,-0.03167810399029577,-0.03474406417634367
H182Fg28,-0.027129953391681765,-0.01904533254343512,0.9799594626906457,-0.030092168517098266,-0.024742783748270283,-0.05211641736928302,-0.03772530913970673,-0.04588483228244053,-0.06226919996561041,-0.05636201371930485,-0.04433105992884873,-0.05455862228387372,-0.05755571254943207,-0.054852005735433605,-0.05148328936128637,-0.04740358514559336,-0.06046210220655318,-0.04881814406184088,-0.05027611598086974,-0.05130436951426512,-0.053689590261687674,-0.05668330301468332,-0.05231493352388978,-0.058396208310968936,-0.04989155007660098,-0.060744207041816385,-0.0669354596552483,-0.03379970778211435,-0.03926159941307547,-0.03952478358279576,-0.037619557038121886,-0.039799253470506335,-0.036931585789623265,-0.04955038841555644,-0.026913766682253995,-0.03474406417634367
H182Fg29,-0.02323589184690052,-0.05570320283693222,-0.04434581254544664,-0.030047989569048972,-0.04561749506997966,-0.03534461210489531,-0.028072037576965053,-0.03806956021058946,-0.04766266924662709,0.9723421217627639,-0.03767005741918405,-0.050159382208509046,-0.04767533102128422,-0.044868025516811696,-0.03976765236753534,-0.04543957386005606,-0.033777171061454114,-0.03363938945170633,-0.04251958554501731,-0.0366378009496591,-0.022814894890449206,-0.04184489813401845,-0.03904681211571243,-0.0482737896376837,-0.03836014280764343,-0.048599709289946356,-0.04197420844121216,-0.03379970778211435,-0.03706539334848819,-0.02224694843427617,-0.037619557038121886,-0.028385024273994915,-0.0328109921401813,-0.0415551536633319,-0.03368699481489415,-0.03474406417634367
H182Fg30,-0.02016156076635138,-0.02114428589443657,0.004466054624836264,-0.009588917625676366,-0.0200779031855472,-0.01640803178284535,-0.01979020332466056,-0.014075786969532229,-0.018542331113286077,0.023597907196010293,-0.030054694123608613,-0.010881482396514047,0.007416134421125129,0.0033657055015131176,-0.008609130233512827,0.009813608488195775,0.0354079793754026,0.9776189682983625,0.008313646342156719,0.014302580824401074,0.01253748096986611,0.00941572518327798,0.01510449209817049,-0.011233811085849945,-0.014928184244823844,-0.014359345758157827,-0.003511796349455534,0.003605802774860118,-0.031889090786382794,-0.015448378235654954,-0.01682837986908458,-0.038782466772120994,-0.025340532819162744,-0.003106786653873943,-0.027643297930164828,-0.027208808135092112
H182Fg32,-0.015947446681641712,-0.023442922017432928,6.264559113190529e-4,-0.03314191688401916,-0.027453938798389997,-0.036023966428369705,-0.023008466194343588,-0.02705399339274174,-0.013871016729543594,-0.008390120997013969,-0.03457815136007218,-0.027731213168883478,-0.019876525671064908,-0.03045006248976025,-0.030513058737360352,-0.019167509004243334,0.972526079094767,0.024465175375218765,-0.027349600610099792,-0.02029160843611487,-0.008885327142056337,-0.017889605776989906,-0.022378454520538625,-0.03936759469566418,-0.03141421603671546,-0.03360730225809822,-0.022235225151834404,-0.025545634794896407,-0.004298009326701812,-0.03381332749330055,-0.037619557038121886,-0.03545550136188846,-0.032387338606560595,-0.044645522913477405,-0.03646975125952081,-2.2232206060883395e-4
H182Fg36,-0.055670200138833587,-0.034669867567541514,-0.049093439253554895,-0.05248691993957475,-0.04903422353734758,-0.05211641736928302,-0.04485275512580839,-0.041977767717478194,-0.06623162267549179,-0.057568749758104935,-0.04563194825184127,-0.05908138770126017,-0.06670645566458987,-0.05178117223208982,-0.05882339887050072,-0.056076240377246456,-0.057128870111607374,-0.054603991400250226,-0.060710351586943635,-0.04985777718711457,-0.059801582684250745,-0.06215821539650803,-0.06472533131814961,-0.059469844816772116,-0.055898918544068775,-0.06363809133236961,-0.07215591647969542,-0.03379970778211435,-0.045746606056682106,-0.03952478358279576,-0.037619557038121886,-0.03884139919793515,-0.033864098312242276,-0.05030557039328605,-0.03751924977193237,-0.03474406417634367
H182Fg37,-0.03287057747532305,-0.021948622847480226,-0.02855506396735642,-0.03254548130334116,-0.04133632033598734,-0.03285205677629158,0.9832793169529189,-0.03091326739273526,-0.04748184424222439,-0.020220804547401463,-0.0364363809746917,-0.035157260876264626,-0.04422687399128729,-0.03817964629591614,-0.02174843427080052,-0.02928767116734124,-0.004948070380285693,-0.013167661898869101,-0.037460674330841916,-0.025551658010617036,-0.031779993224932905,-0.02564925112671915,-0.02952958051177061,-0.032088696907562865,-0.028201516609180695,-0.03601218349035828,-0.03913697779879512,-0.03379970778211435,-0.04639063140790448,-0.037553409380304256,-0.037619557038121886,-0.03504027426883111,-0.019880594860237404,-0.03597323331891333,-0.035909736145942554,0.011621559006707863
H182Fg40,-0.04236070946758217,-0.0462834329770952,-0.04197218897042621,-0.0421347323730257,-0.02592442366290353,-0.03376165994731153,-0.03551818255974558,-0.047144638374411185,-0.04978486322624748,-0.04307525856139135,-0.03437466683988423,-0.04821030882421219,0.9687837064142273,-0.04657304707399146,-0.04280934355959727,-0.04444380736717141,-0.04567124658006884,-0.03012171069776509,-0.03157303916205201,-0.04426419547002491,-0.0233292531022079,-0.03197777042196166,-0.03863564125027308,-0.04679016265956357,-0.04272169620192631,-0.05003687075314619,-0.036010427822823404,-0.021370364616977677,-0.028326441124095308,-0.03952478358279576,-0.037619557038121886,-0.039799253470506335,-0.033351214800951705,-0.03003067404500836,-0.036956717272392275,-0.03474406417634367
H182Fg42,0.978904848734896,-0.05196325011430456,-0.049093439253554895,-0.05401676634940015,-0.04903422353734758,-0.044675769100371285,-0.038307844944216095,-0.050278397625516044,-0.06006976643313759,-0.057389979072876886,-0.0386167818469091,-0.057211548396273945,-0.06643020320698165,-0.05796381084730068,-0.056595501490424964,-0.05536994614231437,-0.05783903267386895,-0.06004425768850178,-0.058632863720030085,-0.051998212073843086,-0.0634649294081185,-0.06109927841885049,-0.06440330725352497,-0.0618604449039728,-0.05324775860139198,-0.06422848871332652,-0.07144676487598271,-0.03379970778211435,-0.04343594930073718,-0.03365324413430388,-0.037619557038121886,-0.03348086614767752,-0.03608329279794471,-0.048735577764732446,-0.02576450862431306,-0.03474406417634367
H182Fg43,-0.03165450958953242,-0.0545138657774905,-0.049093439253554895,-0.033830939877329734,-0.04767913503425692,0.9816384402041829,-0.04339719289574216,-0.04684000547096597,-0.05074072690001042,-0.053538486374695465,-0.04320585997626533,-0.042969909258451025,-0.0610597450684774,-0.05576390204202464,-0.04440594190642928,-0.0397278695261411,-0.049572311427743085,-0.050273997098773435,-0.05476156414869596,-0.04236189274624303,-0.04907083573325795,-0.04825078514227647,-0.046359295751777205,-0.05560933131707905,-0.04632155761061821,-0.0581029955280253,-0.06208233197160479,-0.03379970778211435,-0.029866734926662197,-0.03317094006681158,-0.02823312034592936,-0.02995115311407719,-0.03795797897266755,-0.04573359492626427,-0.033497930218750756,-0.03474406417634367
H182Fg45,0.018379587618603112,-0.02708303384264975,-0.04259796534133712,-0.020665067097011654,-0.01284123991703471,-0.02077509735639135,-0.018731786776676095,-0.02945378467467887,-0.009139807189434263,0.010450800200328982,-0.016080874679073532,-0.003921916461778789,0.013987032361298791,-0.021507448078702234,5.673996721547924e-4,-0.0011642101819555823,-0.005332926757821002,-0.017610876495393252,-0.006869673439835053,0.9775551365085112,0.005322230852821124,0.002457732941703449,0.012766755146121064,-0.016548894865277095,-0.014925308216935022,-0.00683385538152071,-0.017664005000631453,-0.03379970778211435,-0.025726870198787964,-0.02500021544044008,-0.028103386220689152,-0.026868947544716113,-0.016301421337896745,-0.02404476481146205,-0.026906873856258028,-0.030976436155717893
H182Fg46,-0.03827185667640672,-0.021592205396993365,-0.049093439253554895,0.9796729935885993,-0.04903422353734758,-0.04271428267586258,-0.04510581840739714,-0.04481267553761235,-0.058113468671049606,-0.05942542131674547,-0.037144844541285006,-0.0525859522786085,-0.05262174342998311,-0.05621908350581834,-0.04808813121827739,-0.0567984381105567,-0.06516468922846366,-0.05333629022205723,-0.05451209253056207,-0.0517385463367995,-0.05346078628892316,-0.0583126974229896,-0.06144881540879398,-0.058430421202731155,-0.05025348714842329,-0.05989206941004971,-0.06619299319524945,-0.011586119154838561,-0.04732176799053789,-0.03174626927953926,-0.037619557038121886,-0.033373307388246225,-0.03820963608062489,-0.04304713841862524,-0.0363111726283789,-0.03474406417634367
S182Fg02,-0.027738722477301803,-0.029692574265891926,-0.03058370591940841,-0.03920475759284845,-0.015712423232932055,-0.02860756979305497,-0.024572713151586125,-0.035286317077176214,-0.029512788308153588,-0.02493653014520762,0.9829712718300985,0.029467877118069745,-0.03740155957209891,-0.023631387461380573,-0.026873243005781207,-0.017647974708052808,-0.02772106343855424,-0.03564697332527799,-0.02464409568301727,-0.027942107595759172,-0.0388300168691775,-0.024900616163562803,-0.02965363500807509,0.015549694489911873,-0.022234112297284826,-0.019938106858399366,-0.029827871807400562,-0.03379970778211435,-0.02187321559618599,-0.013892250741997153,-0.02774255756181357,-0.02736105224337897,-0.030425978779121027,-0.03051220892791221,-0.020785363263221182,-0.03474406417634367
