sample,ME_darkmagenta,ME_darkgreen,ME_darkorange,ME_orange,ME_darkgrey,ME_lightyellow,ME_cyan,ME_darkturquoise,ME_violet,ME_skyblue,ME_darkred,ME_saddlebrown,ME_greenyellow,ME_magenta,ME_lightcyan,ME_pink,ME_purple,ME_grey60,ME_royalblue,ME_tan,ME_lightgreen,ME_salmon,ME_midnightblue,ME_black,ME_brown,ME_turquoise,ME_green,ME_red,ME_blue,ME_yellow,ME_darkolivegreen,ME_white,ME_paleturquoise,ME_steelblue,ME_grey
H171Fg01,-0.016999099393041662,-0.015526643752104646,-0.007811978350045568,-0.0038181091954023775,-0.025214256363057175,-0.01824839090365899,0.9862506221485204,-0.014771387684579931,-0.006698014807282751,-0.014257796348957978,-0.0341836615054476,-0.01815204300026514,-0.030499375401185486,0.0015370190679001921,2.7901592230718513e-4,-0.014895585599223857,-0.0059099872984797255,-0.01357651299365864,-0.01851426998357465,-0.02802433297449836,-0.01472013563131306,-0.021107791374967554,-0.023874689648536687,0.005280406491834305,-0.013108516407997617,-0.03093256446379332,-0.019310565811485512,-0.005951751344840209,-0.012618359665465722,-0.01788960894426838,-0.006180098314643112,-0.019618002629517396,-0.021978500964542173,-0.01572280986015849,-0.02311952247553228
H171Fg02,-0.0225000138380429,-0.025483932601517045,-0.037334337909867954,-0.02737199543339819,-0.04570206821840006,-0.049592168618929344,-0.028730756233500354,-0.032499989362803294,-0.03958757894483178,-0.03246317811062016,-0.028668010929309595,-0.031298293147227874,-0.05559669774391052,-0.034655165937127363,-0.045540274849065296,-0.047606791235250134,-0.03680131204084269,-0.04142909613122814,-0.04264198217780368,-0.047857791400434224,-0.04385649447551965,-0.0480309992721607,-0.05059019415461685,-0.04374448623571359,-0.04932310791881733,-0.058645286815455,-0.0516351733286311,-0.05129892253770907,-0.04574991097896075,-0.0490100827546468,0.985932774406909,-0.015477188175501588,-0.02690000695675976,-0.028706413058682045,-0.023092166253323332
H171Fg07,-0.004844187510812701,-0.02148166259961176,-0.02312753343919194,-0.026494636749715084,-0.012177745753016084,-0.011761868329418779,-0.021026403369446597,-0.020214563690514054,-0.022781597448275792,-0.016718806246438345,-0.025382885087658305,-0.02806722362332781,-0.022691388838914042,0.9807263065216214,0.012395832835036757,-0.02454034718010728,-0.013521539104257019,-0.025934329695355807,-0.021693117291406022,-0.02958299836589723,-0.0271550926729211,-0.026888180109889304,-0.029327304877179633,-0.007015719207072113,-0.00798850582933669,-0.026384783151980756,-0.027043280509781498,-0.009564639536714936,0.008329414045852745,-0.00944436363433171,-0.016161160335069424,-0.029300835095574157,-0.019622968252461237,-0.029597030213959874,-0.01619768012560996
H171Fg08,-0.030620921045517314,-0.042975484229633806,-0.04034030653966001,-0.042738873406953926,-0.04746261848144261,-0.0474049484668193,-0.03106041182958614,-0.04350354041209474,-0.03711138950427397,-0.041191295406034445,-0.03274016334174483,-0.02456785364196578,-0.05797916852005463,-0.04162997596107983,-0.053372374900809094,-0.057466892476810305,-0.03534866526905443,-0.04283559358522289,-0.04105791119533679,-0.04727773714591587,-0.05264975342633896,-0.056682352772678815,-0.052145066718991766,-0.04480270320534624,-0.04971937028992085,-0.058403755690479606,-0.056545933127227825,-0.051949525841924686,-0.05220074569851878,-0.055209540244862396,-0.03148736396644164,-0.02448847626953613,-0.028958725887932142,-0.031085494224292146,0.981409210412899
H171Fg09,-0.028983476143625692,-0.0318923579368301,-0.03350783667689158,-0.031583156765955175,-0.023879291761665512,-0.03853078661425566,-0.019487416852670462,-0.029658935947203913,-0.04551227698021163,-0.034669337871158216,-0.03532364856901435,-0.028393116288455283,-0.04611029550360212,-0.02694843663331302,-0.032772425014722696,-0.04127324912376047,-0.030269482663482908,-0.04450196731775596,-0.043200046974867394,-0.0381548699447955,-0.03033479307698064,-0.04573451999125535,-0.03941086530950438,-0.03479323374222476,-0.02089421761277724,-0.05070144335469345,-0.043175727806447094,-0.037717196930058296,-0.033152733494878545,-0.041558209877153786,-0.031852057131532864,0.9861238683178147,-0.019737717099611054,-0.03111486065195314,-0.02298711681723381
H171Fg14,-0.009159803148682977,-0.016351693848337776,-0.026235609303985923,-0.01117046391648934,0.03153619450926142,0.020448632006010936,-0.02014523149871367,-0.013604206371269467,0.018942909387495183,-0.003129596802608037,-0.02541827544057156,-0.01790701723744021,0.009708623827593582,8.56454563936486e-4,-0.005999040328868818,-0.00464872639893462,0.0038347921681019977,0.0060748795486946635,-0.009298830041151961,0.008967697464945015,0.017382159701781745,-0.008330736237327021,0.006432361747214876,0.008212688362257322,0.976975916782888,0.028723169105357996,0.021730914425708275,0.0024501182449648763,0.022081812285797316,0.009643904406717413,-0.017628900207950635,-0.012136958726430384,-0.021770222596499588,-0.016320968924517697,-0.015515889551108546
H171Fg24,-0.01779575532101192,-0.03163494275362407,-0.02972203483551048,-0.033069445253835754,-0.04143629249527397,-0.03982658867366995,-0.022257673873712976,-0.026831428694723262,-0.03866762740752018,-0.019551293140305532,-0.021238087043139845,-0.021119469468054177,-0.03126240048408046,-0.031560679644572945,-0.03733337939306402,-0.037919041119648625,-0.03865222042158518,-0.022986290042290684,-0.03413532581506192,-0.028232767568360028,-0.034546587899643204,-0.04255139861335417,-0.04320854052077155,-0.03907384897579704,-0.03392062294349977,-0.011284001816205348,-0.03880789023068904,-0.03741804303080108,-0.03912148399450627,-0.03712346599321702,-0.02433722234542702,-0.030966719731988862,-0.00629170050056396,0.9849237721162681,-0.023922843612168374
H171Fg25,0.9852370147749444,-0.041640859837590236,-0.042837337474597406,-0.044948251521793346,-0.04809950488075356,-0.048415863933439725,-0.039221382471848504,-0.04089927328598193,-0.046652558224383196,-0.04447295304760194,-0.045998447854169046,-0.037122008846663494,-0.05937884529941201,-0.04560596607752637,-0.055838276254860694,-0.05476018114852931,-0.04723057101157732,-0.046454479561824025,-0.04757669733498173,-0.04994671263591997,-0.05168768588213018,-0.057516679949251734,-0.05736879552025601,-0.04807401926843335,-0.053627407415865844,-0.06337469371058083,-0.058783499527342783,-0.055813786689667966,-0.05477532306789438,-0.05253916864591338,-0.0316946231539977,-0.03567005840452548,-0.03135482156581913,-0.037686084047710344,-0.023461578112812968
H171Fg28,-0.03667168999875517,-0.028681195219674976,-0.019503833509041908,-0.023618916403618028,-0.037459979260205216,-0.02927449735175517,-0.018745718606202805,-0.01825712701623002,-0.028836348157408986,-0.040282009343548926,-0.023114434055986413,-0.025203056724828796,-0.023247396399863705,-0.027338090696907194,-0.026115382741676133,-0.02095691826358667,-0.029153112446995786,-0.006276321098264502,-0.0100103960212444,-0.01814456671492743,0.9755221272384496,-0.0037627275073199404,-0.027797177450382883,-0.018250663342781408,-0.016628043796436082,-0.026810461828190933,-0.030919584538557414,-0.020302166092492614,-0.030217374912097163,-0.0123796275128845,-0.030726964333251245,-0.01821330389274777,-0.02696349259241878,-0.027368933414019404,-0.024357717519076567
H171Fg29,-0.019183603190416437,0.9823227438572125,-0.019324567827849866,-0.028570550745881995,-0.03282876377023025,-0.034898304031323435,-0.02149379211027637,-0.02123887424387518,-0.04018803945805719,-0.03049209361219955,-0.023510748916274193,-0.026383952814666253,-0.032554118233937536,-0.019608844365615073,-0.026473889025743956,-0.030663434033573696,-0.02005004103982478,-0.033380283769261374,-0.022517209653761246,-0.03584160761187161,-0.026684786359535178,-0.03937579909430582,-0.03963758885360953,-0.031147803727897928,-0.03325678592237899,-0.04070992726228023,-0.03930016227701223,-0.029165368413522776,-0.032478466188919634,-0.03494528751815032,-0.01428039513460705,-0.023134054414581894,-0.021328440217415975,-0.0021603870373047714,-0.01862217076536984
