sample,ME_purple,ME_greenyellow,ME_tan,ME_turquoise,ME_black,ME_yellow,ME_lightcyan,ME_green,ME_salmon,ME_brown,ME_blue,ME_pink,ME_cyan,ME_grey60,ME_magenta,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
H173Fg01,-0.06541926242285455,-0.023878930268125473,-0.21865464988263078,-0.031625490157029174,0.1451807010662599,0.143410944410339,0.04421390588632227,0.029966445395861144,0.3695496994260331,-0.009300047635206157,0.0623339036978919,0.14793220901775617,0.06872450170722112,0.02714562720173359,0.18187203837558447,-0.15051826023239986,HF,2017,30156,0.01246118,0.1304071,HF,2017,Fall
H173Fg02,-0.2201718445981241,-0.2460110364099305,-0.3028496824207035,0.09321467074015408,-0.0288136481606122,0.1724795639430051,0.10221340904512294,0.3522574793164313,0.7844383673770003,-0.2459507411060345,0.05893198587787428,0.18269735956871805,0.0886316372059919,0.22119338682989456,0.07428917281319951,-0.09929564022620131,HF,2017,10481,0.009235177,0.177208877,HF,2017,Fall
H173Fg07,0.05667804077008526,-0.07191311145370712,0.1370685455742083,0.02285542247055092,0.10019814499524522,0.05598844108426166,-0.033413459755121645,0.14024452711260565,0.06626775430470436,0.24590337920727504,0.07368248940741189,0.12511388806650747,0.279038175188287,-0.013392687797448788,0.046137167757772546,-0.021341412470230296,HF,2017,81099,0.021030121,0.144519244,HF,2017,Fall
H173Fg08,0.5506031113033242,0.25149732783152645,0.28432823058365864,0.06426094467239622,-0.2981724910442925,-0.2552073595053027,-0.014623918064728304,0.0011235962383466728,-0.12392697070486877,-0.25685711063035166,-0.07574669431325136,-0.2022591350818547,-0.2846249110857989,-0.16529796357796947,-0.3119232769252871,0.05846303718436261,HF,2017,81091,0.01509066,0.460714489,HF,2017,Fall
H173Fg09,0.15044111115302172,-0.13234685409034466,-0.13087659244541947,0.08299796431827876,0.26998650938205426,0.22160279614313275,0.8755453704722702,0.09872188793287942,0.09985659779969173,0.2987843775939703,0.11635235721435108,0.18933210301358472,-0.06026072154427318,0.09240914673810363,0.41753475080524977,0.06577955010255666,HF,2017,60850,0.019897924,0.116563789,HF,2017,Fall
H173Fg14,-0.014510611438653257,-0.17917705755914462,-0.17956927968049785,0.049638688129769716,-0.0876423895522487,0.03551618164099191,-0.06687541200178672,0.046829932565644584,0.020610878107880762,-0.0653195100636196,5.699359904333062e-4,0.06534756910712852,0.20332618807242833,-0.12017062593092584,0.022191314355594058,0.11830581510820144,HF,2017,150496,0.009089832,0.185359054,HF,2017,Fall
H173Fg24,0.4667918830159774,0.5341403988310923,0.3213249946794057,0.1587467740556264,-0.19497950244842996,-0.08386218968339268,-0.09151597918887291,0.04346538949343573,-0.13668015062317124,-0.11816272625580684,0.0624767263211587,0.03790381696664746,-0.2643424264637975,-0.04038736426254112,-0.2719271335313423,-0.11557768599592705,HF,2017,141939,0.001212585,0.046712676,HF,2017,Fall
H173Fg25,0.1648811438720342,-0.041481522240555214,0.3150403108213801,0.057414490826165385,-0.12827593130095966,-0.012081713131970482,0.08130288419509095,0.0535951833909225,-0.1182705356004368,0.21840826164000643,0.06619126918746936,0.0850650202061543,-0.04446753072840587,-0.11117135209479503,-0.10468368458605161,0.08038521864022238,HF,2017,121716,9.98443e-4,0.048144357,HF,2017,Fall
H173Fg28,-0.08414673803488076,0.040022637336533835,0.28452578714781185,0.0718655378451541,0.16843736964145486,0.12284281485791572,-0.08789112772123057,0.10371099884124733,0.03185826339156332,0.10760251790023583,0.1492998414589099,0.17404215633988898,0.051725839302167655,-0.004939594700559474,0.1889836220451188,-0.051872017016439474,HF,2017,260845,0.005818461,0.042599623,HF,2017,Fall
H173Fg29,-0.30339960757254947,0.630919524824629,0.362152516133828,-0.011591432821906231,-0.35112889216827464,-0.8031209872655816,-0.21741087173658022,0.11256438070999807,-0.20303195663911297,0.05278937088988828,0.015847441763188964,-0.5585904424167749,-0.4052185697911801,-0.23473213385399708,-0.23454268029701023,-0.29599327845236023,HF,2017,271124,3.12437e-4,0.007780705,HF,2017,Fall
H173Fg30,0.014100115188610709,-0.0466919047872487,0.18216132426545933,-0.050671265898139604,-0.04366109024329972,-0.031539171535195705,-0.09254941470369607,0.04731505785144042,-0.11714631196363233,0.19520779247901437,0.07778898070456254,0.039087158620073136,0.12358480885233551,-0.10179971655869276,0.032325324563284595,-0.1079059535577969,HF,2017,281050,0.002839708,0.114597912,HF,2017,Fall
