sample,ME_brown,ME_white,ME_purple,ME_lightyellow,ME_darkgrey,ME_pink,ME_orange,ME_tan,ME_lightcyan,ME_darkgreen,ME_turquoise,ME_green,ME_yellow,ME_black,ME_grey60,ME_darkred,ME_lightgreen,ME_midnightblue,ME_skyblue,ME_darkorange,ME_greenyellow,ME_darkturquoise,ME_royalblue,ME_magenta,ME_red,ME_salmon,ME_blue,ME_cyan,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
S193Fg02,-0.15150751081045227,-0.1032251810141347,-0.06747828837219894,0.191386988437035,-0.04962031063458776,0.2817407818572815,-0.1281587640431227,-0.10733415401772056,0.052298167543537256,-0.2311438979952178,-0.11149756838171154,-0.18282527299324136,-0.016680799275232132,-0.1054067616283824,-0.1271583063678381,-0.23005648100240747,-0.09068278095942721,-7.087837589822912e-4,0.006197981101141743,-0.2077294418231186,-0.09337397875864152,-0.10637487742345948,-0.07863503358027941,-0.06038524687009742,-0.16114035030711604,-0.2266808676964749,-0.08952548448480385,-0.1377495623004132,-0.14385243759335212,SERC,2019,130632,1.40324e-4,0.00308855,SERC,2019,Fall
S193Fg03,0.03415629271566926,-0.037862258604593406,-0.043604386160332326,0.13468707291609378,0.5486722144306685,0.8572346707281958,-0.07978426367928591,-0.08741910739014194,0.538247254329051,-0.13950503215922092,0.03590229885270567,-0.06434970647977614,0.05336896581806051,-0.018187284499525908,0.20607066324246204,-0.25694074765737446,0.07678254985071997,-0.1085966431098315,-0.04446695549703151,-0.2571639504933475,-0.09234458976249284,-0.13651572189633368,0.05060500141062379,0.14493666658006113,-0.1284649864446125,-0.04691869570593215,0.09648491683832272,-0.2573103756352251,-0.13347051460134865,SERC,2019,140981,0.030206727,0.29355916,SERC,2019,Fall
S193Fg04,0.03759159151057422,-0.20642215200456326,-0.09298253270330657,-0.13253813351653085,-0.18695023844155345,-0.09509987580430018,0.057033263621395505,-0.13374960527962887,0.03742431180564177,0.10661215640815311,0.07265692197384199,-0.03331174876373044,0.05498729162724494,0.18194839263432197,-0.14235907117208596,6.301425739418823e-4,0.11722300640476731,0.8752171758321292,0.0947467526645343,0.11389673267785536,-0.12832136540188246,-0.10772983716100074,-0.17847834751179997,0.06263755315774484,-0.06011608643081152,-0.056513655994421194,-0.09732904811993123,-0.12595322323872427,0.1619823089015052,SERC,2019,142546,0.022182021,0.23876165,SERC,2019,Fall
S193Fg05,-0.061933437531043314,0.5381530857036314,-0.04346737743908344,-0.032990383238105,-0.021577071438286067,0.10444501578437912,-0.0037462196358871622,-0.15412785579089722,0.23063497539781694,0.561380283940021,-0.06440047438554398,-0.09977475260332051,0.23593820474696758,0.8627852554675833,0.33523650193827365,0.3401830811378585,0.15272883139965976,-0.17154183824454106,-0.00197235410503438,0.05806410932687508,0.07056183300813117,-0.042671971474903946,-0.00552551131466186,-0.0914850644319712,-0.044731730471914456,0.4740661688211539,0.11458381281646483,-0.11467830679727414,-0.3899356423284656,SERC,2019,150147,0.013567589,0.38023786,SERC,2019,Fall
S193Fg07,-0.2780403482741849,-0.23409923635490348,-0.21404738474462393,-0.26905501900158496,-0.1821599954150594,-0.09646195766044219,-0.19562778136168352,0.9396216134316804,0.48910662181887066,0.4628027278701763,0.6745270136934348,0.45704907822972096,0.25800489350039235,-0.12856003653945264,0.3259989328146968,0.28974670837967786,0.07344887649514419,-0.16265876733434678,-0.014127406753430554,0.2934568068571136,-0.17293392251693399,-0.13813962915120126,-0.20985236132791912,-0.3115693562848006,-0.29383936750113443,-0.25912733909164465,-0.1697251523632565,-0.3409844296214093,-0.3481347630459036,SERC,2019,43245,0.018639347,0.41609424,SERC,2019,Fall
S193Fg08,0.1671723476772869,0.09746739930011734,0.10031970715093244,-0.014701800873424537,0.39229189421623084,-0.018905602858487636,0.9195606350029359,-0.02580106742293728,0.2493859397351295,0.4263088633957232,0.5769885394441203,0.5305415000764276,0.25207808026909173,0.17173145892784858,0.26373607199331156,0.3111192211274952,0.23506416390186569,0.008457872670135418,-0.11342534869678214,0.17695080731105126,0.04171409810792541,-0.015347422712255436,-0.007329240482350845,0.09475778078144237,-0.0067656313180742104,0.17617949116736725,0.0477639078622471,-0.1529655363401834,0.21988413307650442,SERC,2019,43247,4.55072e-4,0.002918907,SERC,2019,Fall
S193Fg10,-0.23290915779871324,-0.016627379169331553,0.9074353474484356,-0.14053554533577295,-0.1763044630294909,-0.06195815320617465,-0.09452773752220604,-0.05562984347023071,-0.11753744969695588,-0.17202528252344598,-0.19089573562430534,0.5154085045476565,0.27077122701081235,-0.04282866435301567,-0.09252550864893568,0.16060976059247475,0.006346843498857666,-0.12266544382639712,-0.12188127002994398,0.1538562600846223,-0.03828583101839294,-0.13094504975250826,-0.14049779058552853,-0.020413061538569782,-0.08997786759543688,-0.28191780243899595,-0.1539786557479884,0.01770409362462825,0.2571255344502237,SERC,2019,43420,0.001540787,0.13506485,SERC,2019,Fall
S193Fg23,0.10415917797837623,-0.15880190693860272,0.042225255596634106,0.5828183997935132,0.2577508136467765,-0.11911405752248512,-0.092511097431900155,5.001433093362528e-4,0.09949268551229165,-0.07003539770861107,-0.04384891489413094,-0.040217994645008255,0.09420565429678024,0.048831657674153345,-0.09381348226524709,-0.1086731619777319,0.16181146722182985,0.03904355863385666,-0.007472247861180989,-0.005176264753007317,0.04066906443064923,-0.06220656717627923,0.05320081610116579,0.14319732843323585,-0.18852983929893263,0.03524170649060353,0.08705374477759048,0.15165384275057725,0.2507720591470623,SERC,2019,41628,0.004381804,0.16399262,SERC,2019,Fall
S193Fg25,0.8135393923677153,0.6581789802749113,-0.15045641983053942,-0.23606349815083608,-0.3175605573966874,-0.12773211625122224,-0.1779800613320353,-0.07534199880851296,-0.12382593367062407,-0.15352422432012194,-0.11125222392606574,-0.2407391407774034,-0.2040817143889677,-0.2593784609284621,-0.5545730776836465,-0.3446849521737918,-0.6889092624811113,-0.1597225182577304,-0.24577065389498345,-0.5117735277204457,-0.1414573112132581,-0.19574955360894553,-0.25381788098550584,-0.2661079497412465,-0.11378251166663832,-0.18620567114463635,-0.16607812856263404,-0.26525630430730573,-0.16102915423023245,SERC,2019,41489,0.001440672,0.06814094,SERC,2019,Fall
S193Fg27,0.052546426957100746,-0.03422404807408151,0.035878832048350545,-0.10022411263694998,0.26966182059798,-0.028555263911207177,0.08091693602297925,0.035840431740537367,-0.12051126260730174,0.055501068671065065,0.02545891766737575,-0.0028420400529439198,0.00569790780573432,-0.0374618318135985,0.173489879598552,0.16058522114351423,0.12146438378346182,0.07467575892754902,-0.1024028181418373,0.38224575272293165,0.1064586424022904,0.6663564679561417,-0.03126111528433018,-0.07567156062283847,0.5710335245457611,0.10163304475998391,0.023954903685934444,-0.10674270221279444,0.10761360185627841,SERC,2019,30900,0.005176107,0.15980181,SERC,2019,Fall
