sample,ME_blue,ME_turquoise,ME_royalblue,ME_cyan,ME_salmon,ME_darkgreen,ME_grey60,ME_darkorange,ME_pink,ME_tan,ME_darkgrey,ME_lightyellow,ME_black,ME_darkred,ME_lightgreen,ME_lightcyan,ME_orange,ME_brown,ME_purple,ME_greenyellow,ME_magenta,ME_green,ME_midnightblue,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
H181Fg01,0.1088083493754363,-0.0020469080604194295,0.15291446051428684,-0.13541132839842476,0.00812040539891863,0.8637191445656057,0.35881993547402485,-0.0023019009905899173,0.020619618158895268,0.10850693047386402,-0.06074036359633658,-0.02678542604931087,0.317081286375522,-0.01729317659429133,0.1497097897134744,-0.06902022776180003,0.004667275559624662,0.05044598079520718,0.10734498827063887,0.062265961673341155,0.032189086279256554,0.2941529112196813,0.12142403368930166,HF,2018,30156,0.01768953,0.188287123,HF,2018,Spring
H181Fg02,-0.1804038512650978,-0.08344168379300176,-0.27486174494290005,-0.22232429802451018,-0.11332009724996903,0.09510952065801004,-0.07687918128869431,0.07486340179749089,0.26909774469333475,0.29582580545172144,0.04065984390606306,0.2666466390311354,-0.011201104735852464,0.1426481280491376,0.18612335204750818,0.08181912559328448,0.7116786014422792,0.16137462696223887,0.11464135716447466,0.15630448890869994,0.21584697528020788,-0.07926277417723326,0.11336493425106206,HF,2018,10481,0.012780835,0.248220654,HF,2018,Spring
H181Fg07,0.17093609937215687,-0.23260948762149564,0.17112750188445902,-0.38555336455520045,-0.4652024830416693,-0.1653259637609029,0.18204725557768245,0.4883310814699413,0.19329650977124305,0.2846170850101853,0.7347507868881694,0.6234590470527454,0.490161491935331,0.6584746289548862,0.2509747517803392,-0.1299171171274054,-0.1809411567977726,-0.1888396220358771,-0.24967634193201851,-0.4723288709337273,-0.5594870036295999,-0.38168308138038204,-0.4204750154973482,HF,2018,81099,0.021665351,0.152604713,HF,2018,Spring
H181Fg08,-0.018662519094031677,-0.1488282615256864,-0.5126699802833717,-0.20574199091499315,-0.42980296894088454,-0.06696653204794696,0.05979743100552334,-0.2128462225402448,0.43029999345576564,0.2215945829427578,-0.044907293298992505,0.18903482552045378,-0.16877245778142497,-0.16858456818097448,-0.482937691382292,-0.09228592734558254,-0.04422499324677799,-0.15654223578356444,-0.15692161963390266,-0.37682632568792057,0.28595430939959215,-0.2514476269576279,0.3822345354161294,HF,2018,81091,0.020390159,0.634232306,HF,2018,Spring
H181Fg09,-0.219163971189964,-0.11734381985822528,-0.02753019100405316,-0.10440630210320072,-0.029255309928086733,0.09331593203341543,-0.09002929890540416,0.18242190277305653,-0.003524592824564128,0.13435835208798025,-0.024046471021966873,0.038145062907117264,0.10043167992328181,-0.016841065087217777,0.07860022180760932,-0.03211454450392024,0.26644529841686376,0.2159482280575205,0.3526926072019424,0.03444188247220815,0.07093547156292222,0.0620432573275394,0.06435585318211615,HF,2018,60850,0.034797181,0.209816186,HF,2018,Spring
H181Fg14,-0.33201605791266015,-0.20293785077117346,-0.47270611842932175,-0.20379221671012956,-0.3903109069912042,-0.15698124242331088,-0.2285454248547387,-0.16342525210371275,0.1331604199692156,0.23793712207620216,-0.1899203058443117,-0.13973411615579398,-0.314690579651017,0.30115224523509343,0.19261693182506187,0.008397058887794373,-0.18364211760505958,0.2690383359583292,-0.21996957787016536,0.3196070746920796,0.2923619318567647,-0.27115003400349347,-0.32809083701247327,HF,2018,150496,0.01239828,0.256107849,HF,2018,Spring
H181Fg28,-0.23626002445730537,-0.08511262316602418,0.08357220417160946,-0.1881017706304752,0.20108314533168511,-0.07147214786729802,-0.08935130198027184,0.3956951690603048,-0.1328047123434019,0.11524525225425099,-0.11044149026154015,-0.1331636255446169,0.2098593052812854,0.4079832455560109,0.06461308669817148,-0.07244606995634437,-0.11937058251604,0.2629443738005374,0.6186599722623375,0.09573582821818105,-0.050359036354856355,0.19915047653483053,0.13804851288309744,HF,2018,260845,0.014533972,0.107637779,HF,2018,Spring
H181Fg30,-0.27910824246087546,-0.16410839502047578,0.10912175977315994,-0.26985175305995235,-0.18089351237082382,-0.09046541817245576,-0.14516680042613037,-0.0036322224563881027,-0.09327197297797928,0.23491096408173232,-0.23208717183741376,-0.2299592344308408,0.3168204955966134,-0.18607576636459977,0.18734766592808247,-0.16502664474899587,-0.18089913764166285,0.2743546851969121,-0.2712192650160874,0.27970289962850653,0.1073870665022472,0.500639574064677,0.32164406757163083,HF,2018,281050,0.00478918,0.194231083,HF,2018,Spring
H181Fg37,-0.1988625913154966,-0.05909295979951221,0.0016104915342865362,-0.08421220615868684,0.0792784688863596,0.09876950924679648,-0.1364383397943721,-0.03113700888352573,0.10147173313550503,0.16444785083268393,-0.03545035539508732,0.06846630894480979,0.18895087367774788,0.19363106352595735,0.17681163552861906,0.08686902169035118,0.1155777127618103,0.32214506468945825,0.33063017944134,0.12092120726186713,0.12580405986465945,0.18282987421233277,0.1473855570957046,HF,2018,220932,0.001014794,0.030282839,HF,2018,Spring
H181Fg40,-0.15676535674922512,-0.11124668366606329,-0.20521886491484592,-0.1321310164607957,-0.2803129884363809,-0.07066072355475735,0.09538322260544536,0.07701130121452364,0.22205513512702854,0.18010409898175192,0.47393948804194,0.024412089182951895,-0.25990095946346675,0.10643785400597523,0.17840922705330103,-0.0047602194816681,-0.13234256069007702,0.12551173242970048,-0.017291800168658736,0.054467723625334426,0.02978022700280293,-0.1534880714012856,0.051400566715544875,HF,2018,31078,0.012340858,0.333827096,HF,2018,Spring
