sample,ME_blue,ME_turquoise,ME_royalblue,ME_cyan,ME_salmon,ME_darkgreen,ME_grey60,ME_darkorange,ME_pink,ME_tan,ME_darkgrey,ME_lightyellow,ME_black,ME_darkred,ME_lightgreen,ME_lightcyan,ME_orange,ME_brown,ME_purple,ME_greenyellow,ME_magenta,ME_green,ME_midnightblue,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
H181Fg42,-0.1774356505280735,-0.11029482131393509,-0.25458915675308474,-0.1666001259826716,-0.17426280858269283,0.06185336090203456,0.04522387584433316,0.27291913554751934,0.09213194801527225,0.17320707009293773,-0.022268064046101717,0.12405190843272461,-0.020620224223953928,0.025712995715848657,-0.03708785366683074,0.07178637769646601,0.06376229234539896,0.06085819061034994,0.014847827696965441,0.028135770259604804,0.03877561174849002,-0.07112085495121621,0.004833187189160125,HF,2018,331632,0.001475846,0.092051239000000007,HF,2018,Spring
H181Fg45,0.10078886080245991,-0.015829680219118077,0.041807207969083104,-0.11131931620459565,0.06941686569601913,0.1450778903355808,0.2389377396549547,-0.12859686981132545,-0.050175238832730035,0.045891900387840794,-0.028007342320021306,0.05122744765321782,0.0619230241320801,-0.05122661310595751,0.039838685337368396,0.005225557640150015,0.18056675966397104,0.005227388845388241,-0.021705593729306742,0.03289946432013834,0.018646750113228663,0.10303630134347991,0.04460408260964131,HF,2018,351005,0.007490891,0.089577616,HF,2018,Spring
H181Fg46,-0.2036966975956198,-0.08314800916808486,-0.2337008061162274,-0.1252581654715059,-0.09528773097757469,0.06264395271307166,-0.08898819983860698,0.2477543403265193,0.19782182711956167,0.28385532197502045,0.06901110643873294,0.43411790060579686,-0.0058228502408579465,0.05482352638302106,0.13343314470070347,0.7254224819768043,0.26546201429137073,0.22010169468667556,0.1034182893632212,0.10225657672139433,0.162817351053503,-0.031507502558571925,0.08040024585427387,HF,2018,341026,0.011525128,0.091973919,HF,2018,Spring
S181Fg02,0.15363535262958855,-0.027301931360473975,0.1096250517666555,0.15165570918931293,-0.004581356930534602,-0.0535348699959302,0.2871947327531688,-0.2130281094392388,-0.026149026860998147,-0.11012468633759458,-0.021096914071328042,-0.07735127738169467,-0.0968472469621396,-0.08130859054278186,0.1120471763322407,-0.043268772031997374,-0.13745085033098647,-0.03940339078925034,-0.04556458054726889,0.08230820045301834,0.03939214256925208,-0.05278731945318831,-0.028269782405770938,SERC,2018,130632,2.25571e-4,0.00496399,SERC,2018,Spring
S181Fg03,0.26794748439437716,0.3113665493129412,0.17056068450076559,0.05572412040367614,0.05944973116515334,-0.05526001907878995,-0.217015782075581,-0.1421547322960404,0.03829404227518971,-0.09884399844089344,0.01866891214411323,-0.11992249867263792,-0.05459257447153401,-0.028277614982527774,0.03361998717358611,-0.06725905485680429,-0.06728492528820218,-0.22017472552048858,-0.04515223767807065,0.08083187117728609,0.08217086808962601,-0.04240574528291219,0.011595347638173705,SERC,2018,140981,0.026852035,0.253352489,SERC,2018,Spring
S181Fg05,0.15745492386467352,0.1403310906964145,0.08993145994010213,-0.024552670878482074,0.09008562496396354,-0.0846694769043794,-0.2575218410300271,0.02395076535057045,-0.13379555952757827,-0.14672521862820953,-0.07675729558472949,-0.17471731077917166,-0.11181211091341864,-0.08041279024529967,-0.13930974958676395,-0.1752617750019207,-0.1506069736158954,-0.25215073495990914,-0.09802186732846167,-0.09444409174973577,-0.1300473072765452,-0.11655187545594388,-0.12159154364860834,SERC,2018,150147,0.011099398,0.30712148,SERC,2018,Spring
S181Fg06,0.2680044512853983,0.5657594516167692,0.10331320006872455,0.038386176882027105,0.1277153468686884,-0.09012330275354252,-0.23248712490512272,-0.11974766337560941,0.21530774522038706,-0.00865220751048978,0.09946495834455438,0.0062373792250357395,0.019177185292820063,0.002914707393245288,0.1510262019392293,-0.07811541053919713,0.021463456886097663,-0.16950647919308906,-0.006956715166001984,0.2724840823823415,0.2074992386544644,0.01212579210764684,0.20113918590521412,SERC,2018,160234,0.05258339,0.394748297,SERC,2018,Spring
S181Fg07,0.1988440501399148,0.365776958639746,0.09751092501792791,0.07711092558591832,0.13329788632456582,-0.02838274907673132,-0.26816003064246174,-0.1171629545215115,0.05333135582215723,-0.13388157176622326,-0.006848206751178569,-0.1013108190566328,-0.04299433833658547,-0.08238744606599761,0.019325556853078355,-0.06910549687704258,0.04699899391754973,-0.2192297943709335,-0.08302752137991844,0.03579419646295672,0.08491553883775703,-0.040063968422132015,0.019512744390811864,SERC,2018,43245,0.0203423,0.44507626,SERC,2018,Spring
S181Fg08,0.17661258944467445,0.23298058695043378,0.08727032178515348,0.05452646853546008,0.09632622221013852,-0.045952493868970844,-0.23728843427747676,-0.0960225713694192,-0.00757800804624264,-0.13358973954893913,-0.01329259436973443,-0.11431655019246267,-0.044506067401264005,-0.09837631201339153,-0.024022325721283763,-0.12157467561291706,-0.07087269712610247,-0.20852062640303726,-0.05282818500912122,0.006507298700292572,0.031936427569170964,-0.03010601523192572,-0.023855250572974433,SERC,2018,43247,0.002095766,0.01344353,SERC,2018,Spring
S181Fg10,0.153262917039399,0.20848839599891508,0.050135041973915516,0.08681077732971669,0.1075814817973331,-8.848090636510049e-5,-0.17877349714962582,0.11664094324779894,0.05925068685404379,-0.054592832447552885,0.03602456498027933,0.025234847477672986,0.022277626069122317,0.012741227794383402,0.018795737295744998,0.01954162300188048,0.05000986278682562,-0.18241496913472693,0.05925418700571178,0.09460127447823714,0.10599551472117119,0.03147092893364243,0.04411237457746425,SERC,2018,43420,8.2209e-4,0.07193787,SERC,2018,Spring
S181Fg18,0.024040096366887635,-0.1672468364712282,0.0636291303935627,-0.015498526160413166,0.16392176099456282,-0.15183192012449606,0.1872518417684011,0.022422124324739775,-0.40906541691160464,-0.25973353764197654,-0.17516714006306966,-0.1442945519726107,-0.21949829684306515,-0.12213820573852949,-0.28306995859425493,-0.14686666757205083,-0.17489195895736448,-0.13874883235007196,-0.14823971589052462,-0.3758843244245747,-0.31321368604093247,-0.1548131079363777,-0.27769914857452954,SERC,2018,80469,0.006729374,0.037964211,SERC,2018,Spring
S181Fg20,0.011653553960647855,0.066018242058037,0.12919288608998605,0.3593074239946013,0.16429712373879904,0.11327322604705282,0.16336738819736646,-0.1886886295123664,0.03892912017310297,-0.04234594734843199,-0.017619040910010948,-0.021474970407613758,0.18311999329459358,0.001087139085526579,0.07825685782880487,0.00887922477865704,-0.04100684033274382,0.17701773474130664,0.10902518500951597,0.13489088434154548,0.08229378352623944,0.2797038692712836,0.15635460562356765,SERC,2018,40756,0.001332255,0.10112488,SERC,2018,Spring
S181Fg23,0.09379686472575084,-0.1054547506539176,0.12463434193410286,0.09969525291723622,0.15715294662588428,-0.14429385263749914,0.13648152295515587,-0.01171204630634663,-0.3114406690889453,-0.2797262227006341,-0.11800758482244782,-0.1492480326552129,-0.1610780628965559,-0.1707860090078314,-0.2712818926937357,-0.1323305731204747,-0.04154912231231972,-0.15145741916283154,-0.14048038461309037,-0.09834711168980152,-0.2151817648940725,-0.11483192403702415,-0.18647411331864927,SERC,2018,41628,0.003797322,0.14149114,SERC,2018,Spring
S181Fg25,-0.07371827411734148,-0.02394782634056684,-0.0016959449260794547,0.18774989094325228,0.0337186389387652,-0.06294924066900157,0.17663928445528346,0.05409830615508466,-0.05336762609721422,-0.08671895345732121,-0.032819248861876996,-0.00639944564741651,-0.04551493748894731,-0.0999194341692221,-0.034363970212098714,0.13847188559836665,-0.06203300654515707,0.031952668539059044,0.02910927667802735,-0.02260265296507057,-0.06488523289180406,0.0027048086919925145,0.013499816005607521,SERC,2018,41489,0.001927662,0.09098222,SERC,2018,Spring
S181Fg27,-0.08999391301731165,-0.01523228938351802,0.1468525511671756,0.26988879293754836,0.14277735247993395,0.03952176746596648,0.003538560164706466,-0.1311557748497059,0.022239003446970093,-0.021005383328388604,0.02032848767359479,-0.01970020829574913,0.16564715170331873,-0.067457679267264,0.0806901217206646,0.15929600161071417,-0.04717159902867888,0.21270753399795964,0.13022321432389888,0.06734867946828217,0.02599408608641196,0.235927425989866,0.1191356048189692,SERC,2018,30900,0.002654465,0.08160344,SERC,2018,Spring
S181Fg28,0.12403655315472058,-0.032274525539002605,0.10816926682994824,0.041272776033635696,0.13400091613888757,-0.048195095100139446,-0.05556173718718073,-0.03994065041285347,-0.1798851255266484,-0.2635157920238751,-0.011707880800985034,-0.13141697146573372,-0.14131422655505654,-0.12366036462828786,-0.27721898908686093,-0.1516415804529799,-0.11970551705207398,-0.20609958944516313,-0.11535213780534573,-0.20832286191427032,-0.17142353313875786,-0.0776751083570051,-0.17487142624991722,SERC,2018,31048,0.004991984,0.09763422,SERC,2018,Spring
S181Fg29,0.03547569639654959,-0.027499604108522802,0.07732157802534315,0.22468264645667715,0.0943321725109406,-0.04549168867930124,0.26798269487220805,-0.08349965612022134,-0.08503826002163403,-0.12074679685487574,-0.016732650611389472,0.11394171814203076,-0.037097870360835256,-0.08430880901302086,-0.07003948003347078,0.45289708193804157,0.11705790033459024,0.007785000450901156,-0.044208561842367405,-0.06873047106389783,-0.1081287162461517,-0.005899767306831329,-0.05537058284107496,SERC,2018,30971,0.002564914,0.1375886,SERC,2018,Spring
S181Fg36,0.14069161044909725,0.05817170608663714,-0.10012783150303994,0.08183921719601013,0.020053772567431922,-0.08245030551927708,-0.06395374614508229,-0.16334873457060023,0.01772829495542709,-0.09375810764116474,-0.010230405274524196,0.02602573827314968,-0.08512831536894992,0.015266667911728267,-0.04456709006636566,0.0029772088074550367,0.056777545670703096,-0.11882452261725017,-0.03790924865695416,-0.03906232602806918,0.041879462620378415,-0.07705370884057691,0.01347520782389247,SERC,2018,20948,0.010631794,0.15574312,SERC,2018,Spring
S181Fg39,-0.21262572663926071,-0.13048608951435972,0.02649382086061853,0.027678012114413213,0.07633778045977319,-0.14161075923621178,-0.07399763323101909,0.14809288544033966,-0.23139086131597605,-0.14112477971007242,-0.10898085504064832,-0.12735263582544526,-0.0697467534549089,-0.14766926397070676,-0.10583190425808443,-0.06305596962719393,-0.16663621196813122,0.09669596490188447,-0.08213014187003063,-0.06422481710637074,-0.1930156531678839,0.027692987944071195,-0.1863900044693178,SERC,2018,50913,0.007153144,0.18249369,SERC,2018,Spring
S181Fg42,0.16907274930946847,0.11354542205806455,0.015680825551331063,0.18050232126465057,0.06608627490031334,0.07238093327748547,-0.024773489002960742,-0.23997309367097722,-0.05505418176047719,-0.11035324710457749,0.01610835944660816,-0.06344079946884593,-0.023276367685947458,-0.04030557514794182,-0.033454063374220806,-0.0918529624755797,-0.04382241129068668,-0.11427447932656441,0.00703213770169064,0.01235148756969148,0.012514809621486583,-0.005972092999447839,-0.01007256688784538,SERC,2018,70361,0.001749698,0.11300855,SERC,2018,Spring
S181Fg44,0.19486633590545532,0.07798366387937292,0.1818004651983055,0.31922657588126313,0.1606949965642159,0.0012767218734170398,0.1715709135837218,-0.1602634632117733,0.0026494782131739904,-0.08180901397792226,0.04545369805990152,-0.0411676124950137,0.0865525433905892,-0.09436066949086729,0.06500659732840995,7.106472992128344e-4,0.10176717171533485,-0.03300236452453901,-0.012673623610381145,-0.028963355282785933,2.778045513277253e-4,0.1727462542759067,0.07752876757551858,SERC,2018,71429,0.002858542,0.18687598,SERC,2018,Spring
S181Fg45,-0.17121566227439158,-0.19493702994252604,-0.05917453807757943,0.11869796404863818,-0.022498751112513062,0.00976432325887093,0.09069546382278067,0.14443619973456195,-0.3351434042702774,-0.2932543001797866,-0.19728153114026203,-0.16924482595203819,-0.24758731183652372,-0.16148347599410262,-0.39406176021573525,-0.05638960742530264,-0.03778222344668783,-0.0949194190461301,-0.12755010237208833,-0.22411964396878215,-0.289626583870358,-0.14640388316377487,-0.31288895933837246,SERC,2018,111002,0.018411789,0.53850531,SERC,2018,Spring
