sample,ME_lightyellow,ME_yellow,ME_blue,ME_brown,ME_magenta,ME_salmon,ME_greenyellow,ME_purple,ME_cyan,ME_pink,ME_tan,ME_grey60,ME_black,ME_turquoise,ME_red,ME_green,ME_midnightblue,ME_lightcyan,ME_lightgreen,ME_grey,SITE,YEAR,TREE_ID,RGR,growth,Site,Year,Season
S191Fg02,-0.07535124211989142,-0.14829145110904896,-0.042813408913872086,0.048582170206054646,-0.11077374244432994,-0.13267254620300284,-0.09234040458046415,-0.019584715274243658,-0.06930083420460162,0.10168065248185901,-0.19961492749905319,-0.10782428227502092,0.2523163492176982,0.15118127638207912,0.43672521077966886,0.6194779949675893,0.8629986919411734,0.004738110932177455,0.0028970617061575337,-0.25568830559334166,SERC,2019,130632,1.40324e-4,0.00308855,SERC,2019,Spring
S191Fg03,-0.022028058203628444,-0.04772693964140581,-0.11456997934774017,-0.1385375791903829,0.1696362893116257,-0.11765926317259862,-0.09518397841679169,-0.08104936213182226,-0.04859024203162838,-0.061186327036193026,0.13558721542047109,0.779111521117533,0.11293003110505498,0.05407836607797647,0.2761512722926564,0.5523686909736811,-0.14330407555336927,-0.1135808799983971,-0.069884822299875,-0.2794148540930145,SERC,2019,140981,0.030206727,0.29355916,SERC,2019,Spring
S191Fg04,-0.11915583720005392,0.23366040632815283,-0.04186281508913516,-0.03964901359423063,0.06529136795044055,0.004112208343822973,0.180038551267066,-0.09397593714120807,0.8926230444301524,0.20630070545593496,0.3549386089339943,-0.11302056843134771,-0.10514703085503155,0.21755991389956145,-0.06445794172920116,0.12434409245244196,0.07795800367895178,-0.15937243280714342,-0.11135038615140165,-0.13197667556370132,SERC,2019,142546,0.022182021,0.23876165,SERC,2019,Spring
S191Fg06,-0.28443269615174993,-0.26060676366598884,0.024089629337763045,0.8442989451705596,0.48862342957091187,0.7390452769211108,-0.23757875034697973,-0.22945818384378155,-0.23484181369269447,0.11838748575913954,0.2791524537930016,-0.35163483621174063,-0.8610581588675534,-0.8560916184560662,-0.36631679095250386,-0.29526517127970586,-0.2870212405277105,-0.12743053310255126,-0.2956305887918045,-0.183759067322605,SERC,2019,160234,0.03919128,0.308105115,SERC,2019,Spring
S191Fg07,-0.11635108553161036,0.6089687171523629,-0.07417874114402372,-0.15669303398687068,0.4832031197836896,0.3620485940053564,-0.06416648289770835,-0.06707178010074846,-0.01899526956827778,-0.06180757283228111,-0.11124912781632106,0.02025113185699546,-0.09368269152218424,-0.004880775545294669,-0.21098818615500464,-0.07711975277460084,-0.020090787347795406,-0.08363076617794207,-0.12308496758991917,-0.049295505392014674,SERC,2019,43245,0.018639347,0.41609424,SERC,2019,Spring
S191Fg08,0.7795119697712072,0.5844264483577206,-0.21697908337748323,-0.1348993832914644,-0.06121828674795759,0.2972143161892146,-0.18886123335274438,-0.19049948802838765,-0.13494638190467206,0.1342275790715551,0.25662759986859507,-0.18041645219887545,0.13703046842680572,0.01776845803013076,-0.3802263709648582,-0.12077561824479384,-0.03846631721677015,-0.12810793138617152,0.11533866336788645,-0.00499423966049977,SERC,2019,43247,4.55072e-4,0.002918907,SERC,2019,Spring
S191Fg10,0.44038565774118604,-0.018671484820539895,0.9294350195623764,-0.11437286704116596,0.20176813503934982,0.02994395365547153,-0.11663783412750478,-0.02776631543114362,-0.13771996304404266,-0.40732200992465595,-0.23253349064770323,0.026380686007570136,0.0038030101546910255,0.04128941844736183,0.45380376870502404,0.03298503105516829,0.06348605250940262,-0.0743541747347259,-0.15933391769878932,-0.04883820387953129,SERC,2019,43420,0.001540787,0.13506485,SERC,2019,Spring
S191Fg20,-0.033586865808777774,2.2672031041013902e-4,0.06145560267551141,0.0966981784961747,-0.059214222290057114,0.004221483521004366,0.0605344393026578,0.1721096746055247,0.05210938153595395,0.22950819488772312,0.18880516099491032,-0.04629123623961334,0.1356001647839148,0.09760604532387311,0.027335276569963648,0.02901108061204034,-0.03096546625119272,-0.012999555956571368,0.05699963489241042,0.08913545371565723,SERC,2019,40756,0.001624648,0.12353815,SERC,2019,Spring
S191Fg23,-0.05860624656596601,-0.09448458851461157,-0.08013148567933172,-0.016309175862856257,-0.24567502865695603,-0.13747746267673133,-0.01764975004590648,0.05748533131498982,-0.01645557936543406,0.050388459364297394,-0.07580100660470122,0.00753910484144871,0.18490357786256373,0.06929626697934721,0.10293583280825115,-5.323383150313469e-4,0.04569738806809857,0.22098821104240987,0.02494751138135696,0.05658425180556446,SERC,2019,41628,0.004381804,0.16399262,SERC,2019,Spring
S191Fg25,-0.10926926712278111,-0.10197447693360921,-0.1897255531054801,-0.1465276793766239,-0.26181723433154624,-0.22699743778840686,-0.14896354268867706,-0.043743816981908074,0.07164460644017376,0.1774732479358401,0.049806160795595626,-0.18034520299747836,0.22142364055709854,-0.15755535274646051,-0.2695563790086455,-0.21066698964276953,-0.1294084544701103,-0.06886069185583603,0.8722122614474057,-0.06304818227069131,SERC,2019,41489,0.001440672,0.06814094,SERC,2019,Spring
