sample,MEblack,MEdarkgreen,MEdarkred,MEpurple,MEblue,MEbrown,MEdarkgrey,MEpink,MEyellow,MEdarkturquoise,MElightyellow,MEred,MEturquoise,MEsalmon,MEtan,MEgreenyellow,MElightgreen,MEroyalblue,MEcyan,MEgrey60,MEgrey
S191Fg02,-0.10205381959704565,0.24952730515635563,0.1156906701427856,0.15424750676047208,0.2818824695458058,0.26571694436082827,-0.07655431232289331,-0.024443278365303234,-2.441157587490015e-5,-0.22567294589675502,-0.28370942020932216,-0.10974851557066923,-0.17169790398180618,-0.02254375409238497,0.021085138755292,0.058584598560413405,0.051108541873553216,0.005129265779157064,0.10084601752426163,0.07631592629562085,-0.06437093432443315
S191Fg03,0.31124714170130063,0.13901638443752262,0.02044835876778439,0.0933531114910775,0.3371776531956364,0.16394030719833996,-0.08849530654930438,-0.05463575475012561,-0.027113884106079147,-0.1167475681858613,0.07222516379315325,-0.2507916350358086,-0.23914063024362286,-0.1392412255199934,-0.03338787610737809,-0.04407482648638905,-0.09473020964520318,-0.0025283713485383524,0.1330371598505865,0.0689765654238591,0.03376445164387143
S191Fg06,0.4698896538937868,0.05356382667319129,-7.777097204050565e-4,-0.25328941905838775,0.14119919286467325,-0.06848993350385821,-0.21385449091878422,-0.10912575140635838,-0.13831721893400678,-0.05676379042072044,0.27258140886094084,-0.4526158208430522,-0.23683573692430115,-0.09828543432506176,-0.05623393505897312,-0.27400938495178284,-0.10363808516125461,-0.01881305370425579,-0.1243892613342814,-0.07938720034551972,0.03510967671745341
S191Fg07,0.4689343764726742,0.12279731769003778,0.07624855363332922,0.01008709846526511,0.24084639124039875,0.02608283941032645,-0.08247597941127136,-0.06926858709577352,-0.05515356539593208,0.013532439394377215,0.23102010257965983,-0.30254516668258324,-0.1711898012463677,-0.05262273026780759,-0.034704113004405936,-0.1633564261007118,-0.1493298468569763,0.0516104717811221,-0.00999644341956259,-0.05713027347127058,-0.020119035838503607
S191Fg08,0.32559641145646934,0.13670888932772465,-0.026002995275133785,-0.016893633427605623,0.2296708886468872,-0.006147207156660312,-0.12313039903034707,-0.06303898804805903,-0.07304909490460487,-0.13032015166127014,0.08448503709581395,-0.2762176281351104,-0.2020131568869756,-0.006218992943199169,-0.05390346603211469,-0.23757105431217335,-0.03935374029668419,-0.06318501275613966,-0.06264206967653173,-0.09353336578885751,-0.060884266054848035
S191Fg10,0.3052004485842719,0.040351154508746025,-0.01073650466872318,0.12464673218555894,0.1967576696962725,0.14935914223799396,-0.06811199208535577,-0.06698636371730163,-0.021582840618192614,-0.03241098148749017,0.11475781496622572,-0.20761861068415058,-0.15045106067625177,-0.07359840545429579,-0.05710850006356849,-0.07128266367598403,-0.3155371230160489,-0.016535317679871757,0.06288701955838134,0.0021691819453493306,0.040475081017319725
S191Fg20,-0.18833385426328794,0.05637749096817118,0.03734930018219034,0.14278407820370712,0.0863942555391855,0.10600289072238016,-0.042839574844267696,-0.082967084685254,-0.05057663389273332,-0.12111775042609187,-0.28894054848173695,-0.12941357630080852,-0.15748673028243218,-0.1134186464139324,-0.06346269498647512,0.08976394333207362,0.2987206879895554,-0.023623572076808857,0.14922196076560382,0.02881562285196781,-0.14136505920797754
S191Fg23,-0.011670661605337472,0.16047320998899905,-0.023677674242739942,0.29752343101867235,0.29752976560884375,0.18458302971587565,0.3194315646889363,-0.009502015712106416,0.07072035810770379,-0.28679639373288934,-0.19482826702004552,-0.12538099864444308,-0.0345695448627696,-0.06151006374746867,0.027631967784012623,-0.05670706648572284,-0.08147407513076975,0.042361880070649595,0.23445052812742165,0.07440832230822009,0.04407366177940511
S191Fg25,-0.17347572714588633,0.09782871695825641,-0.07203558381901824,0.17255300272896798,0.10572702823918995,0.020594555768685765,0.053288807454892145,-0.058854624901150114,-0.037563798245544414,-0.3017416363218593,-0.30387368389644875,-0.14105896302956933,-0.10826010073011641,-0.09981178702140059,-0.03165420128858268,-0.10977501468785547,-0.08521459022150628,-0.03400732513398897,0.0954685370446385,-0.014866643880991034,-0.02646833601744361
S191Fg27,-0.19339027379268967,0.11118345962367512,0.1118585037309118,0.16704445217157168,0.059124153204034066,0.10092251366962249,-0.037212118030020766,-0.09823681187486959,-0.04831576840271783,-0.10501085943835535,-0.22439146645044936,-0.085903820851685,-0.13885306020597288,-0.039999730913257966,-0.03136728286772572,0.04218711041816494,0.2630826188490711,-0.01716906500570963,0.0659975784220188,-0.11560284746316775,0.11290326475549331
