sample,SITE,YEAR,TREE_ID,RGR,growth,RGR.2018,growth.2018,RGR.change,growth.change
H171Fg02,HF,2017,10481,0.009235177,0.177208877,,,,
H171Fg01,HF,2017,30156,0.01246118,0.1304071,,,,
H172Fg01,HF,2017,30156,0.01246118,0.1304071,,,,
H173Fg01,HF,2017,30156,0.01246118,0.1304071,,,,
H171Fg09,HF,2017,60850,,,,,,
H172Fg09,HF,2017,60850,,,,,,
H173Fg09,HF,2017,60850,0.019897924,0.116563789,,,,
H171Fg08,HF,2017,81091,,,,,,
H173Fg08,HF,2017,81091,0.01509066,0.460714489,,,,
H171Fg07,HF,2017,81099,,,,,,
H172Fg07,HF,2017,81099,,,,,,
H173Fg07,HF,2017,81099,0.021030121,0.144519244,,,,
H172Fg25,HF,2017,121716,,,,,,
H173Fg25,HF,2017,121716,0.000998443,0.048144357,,,,
H172Fg24,HF,2017,141939,,,,,,
H171Fg14,HF,2017,150496,,,,,,
H172Fg14,HF,2017,150496,,,,,,
H173Fg14,HF,2017,150496,0.009089832,0.185359054,,,,
H171Fg37,HF,2017,220932,,,,,,
H172Fg37,HF,2017,220932,,,,,,
H173Fg37,HF,2017,220932,0.000331343,0.009875665,,,,
H172Fg36,HF,2017,241504,,,,,,
H173Fg36,HF,2017,241504,0.004337798,0.078684675,,,,
H171Fg28,HF,2017,260845,,,,,,
H172Fg28,HF,2017,260845,,,,,,
H173Fg28,HF,2017,260845,0.005818461,0.042599623,,,,
H172Fg29,HF,2017,271124,,,,,,
H173Fg29,HF,2017,271124,0.000312437,0.007780705,,,,
H171Fg30,HF,2017,281050,,,,,,
H172Fg30,HF,2017,281050,,,,,,
H173Fg30,HF,2017,281050,0.002839708,0.114597912,,,,
H172Fg32,HF,2017,281525,,,,,,
H173Fg32,HF,2017,281525,0.000277036,0.010498748,,,,
H172Fg43,HF,2017,321651,,,,,,
H173Fg43,HF,2017,321651,0.010753296,0.157859156,,,,
H171Fg42,HF,2017,331632,,,,,,
H172Fg42,HF,2017,331632,,,,,,
H173Fg42,HF,2017,331632,0.000781569,0.048633394,,,,
H171Fg46,HF,2017,341026,,,,,,
H172Fg46,HF,2017,341026,,,,,,
H173Fg46,HF,2017,341026,0.014778968,0.116131785,,,,
H171Fg45,HF,2017,351005,,,,,,
H172Fg45,HF,2017,351005,,,,,,
H173Fg45,HF,2017,351005,0.008636464,0.102353942,,,,
H181Fg02,HF,2018,10481,,,,,,
H181Fg01,HF,2018,30156,,,,,,
H182Fg01,HF,2018,30156,,,,,,
H183Fg01,HF,2018,30156,0.01768953,0.188287123,,,,
H181Fg09,HF,2018,60850,,,,,,
H182Fg09,HF,2018,60850,,,,,,
H183Fg09,HF,2018,60850,0.034797181,0.209816186,,,,
H181Fg08,HF,2018,81091,,,,,,
H183Fg08,HF,2018,81091,0.020390159,0.634232306,,,,
H181Fg07,HF,2018,81099,,,,,,
H182Fg07,HF,2018,81099,,,,,,
H183Fg07,HF,2018,81099,0.021665351,0.152604713,,,,
H182Fg25,HF,2018,121716,,,,,,
H183Fg25,HF,2018,121716,0.001260663,0.06091392,,,,
H182Fg24,HF,2018,141939,,,,,,
H181Fg14,HF,2018,150496,,,,,,
H182Fg14,HF,2018,150496,,,,,,
H183Fg14,HF,2018,150496,0.01239828,0.256107849,,,,
H181Fg37,HF,2018,220932,,,,,,
H182Fg37,HF,2018,220932,,,,,,
H183Fg37,HF,2018,220932,0.001014794,0.030282839,,,,
H182Fg36,HF,2018,241504,,,,,,
H183Fg36,HF,2018,241504,0.00536074,0.097757205,,,,
H181Fg28,HF,2018,260845,,,,,,
H182Fg28,HF,2018,260845,,,,,,
H183Fg28,HF,2018,260845,0.014533972,0.107637779,,,,
H182Fg29,HF,2018,271124,,,,,,
H183Fg29,HF,2018,271124,0.001641891,0.040945645,,,,
H181Fg30,HF,2018,281050,,,,,,
H182Fg30,HF,2018,281050,,,,,,
H183Fg30,HF,2018,281050,0.00478918,0.194231083,,,,
H182Fg32,HF,2018,281525,,,,,,
H183Fg32,HF,2018,281525,0.000741348,0.028352093,,,,
H182Fg43,HF,2018,321651,,,,,,
H183Fg43,HF,2018,321651,0.014024107,0.208581523,,,,
H181Fg42,HF,2018,331632,,,,,,
H182Fg42,HF,2018,331632,,,,,,
H183Fg42,HF,2018,331632,0.001475846,0.092051239,,,,
H181Fg46,HF,2018,341026,,,,,,
H182Fg46,HF,2018,341026,,,,,,
H183Fg46,HF,2018,341026,0.011525128,0.091973919,,,,
H181Fg45,HF,2018,351005,,,,,,
H182Fg45,HF,2018,351005,,,,,,
H183Fg45,HF,2018,351005,0.007490891,0.089577616,,,,
