sample,MEtan,MEpurple,MEblue,MEskyblue,MEorange,MEsteelblue,MEdarkorange,MEdarkgreen,MEmagenta,MEsaddlebrown,MEdarkturquoise,MElightcyan,MEblack,MEgreen,MEdarkgrey,MEsalmon,MEwhite,MEdarkred,MEgrey60,MEcyan,MElightgreen,MElightyellow,MEturquoise,MEbrown,MEred,MEpink,MEgreenyellow,MEmidnightblue,MEroyalblue,MEgrey,RGR.change,growth.change
S183Fg07,-0.105658087,0.211739529,0.260263621,0.25229987,0.059390494,0.065771452,0.012749137,-0.014662438,0.045525036,0.007998867,0.044672644,0.145772861,-0.229602843,-0.187750651,-0.001030603,-0.063357336,0.043972329,0.343615513,0.06054076,0.112888149,-0.003999288,0.136603314,0.042183154,-0.043640074,0.157614919,-0.001342369,0.667024382,0.942381762,0.652578742,-0.07026909,-0.001233259,-0.01689413
S183Fg10,0.411502167,0.28356258,0.297238198,0.167254985,-0.150354064,-0.057320347,-0.130411309,-0.047519092,-0.074562595,-0.212776071,-0.087922097,-0.930400578,-0.266183345,-0.26549831,-0.116231211,-0.356667515,-0.1106191,-0.155982127,-0.13812571,-0.085087877,-0.123570912,-0.260101663,-0.05397806,-0.076927233,-0.154602298,-0.075953691,-0.091814877,-0.072933629,-0.026103634,0.043203619,-0.000938263,-0.08170795
S183Fg20,-0.018559148,0.26662832,0.194367508,0.136191911,0.00739629,-0.055747665,-0.067237707,-0.017959615,-0.021880128,-0.123532661,0.019091777,-0.002792119,-0.265392339,-0.249347449,3.96E-04,-0.115320499,-0.021137407,0.063759585,-0.020494616,0.013881212,-0.030822409,-0.169729002,0.019018597,0.00572958,-0.046812069,0.041833533,0.017303312,0.037799068,0.053112324,0.028383301,0.000244275,0.01866306
S183Fg23,0.052579407,0.247764238,0.142022443,0.161506306,0.048814122,-2.98E-04,-0.07934682,0.036741198,-0.05909784,0.002738226,0.046921296,0.041600433,-0.265827354,0.024409255,0.04318608,-0.041888233,-0.014879608,0.093939838,0.041095158,0.04976572,-0.007739604,0.034032493,0.034453614,0.028424023,0.031603213,0.018856277,0.049069478,0.003114745,-0.025350195,0.029596262,-0.000566225,-0.02037257
S183Fg25,0.199287751,0.171672037,0.122467413,0.102719008,-0.003399495,-0.002738514,-0.031986065,-0.0245859,-0.053925708,-0.033851903,-0.160802619,0.046759635,-0.205929033,-0.194761139,-0.015524614,-0.31203906,-0.136782811,-0.286908373,-0.03557743,-0.956087148,-0.710816215,-0.194895355,0.019117374,-0.030823026,-0.647741307,-0.027169233,-0.118517233,-0.131469551,-0.161477399,-0.042257213,-0.000300254,-0.01391998
S183Fg27,0.347812985,0.219665038,0.162420252,0.275624637,-0.001173341,0.015717797,-0.049753894,-0.014650454,-0.102235395,-0.0470603,0.026784671,-0.092485524,-0.360540979,-0.162029332,-0.308206777,-0.186480466,-0.046324703,-0.037454724,-0.285109162,-0.044299185,-0.140432977,0.270249597,-0.026104922,-0.091390203,0.001724312,-0.080815688,-0.137345132,-0.09025932,-0.096969567,-0.158867489,-0.000751632,-0.02271544
S183Fg28,0.077027225,0.230555772,0.124193464,0.17010263,0.016754122,0.007540601,0.00379413,-0.017838376,-0.110759876,-0.043954302,-0.924292275,0.013215327,-0.400994287,-0.190349968,0.001658863,-0.009687896,-0.003228039,0.140647114,-0.019974406,-0.002240599,-0.032694701,-0.038304179,0.027376944,-0.032631764,0.012699063,-0.005605678,0.021961229,-0.027821215,-0.076537453,0.091273836,0.000879741,0.01761649
S183Fg29,0.190135221,0.12458175,0.192498271,0.288924992,-0.053322532,-0.046052881,-0.057635407,-0.010744775,-0.066972947,-0.040337852,0.005101587,-0.027299873,-0.088465593,-0.118761903,-0.051505043,-0.33259816,0.015579927,-0.04800458,-0.212508209,-3.46E-04,-0.081630675,-0.179535363,-0.00693152,-0.021902767,-0.046728048,-0.010438154,-0.061813792,-0.006383551,0.0270764,0.439106565,0.000579608,0.03137012
S183Fg36,-0.028377927,-0.07410561,0.051994609,-0.564345692,-0.021195265,-0.009710375,-0.051430564,-0.034058502,-0.126536864,-0.049492671,0.115956685,-0.00791557,0.006951868,-0.187548108,-0.089031803,-0.22363702,-0.022093819,-0.114031741,0.02868439,0.055405262,0.199028592,-0.285258744,-0.964910311,-0.676420117,-0.522336733,0.066369396,-0.606183471,-0.00583331,0.093471023,0.017350573,-0.006264631,-0.08832613
S183Fg39,-0.049965512,0.052729567,0.13763565,0.099398356,0.009633147,0.07027274,-0.09427243,0.029539445,-0.053103657,-0.054474444,0.108870097,0.005559972,-0.052689073,-0.175848588,-0.016909956,0.01090611,0.024629221,0.216200803,0.19281732,0.012015989,0.001843936,0.008435693,-0.006060148,0.022571124,-0.028438359,0.013846063,0.036815721,0.020514619,0.042847225,-0.408149982,-0.003014777,-0.0746269
S183Fg42,0.31402133,-0.14717721,0.184455194,0.11209232,0.011361449,0.017191277,-0.006159388,-0.109768382,-0.08556861,0.073340086,0.073167706,0.058975963,0.168414244,-0.190592556,0.010043799,0.043833515,0.100323255,0.064219359,0.02481665,0.037497887,0.026929064,0.308799357,0.107108785,0.021918924,0.083212942,-0.049650035,0.027395342,8.38E-04,0.075547386,0.21765895,4.2794E-05,0.00300268
S183Fg44,0.18675084,-0.227559873,0.057205175,0.07920058,-0.010157639,-0.010324816,-0.022771532,-0.013264086,-0.123673186,-0.082850981,0.057666242,-0.021354926,0.028076429,-0.140702002,-0.013759701,-0.031003675,0.016431511,0.117329799,0.018786327,0.037429793,-0.136036846,-0.032392617,0.023354359,-0.108334607,0.060646729,-0.074072721,-0.137251325,-0.071114693,-0.042744297,-0.190260294,-0.000047002,-0.00244251
S183Fg45,-0.283682596,-0.302872672,0.074385518,-0.064219511,-0.086889009,-0.016094957,-0.039816479,-0.017743778,-0.165633586,-0.053220793,3.68E-04,-0.012566477,0.02120704,-0.241544501,-0.021915013,0.188214653,0.682353299,0.565130117,0.544778773,-0.017212192,0.025964452,-0.320771099,-0.00330983,-0.024952368,-0.067097861,-0.025633721,-0.048263219,-0.011832898,-0.030574798,0.026997467,-0.004505197,-0.11779295
