sample,MEsalmon,MElightgreen,MEpaleturquoise,MEskyblue3,MEdarkorange,MElightyellow,MEbrown,MEyellowgreen,MEorangered4,MEdarkgreen,MEskyblue,MEgreen,MEtan,MEroyalblue,MEblue,MEpurple,MEviolet,MEdarkgrey,MEpink,MEmidnightblue,MEorange,MEred,MEblack,MEcyan,MEyellow,MEdarkred,MEmagenta,MEgreenyellow,MEsienna3,MEdarkolivegreen,MEdarkturquoise,MEplum1,MEdarkmagenta,MEgrey60,MEsaddlebrown,MEsteelblue,MEgrey
S201Fg02,0.16225428379659584,0.30290045083011774,0.21370039414029626,-0.11142534293019056,-0.04632764246856102,-0.20165833368015038,-0.02701593730016041,0.08928431815100717,0.014923802438196698,0.019441803761713103,0.0412047263413782,0.10930295893878031,0.1292134528346808,0.08179026357971654,0.9014781811178635,0.17335521412522142,0.08407819908270807,0.1562961897867868,0.13969287224687574,0.13377758857276156,0.3145392886705596,0.19228758044988253,0.05319683104679784,-0.05660575819578445,-0.09056907867052993,-0.015096451968754691,0.2700625452897006,0.18506720409807254,-0.012809294120391586,-0.05962434323318539,0.2003690320617606,0.013562211751112798,-0.3851656488245155,-0.2266037504251869,-0.08768568386355598,-0.9416063716951584,-0.11771457907810605
S201Fg05,-0.9502268536480927,-0.47229011251779573,-0.5647071758614207,-0.07048513660193004,-0.16322243740361778,-0.23098016235475355,0.193339311913764,-0.092063532283624,-0.08568135884205622,0.04198084191115002,-0.18620557695451445,-0.1703212344487457,0.106785538306346,-0.09535787450696358,-0.09754860114512627,0.08386563211472746,0.09427317259944656,0.0778734369720567,0.09800103696256098,0.06554512070323565,0.16202778690932534,0.1879583791797718,0.9223475991460495,0.5624338745991861,0.4415174874785216,0.005700247003524165,0.05616266330302453,0.1257609566504559,-0.03213996459745816,-0.13996637996621078,0.1407096723589175,0.078124897577608,0.29865193681538676,0.3847618478768424,-0.05977435743400785,0.09143298096276109,0.12062775965105897
S201Fg06,0.03867915641682602,-0.47882410608563286,-0.22377142466996272,-0.04184643135831038,-0.22565581833896595,-0.024319108463235845,-0.208615905886984,-0.20903580311594627,-0.04496451959578357,-0.2116089280466576,-0.1599536056203048,-0.15220218032616795,-0.9312535637053277,-0.11816857741888488,-0.2271689198702949,0.06991349432179311,0.0576275707537099,0.06028562025602675,0.061406932170586,0.028702178848196452,0.26335961783810646,-0.01707439572223641,-0.07978015191869758,0.17322618614087099,-0.14595884390083882,-0.1299676107386005,-0.0598084366305587,-0.03911236699033126,-0.1632247674206175,-0.0970961243175838,0.07835770933027511,0.9313238019295406,0.24932196607588905,0.44671335183483313,-0.09635542058200045,0.01961890702567109,0.052165792750709025
S201Fg07,0.08397167609500265,-0.27441639391298434,-0.04924963540984009,0.08289127100221129,-0.33860137032083665,-0.03324188451409812,-0.6619301109517447,-0.4572198135073962,0.22220281972047684,-0.09900865179518288,-0.05215540749679073,-0.042879154611612826,0.002819941305753309,-0.10531660068490664,-0.07026641619648427,-0.04488462238389311,0.01320311689900301,0.056533471726688767,0.0878841391022698,0.09229614593923118,0.08388547176430039,0.2133595456001026,-0.010820904378326104,-0.03665186627629279,-0.06845506022680069,-0.011780555261196968,0.030085454562767195,0.16191723146183418,-0.11474775358190743,0.9485090472092708,0.11110217664306882,-0.09336275259752794,0.2643226567622351,0.3845737945952919,-0.08680984091471487,0.05999317587933296,0.12060405448311727
S201Fg08,0.10319217062869589,-0.12688971742124308,0.21739255845710337,-0.056209097435344545,-0.505399243508306,-0.3391102442401153,-0.32506200518237693,-0.09437868786358072,-0.9197727261684502,-0.21072781220000486,-0.07901349215920732,-0.03426685856330715,0.1382831007857205,0.9296607078785558,-0.046503296392468925,0.10397652001310528,0.10623220593240498,0.05947051460452338,0.081782165231416,0.09801131182312414,0.5421221036167084,0.21778087248297856,-0.04611997680362024,0.17127264337036613,-0.014744923543242631,-0.07668848317849851,0.07019680962543325,0.2029253706093762,-0.11370785068052455,-0.04756520618802995,0.12343650882827978,-0.08204129820346272,-0.29806327045178305,0.15013730076774187,-0.036041248253669694,0.0926065325232386,-0.05698037020549958
S201Fg10,0.036471333122054625,-0.22689479005741559,-0.30010850496111446,-0.2505998571814735,-0.1572546463434399,-0.059549890178749613,-0.012967194942448726,-0.3987714502572035,0.09116511271408034,-0.11902994428970864,-0.15340601547852722,-0.07892075088378221,0.017012873396944336,-0.2053827868775955,-0.20944453806832353,-0.940350532788176,0.051374868892289996,0.20679731215603042,0.047415408705632045,0.06130148022284492,-0.059019239335461146,0.011191020816460744,-0.08554231594034671,0.08285515617185953,0.07129404953081986,-0.04278082378480076,0.019933135286450146,0.06424896997846818,-0.03396401297709526,-0.11945609480864139,-0.02273721603399121,-0.08984553044227159,0.24773613479955486,0.2758059143064344,0.9427146131005674,0.08579332942706049,-0.3267057218461694
S201Fg20,0.014901464198570595,0.30114110575454006,0.34350288664282236,-0.1480251601680558,0.462878252691957,0.22507773880477305,0.3517190866355687,0.440750833146505,0.06525742387992609,-0.2136590173638476,-0.23592845298661316,-0.16322027267631958,0.0337274669675848,-0.0771330917822325,-0.16914191857092795,0.10308399533361493,0.011665331378754857,0.05843100235118504,-0.9532073337286869,-0.00896153170820702,-0.2799325555510955,-0.4512924761348417,-0.18640286588751764,-0.1771735938203087,-0.26995219852865693,-0.1875638876955218,-0.009220478128471706,-0.03595039428315942,-0.04251687317414797,-0.15387600670226317,-0.10894157088728817,-0.13141731955081645,-0.1612743213848129,-0.3972091158631457,-0.25061192885848865,-0.016290768471346126,0.6375391178397126
S201Fg23,0.13536743946024576,0.16368861882820862,-0.1647985073022748,0.0018173352136283513,-0.08840359500472042,-0.26144342820449634,0.37414013233116916,0.2434597655683908,0.1369758436962704,0.025356456370305962,0.08189257252282554,0.9223560030588079,0.2508822039769028,-0.010836121116585665,0.06946414828559133,0.1523570449573474,0.1466651822778725,-0.0020308188225821805,0.13628505239344219,0.11021268327771724,0.1375396760215453,0.09445822755608325,-0.06711332151816744,0.4031303592083913,0.6132681069368116,0.012475913354777402,0.13984643056113838,0.21499054668205975,-0.05106847570210396,-0.043495877881666166,-0.912185056222512,-0.06124855189563481,-0.34182557190955537,-0.12081968374351573,-0.03479519603127924,0.16691580554587526,-0.09943329336250208
S201Fg25,0.06754149001202482,0.2499110764789741,-0.041647516265397776,-0.07206311547987329,0.1405027442818352,-0.12433237118301178,-0.15977836536885331,-0.2127500633402076,0.10314935233208115,0.8723240057439352,-0.04429720490973376,-0.14356346562638464,-0.011604309210010247,-0.09030721768518306,0.05642840528747938,0.011563877353902526,0.08762855016867772,0.05042088533901815,0.04559457032272213,0.04036116250780797,-0.18308122208050737,0.34803352590715836,0.014330021341352486,-0.46658682873546953,0.1221292300067481,-0.29308195615745586,-0.9146104421291262,-0.29482940260139184,-0.08524422294607882,-0.11662841513709066,0.19147604824229744,-0.07910298701842912,-0.15557167873993785,-0.21470431155154807,-0.0755655217207908,0.03983082819895159,0.3275082240010806
S201Fg27,0.06506350619774341,0.2234593735318479,0.2447384891048689,0.9010984366801028,0.4178810232042918,0.5299842707918979,0.2005249191991633,0.41688420252285563,0.04947939331377654,-0.19769191807923941,-0.22583364205118395,-0.13798481301344653,0.1106956207071984,-0.10928541734981155,-0.19390928070778898,0.045711249605689556,0.0908526718609073,-0.006443365707359491,0.017775711870769432,-0.950408628258515,-0.4518365119654617,-0.6322212651256645,-0.18663785095946725,-0.16080875064208017,-0.299129995635864,-0.12737135167811714,-0.015233169698164649,-0.033515570975602496,-0.12159148442058558,-0.08027802824578036,-0.0241685841903485,-0.03221232489132725,0.16262953951055284,-0.25984694508116896,-0.04755967826872546,0.08772210000964287,0.14165704213476707
S201Fg29,0.1259222521344705,0.1825017299427534,-0.1810969235013621,-0.2534919450593911,0.08698446762147624,-0.2236225124794598,0.19601472632871988,0.0262541656867192,0.1642772347681536,0.17559780780347894,0.8421272864998356,0.024093356505109804,0.03162188415364991,0.026695503350820066,-0.029149731667101532,0.06609969603190632,0.11426999258618288,0.1746732648367985,0.07796644551590973,0.12425533600582057,0.03160608598808614,0.15985934533835675,-0.0026675838186841164,0.07431702661453875,0.19951545174931087,-0.05028013156210849,0.1497750163339892,-0.8156626901221731,-0.08531244792429447,0.009434251742285746,6.92165354812079e-4,-0.09204768746935611,-0.3873945716719765,-0.19795402907114198,-0.06812638795626454,0.17744353741283497,-0.36093590945758497
S201Fg42,0.06817977398335467,-0.05950183058932406,0.055547545602743206,-0.038379602288850095,0.12259274097195058,0.22291701010334009,0.08083794687275148,-0.047894171639451956,0.14054012083488143,-0.08678002679649702,-0.09631415737968659,-0.07760863295575533,0.04747590154595123,-0.12350598490950128,0.0026110871257341885,0.03694009267794048,-0.9523926603574945,0.044639367357573345,0.04733933511438774,0.07474686316298026,-0.21893920805867267,-0.05549803742405467,-0.12069332347840223,-0.2222116014934202,-0.18944605230686157,0.0026482120438571033,0.15078682586883893,0.2754742097167919,0.9499477713091392,-0.06616356798860516,0.11025416388381719,-0.1633424026009916,0.1889206859990342,-0.06719041640458127,-0.06270767631207809,0.00961343369772911,-0.026385732392081123
S201Fg44,0.04868230760250834,0.21521459521795422,0.45049781402353833,0.05671864560747697,0.29402552461693693,0.5202789155980588,-0.0012066036485687713,0.29548023693193254,0.062447500908446585,0.003805382980554063,0.26788296967252295,-0.05478495539717538,0.07433988893460554,-0.1028528024774295,0.013150880801847493,0.13836833863682013,0.09452179792553704,-0.9369468808567464,0.11206366409211395,0.1301602889030028,-0.34227129381743304,-0.26884232292399707,-0.20409615683096974,-0.34719684694185776,-0.3694681728894186,0.9137868796228955,0.11202364575497903,-0.011314064224400037,-0.0936206237639343,-0.03379325448249947,0.1116349506309118,-0.19839005658844464,0.3177121430199286,-0.15766395724085552,-0.03668167290499178,0.1269265094834066,-0.4119463845185025
