sample,MEtan,MEcyan,MElightcyan,MEpurple,MEblack,MEbrown,MEgreenyellow,MEdarkred,MEyellow,MElightgreen,MEpink,MEgreen,MEred,MElightyellow,MEblue,MEturquoise,MEgrey,RGR.change,growth.change
S182Fg03,-0.023512398,-0.120219183,-0.036496904,0.047989869,0.057947615,0.032256032,0.154481281,0.022818613,0.003947006,-0.009834841,0.083545435,0.032754473,0.00741987,-0.038863102,0.037220474,0.024572076,-0.021333581,-0.026756073,-0.258608106
S182Fg05,-0.151331634,-0.109912931,0.012759054,0.059843188,0.064580493,0.040276871,0.10277936,0.040866604,0.015278099,-0.012446909,0.041099635,0.051464416,0.003455429,-0.00473037,0.053391652,0.043085963,0.060300901,-0.000974156,-0.02295016
S182Fg06,-0.282950774,-0.075985004,0.14614769,0.097472349,0.094929648,0.062578298,0.28676105,0.088566323,0.039351145,0.051626825,0.096980375,0.082105432,0.045636819,0.051869755,0.130901378,0.072552933,0.146598828,0.020853362,0.166668998
S182Fg07,-0.055904674,-0.165213202,-0.136532062,0.116464347,0.179496242,0.057386459,-0.183919906,0.118190116,0.010465573,-0.031551674,0.042149403,0.156584163,0.046190927,-0.052176613,0.095295696,0.081404244,0.246006771,-0.001233259,-0.01689413
S182Fg10,-0.099811093,-0.153352514,-0.00545222,0.071562964,0.08231853,0.050846737,0.103327515,0.072767981,0.031094323,0.035488369,0.069442332,0.074276535,0.045520938,0.016148388,0.096891029,0.063011914,0.181204025,-0.000938263,-0.08170795
S182Fg18,-0.145372629,-0.08732085,-0.043150539,0.113500323,0.06140587,0.056632966,0.008684594,0.057604079,0.015404496,0.015409897,0.039008049,0.072606709,0.052594514,0.018433026,0.075441357,0.060118093,-0.108868856,-0.000829884,-0.004321399
S182Fg20,0.058462425,-0.1080272,-0.118248899,0.034027353,0.014732522,0.010176476,-0.097096417,0.00440445,-0.021611497,-0.100860673,0.011498428,8.21E-04,-7.19E-05,-0.039470104,2.17E-05,0.013826285,-0.181410833,0.000244275,0.01866306
S182Fg23,0.006207034,0.088914523,0.094130203,0.044221719,0.031029805,0.015008804,0.055193035,0.044485701,-0.00290053,-0.105608288,-0.022339017,0.032239449,0.00706023,-0.040182366,-0.009048967,0.013692537,-0.109218432,-0.000566225,-0.02037257
S182Fg25,-0.05674246,-0.004401037,0.016272755,0.096450238,0.071043282,0.046432861,-0.042380771,0.059029117,-0.006844442,-0.02361173,0.044316037,0.072827785,0.060118453,-0.048328602,0.034406461,0.04979329,-0.070682601,-0.000300254,-0.01391998
S182Fg28,-0.199336584,0.115615965,0.304888937,0.033849969,0.037292372,0.005322495,0.264624277,0.018984726,0.015216387,-0.028722307,0.010377007,0.026451919,0.014750393,-0.012788326,0.023146855,0.025678148,0.043139082,0.000879741,0.01761649
S182Fg29,-0.15150006,-0.119489427,-0.034852503,0.102042374,0.091782795,0.072766665,0.03573772,0.098956822,0.028759412,0.021364843,0.104827992,0.116839817,0.068827784,0.022921911,0.114796272,0.072851809,0.044428014,0.000579608,0.03137012
S182Fg36,0.088280335,0.097483281,0.015226935,0.067216131,0.041292852,0.028868568,-0.19926518,-1.49E-04,-0.024061595,-0.021442297,0.051738219,0.060716308,0.015299809,-0.041732732,-0.002189156,0.0281719,-0.216128345,-0.006264631,-0.08832613
S182Fg39,-0.072987093,-0.025565622,0.011723451,0.055924701,0.038838732,0.046614332,0.061634827,0.011217968,0.019410263,0.059961276,0.015929234,0.04076698,0.037533982,0.02473526,0.03300639,0.023257591,0.130297252,-0.003014777,-0.0746269
S182Fg42,-0.086952999,0.005546134,0.086391049,0.068643845,0.048063813,0.042155703,0.030737085,0.065045159,0.011272555,-0.024578606,0.009123995,0.063633039,0.055075983,-0.025549467,0.036097038,0.031083676,-0.114202399,4.28E-05,0.00300268
S182Fg44,-0.052999996,-0.128041982,-0.073241748,0.022133673,0.030241091,0.0133962,0.079893129,0.03028504,0.00769508,-0.007641912,0.046387198,0.02860426,0.003744057,0.001045119,0.018006896,0.006716811,-0.013921498,-0.000047002,-0.00244251
S182Fg45,-0.428085954,0.005086856,0.31168726,0.125671966,0.13671007,0.087316158,0.464979153,0.131072344,0.087521038,0.010886678,0.070403443,0.137524613,0.087690081,0.071496263,0.198813876,0.100680858,0.02445971,-0.004505197,-0.11779295
