"","Gene_ID","H171Fg01","H171Fg02","H171Fg07","H171Fg08","H171Fg09","H171Fg14","H171Fg28","H171Fg30","H171Fg37","H171Fg42","H171Fg45","H171Fg46","H172Fg01","H172Fg07","H172Fg09","H172Fg14","H172Fg24","H172Fg25","H172Fg28","H172Fg29","H172Fg30","H172Fg32","H172Fg36","H172Fg37","H172Fg42","H172Fg43","H172Fg45","H172Fg46","H173Fg01","H173Fg07","H173Fg08","H173Fg09","H173Fg14","H173Fg25","H173Fg28","H173Fg29","H173Fg30","H173Fg32","H173Fg36","H173Fg37","H173Fg42","H173Fg43","H173Fg45","H173Fg46","H181Fg01","H181Fg02","H181Fg07","H181Fg08","H181Fg09","H181Fg14","H181Fg28","H181Fg30","H181Fg37","H181Fg42","H181Fg45","H181Fg46","H182Fg01","H182Fg07","H182Fg09","H182Fg14","H182Fg24","H182Fg25","H182Fg28","H182Fg29","H182Fg30","H182Fg32","H182Fg36","H182Fg37","H182Fg42","H182Fg43","H182Fg45","H182Fg46","H183Fg01","H183Fg07","H183Fg08","H183Fg09","H183Fg14","H183Fg25","H183Fg28","H183Fg29","H183Fg30","H183Fg32","H183Fg36","H183Fg37","H183Fg42","H183Fg43","H183Fg45","H183Fg46"
"14","FAGR_UCONN_00030",1.59456030134393,2.25778510852138,1.41725090110743,3.18413888727009,1.72895001601459,2.27427908315089,3.18808103639152,1.25277620252478,3.23133716774434,2.1737076466404,0.813014120448233,3.06021567252289,1.90506486792081,0.864610408200459,0.155371655132045,1.97571704122311,2.63591075308019,-0.223808046889025,2.23893945887375,2.37188665913007,1.29022353118632,3.076906523909,1.72820612126032,-0.0092645531312446,3.69726245719445,1.78896686428016,1.85621966156102,3.51479667420311,2.64299793815323,0.742270022680905,2.42386566219915,0.777527727473868,2.40850649112087,-0.0982639984609751,0.859638591180623,2.61160810424407,0.678058981044732,1.79467164735661,0.938253601348423,1.60985066029155,0.232584775864739,1.58744343790157,0.955314768122566,2.00716144037598,2.94749956597884,3.46113544525314,3.6733501300285,3.08517598298583,3.10899291048754,4.28075821752459,4.61349736189657,3.4710335317581,3.65258499162845,2.62403604157931,3.47440313136837,3.94059120704088,4.5043997780784,2.65016847943858,0.886860790419817,-2.48297294441054,2.85158069348975,2.17573968386495,1.36989656131285,3.67201445015517,2.58815315041013,2.74840804736594,-2.48297294441054,2.21631579146317,-2.48297294441054,3.67070403700349,3.09009743142885,2.28972870024644,3.29736996239408,1.06157465082386,2.82212235557703,0.0295035586101568,2.16083139413419,3.1250507330894,1.96660748225347,3.40028281948319,2.06805076371183,3.12184729366698,0.381619544569359,3.10398664438358,3.63075665926901,3.25450599405484,1.78695046493106,2.19658371611615
"38","FAGR_UCONN_00078",1.11615169455061,4.38511944142872,1.50430855869855,3.18413888727009,0.606793600936744,-0.353323464117171,-0.207242788049327,-1.19039240978005,0.212792306894199,1.22980003101201,-2.48297294441054,3.8542496454997,-2.48297294441054,-0.000199603151216129,0.0864757889035763,1.42319250307034,-2.48297294441054,0.431864936256143,-0.261245091737194,0.710544316157685,-0.589409553192241,0.106495473954312,0.741048381109597,-0.770443705328957,-2.48297294441054,1.78896686428016,0.801808662899865,0.31591841506073,-1.69914202950879,0.377760395492478,-2.48297294441054,-1.30916019660998,0.130947596875752,-1.52817519825244,-0.944393466810232,-2.48297294441054,-0.842081487159333,-2.48297294441054,-1.38357680888814,1.60985066029155,-0.723183127614848,-0.225004662734597,0.123382861576511,-1.57496125077434,-0.35532390777447,-0.598605429757032,-2.48297294441054,0.449623943014987,0.0338887939505657,2.72210761726831,-0.669130791352999,0.707996723261909,-2.48297294441054,-1.18728112475598,-1.53712917501537,0.139755617344824,-0.724809193491162,-1.92370234755821,-0.284039883257014,-2.48297294441054,-2.48297294441054,-2.48297294441054,-2.48297294441054,1.65666225350203,-1.45371563307093,-0.14299118928413,-2.48297294441054,-2.48297294441054,-2.48297294441054,-2.48297294441054,-2.48297294441054,-2.48297294441054,-2.48297294441054,-0.897844861715033,-0.811027373818971,-0.504322614751748,0.0530352566042651,0.615333281617795,-1.34787940091373,-0.841594780040607,-2.48297294441054,-2.48297294441054,-2.48297294441054,0.211427641482846,-1.49601182393286,-2.48297294441054,-1.91604499263082,-0.627052784363148
"40","FAGR_UCONN_00083",1.59456030134393,3.92037641847719,3.41207626577377,3.82585391165612,3.1194967058053,2.94195728025007,2.50523055793149,2.35211780670018,3.70238921386453,2.73947734691472,3.20982623708751,3.06021567252289,2.48010912675845,2.52646495295493,2.545921180966,2.89130825537329,2.92365754762155,2.74562593702629,2.43904122092095,2.48352370437462,1.83957729319786,2.45299290203781,2.88610053663063,3.05764261627243,3.96395095254383,1.90826112126366,2.59956927286578,3.64342568216747,2.96262459949664,2.62166443725685,2.96102309520907,4.01177980589908,3.25148818809985,3.34559057451528,2.09360955375745,3.20702783810405,2.28348896867885,2.70593803471643,3.56428282802393,1.7918881291642,2.77962218197069,2.39894001517603,2.57163056035139,2.89712343093976,3.05605072292253,3.55277957119865,2.88108643172708,2.30044903403803,3.36703358414817,3.38543816981908,1.73506536994792,3.37315921104281,3.96719456079088,2.99756385312559,4.05160545038911,3.71134933219635,2.56866393822145,2.94810303406398,4.06635788498429,4.7350506531582,3.56667513638319,2.29650298093406,3.8391573570897,1.78268856346113,3.19829947727613,3.01802949124444,2.75744389078719,3.77808285874919,4.19050390853046,4.05295117556654,3.3222047728917,2.42242628045918,3.2430778610921,2.994803272611,3.43780850560098,4.57191593486872,4.25303717840904,3.2598626999278,3.25299933821992,3.40028281948319,3.79990878176936,4.18630856345831,4.7487589926301,3.02521784690382,4.2053276441563,4.45783422799146,3.64291186121687,3.13775390501989
"79","FAGR_UCONN_00207",5.05033651879363,5.56580161525193,5.84112070693815,5.11048516952919,5.8572514819301,5.46242133291457,5.25372706844321,4.99747916069726,5.85559203202613,5.15821474262703,5.17306493907451,5.42726715455608,4.82284966876631,5.55382404684225,5.50837411071169,5.28112526113335,4.95646868488976,5.22165209126731,5.25717050853033,5.21886591781841,4.94014341089792,5.0808245611371,5.29399597585433,5.39702026672953,5.8327062779908,5.35719672542838,5.50132624893315,4.73923511987556,4.81722545761299,5.46272083172689,4.68756640840261,4.7958244007004,4.78988538933285,5.84644991749285,5.10687568321348,4.17647224012308,5.26506595051973,4.29915512302732,5.30466915412572,4.67966832417396,5.53681893006854,5.01359722931303,5.53313805862227,5.10332128930024,4.23773617971279,4.74969763078612,5.31156918510027,4.78007267516354,5.14497355142418,4.95384276743707,4.61349736189657,3.73018399138838,4.44421164461586,5.09896607743077,3.86733723848475,5.30946910093629,4.98722067359931,5.27178039270789,5.12653498592405,5.19473442607485,4.99621999512684,4.75508131362809,5.1441048153107,4.76726093425982,4.78077591118216,4.87748866477748,6.10953160938447,4.8179572167961,3.96345686251272,4.70127725371818,4.86448336274043,4.48023125908212,4.70318768023968,5.23228288596462,4.69996809890661,5.09892418472811,4.7438672179882,5.03223144477329,4.95106664813527,4.77270716718471,4.48918084576936,4.70049007094572,5.2198849798459,5.09788936803491,4.93806509111476,4.60292265791333,5.20058647621099,4.90156854277734
"84","FAGR_UCONN_00218",3.37948407001717,4.02607367205863,1.8748029809403,-2.48297294441054,2.78635643544861,4.08028461620875,5.74463655776702,5.09920719961179,5.99069053343462,2.42717756828831,5.90083005351058,3.37594262765001,1.21331903307913,2.46343568729866,3.42943522017814,3.02406181792191,1.40516172005656,3.27244883765379,5.03207334110679,3.7102354085879,3.30650492659157,2.82607662224841,2.90538877732273,4.88307920837759,3.20302786822086,4.87637776982731,4.64871162902717,3.73609891580362,1.97180838740047,2.60404775329702,2.5139662081798,2.7590487858318,3.22346088476537,3.20167886837737,2.73412515501743,3.57781896919432,1.78552083476366,1.97798872682784,1.3387856104377,2.99601011469677,1.11836027002398,2.52402295239861,3.33227889648907,1.5853742848167,6.80737739319461,5.08257643084136,5.4952137785225,5.74376461667009,7.78775544517864,4.45976765793879,9.23969965347525,5.79326936035844,8.11276621455429,4.93680851600951,8.54043758934732,5.56518311669185,1.72436831975684,4.07959000845922,4.86550725218859,4.10651498973333,2.72256410747035,2.90241821975323,5.99158443754762,3.51137673182321,3.75740028843096,3.49804224422074,4.22204585377698,3.3502741671427,4.3494800484587,3.85050111494249,4.02991180743961,4.13821731774317,1.79784755431694,2.96573023495234,3.20524739391771,4.38839042624777,4.62340551363278,4.16275576869148,5.4599892105775,3.93074925167654,2.102172838986,3.37993233981533,2.15720749310031,3.62269074029811,2.07689395637395,3.14290416461144,3.71089482783966,2.10525983852052
"109","FAGR_UCONN_00280",2.55118961315249,6.71304763176775,3.4780880821181,5.48317226317319,4.06650420663248,2.85861202606574,1.46273769871025,3.26957572800038,2.71132404871815,4.50526576818708,4.37106468496113,6.64622847667239,0.682958149242842,2.80592412604125,1.33110788748791,2.1309916621112,1.2473653715188,2.06414197184933,1.62375873532142,2.37188665913007,1.59089202182705,2.52226385742662,2.3516773491981,1.59951181493503,3.01438056056377,3.52340173474738,2.53872459660683,1.28046271496457,2.01852336066033,1.40264613850053,-0.519538811806929,0.0567914835149764,2.40850649112087,-0.642873659825331,0.419541163489745,-2.48297294441054,1.8813829809663,0.162229777308669,-0.535634170767061,3.54500257167404,1.02055990972164,1.62516626933684,2.3318195006743,-0.71309188322717,1.19455413346843,0.19144718028221,2.4776783759199,1.90276893263655,2.31225854421679,-2.48297294441054,4.63977788731057,0.707996723261909,1.42552936262996,2.28198058638491,0.0105657408637586,1.91368774528258,-0.289513547751981,-0.455144334287184,0.484869545326495,-0.383252827703419,0.620384800676387,-0.802494216381633,2.13381142121723,1.13324248607424,0.506133723785488,0.887862772377278,0.25297194318021,0.955362056135537,2.3117018191222,2.17796749803737,0.943927309380232,1.34156367400527,-2.06255517087589,1.33601750743387,-0.811027373818971,-0.9169722663716,-0.717476323770609,0.546659318271093,-1.23977181843915,0.172171048815504,-1.05904526602942,-0.58622489601979,-1.55878604896929,1.37497733498945,0.0801921581203153,-0.74017859193456,-0.355484695134995,1.43799274061589
"132","FAGR_UCONN_00340",-2.48297294441054,-2.48297294441054,-2.48297294441054,-2.48297294441054,-2.48297294441054,1.16954099884649,0.466421242845419,-0.816449257019148,1.59504103019054,0.564385040136584,1.34816412937504,-2.48297294441054,-0.769890636343449,1.26034985298038,-1.82242270390611,-2.48297294441054,-0.209436098754857,-1.03860874335907,-0.627974945330233,-2.48297294441054,-0.274864398215494,-1.15779917089416,0.903340592645454,1.78147270983217,-2.48297294441054,-2.48297294441054,-0.313585790886507,2.63671427418142,-1.19408692121179,-0.673337135347435,-2.48297294441054,-2.20874678648848,-1.46552846429932,-1.71427545231295,-0.335943170896261,-1.36940884377751,-1.86977495767228,-2.48297294441054,2.25631474359211,-0.000251049356730829,-1.10946844157751,-2.19309168997902,-0.24040118377782,1.12285730325412,4.99217279901299,0.898543867006257,6.05895417634447,6.53527479209553,-2.48297294441054,-2.48297294441054,-2.48297294441054,0.707996723261909,-1.65214223192699,2.11867308870599,4.51595792582212,1.65648759554829,-1.35116187989357,-0.373723299916656,-2.48297294441054,-2.48297294441054,-1.45754140475907,-2.48297294441054,-2.48297294441054,-2.48297294441054,-0.322726834781073,-1.62491834827146,-2.48297294441054,-0.0126483329400643,-2.48297294441054,-2.48297294441054,-0.819528494162682,-0.621594851656356,-0.528524271565622,-0.367304672553039,-0.940400312254147,-2.00564211505452,-2.48297294441054,-1.10865798516385,0.00616099544132759,-1.63909851414554,-2.48297294441054,-1.24304677142962,-2.48297294441054,1.09544602007763,-2.48297294441054,-1.55498086838528,-2.48297294441054,-0.627052784363148
"151","FAGR_UCONN_00392",8.40326662649954,7.78892096419263,9.00983091825271,8.25584343104584,9.21268815013463,8.48881444374419,9.12528693229823,8.20779826374423,9.01117448578925,8.80102369590905,7.91655600492305,7.97248228327333,7.81680651564367,8.65417996468291,8.35065465973604,8.18955964869286,7.45436694100121,8.3345807006126,8.29556881999499,8.37720775698843,7.85014428838551,8.59690596929325,8.01087010410902,8.22094736314016,8.85944881614777,8.36346952651629,8.18411276361124,7.9253593098293,7.88835887700485,8.50819224293569,8.17199710484649,8.49172058811587,8.29988052858124,8.68067036851223,8.5487581502059,9.29708527765243,8.09717536645257,8.32114539553308,8.22547997876024,7.88387839397384,8.98997753897433,8.17441703164109,8.67472114331295,8.47248680006244,6.56714096416501,7.2419839578704,6.91385577511446,6.70898798130035,8.45685768324394,7.93144261486243,7.88803793345741,6.98566203666838,7.87923384337793,7.07393070146009,6.28642899082942,7.68918053592559,7.40563940653263,8.11344027972723,8.22940193768281,8.051431367904,8.56436952944873,8.01217684346565,8.22438887207306,7.90641327363961,8.02062404408579,8.05109874594557,9.85977544496555,7.91968216780767,8.97046612079658,8.8353549991179,7.77691461598442,8.46166025387652,7.38311146207475,7.96378421696588,7.92715238937492,7.91791767848729,8.07098627338836,7.9702523935732,7.83977678576347,8.43823059420134,7.75118848970411,8.40320353278746,7.58734296307396,7.52479795820735,8.24029619919504,7.91275029194905,7.68929344730377,7.41025081263639
"155","FAGR_UCONN_00407",3.63178144445163,4.53588698957473,2.62279003578495,4.44744790041225,3.38995777631208,3.2341900481399,2.74596315406653,3.82594030477815,2.81542196442935,3.72002576979804,2.60795415491557,3.63482808264394,3.22490030806435,4.87803793168006,4.26596812694623,5.05152966341481,3.51466161776569,3.71952878452123,4.7121156878845,4.57990740486815,4.17554679602265,4.71222007472894,4.52446166634655,4.2102449302059,4.80845878681735,4.17411225925299,4.51690434466412,4.16545768630951,4.03955004063767,5.06902416788872,4.37536924045949,5.09668106907626,5.33291154771644,5.89201479552728,4.78539303080663,5.21450681324536,5.41033977444585,4.19192330676942,5.82250229904215,3.77868799449642,4.30856038312035,4.92184942198339,5.98553169862001,5.75782513728543,2.03463725380195,3.63894828265641,-2.48297294441054,2.6118615587291,2.39183116670421,3.19631662431664,1.52553557857702,1.9318806533475,1.97810699454659,2.35718767443051,0.739960886385957,3.68858344907938,3.37958144417405,3.63930603712084,3.9270743675941,-2.48297294441054,4.82765393909,2.86384829239267,3.89854219600435,3.46199183443365,3.74409622623833,3.76807961729789,3.50073822639349,3.23051463820291,5.72308797010041,3.98857355373793,3.3222047728917,4.24959247311269,3.6077860099637,4.32605866392362,3.9013897625587,3.8948222285098,3.7534663785817,4.33044077330372,4.42741189335532,3.82857683056952,4.10766644840431,3.97906833141646,3.99221273223131,4.03822346562678,4.32395226732001,4.48096698922744,4.00972429981877,5.35905541578812
"157","FAGR_UCONN_00412",0.395430384053943,1.8606227574888,2.50106298621543,3.69016906104092,1.91183085866052,1.89375967260292,0.466421242845419,1.87952410822969,2.13524138844245,1.22980003101201,1.73763521467527,2.09082774761742,0.37822119354248,2.15315803521823,2.57135628183105,1.94255099879782,2.05577672510863,2.74562593702629,1.80865556444688,3.37597042904466,0.909937001328297,1.60957790612218,1.51873735672469,-2.48297294441054,2.11024090338359,2.4701225287019,0.852687373503689,2.15140071058256,0.276944023313915,2.4743127339587,3.11291559427077,1.46607834587162,1.54956432130011,3.0344350825552,3.25036185528285,5.38230988460088,2.93798261312478,1.46689338313666,0.938253601348423,-0.000251049356730829,1.29606979468793,2.49375415398129,2.3318195006743,2.17307380191702,-2.48297294441054,1.82761238018903,-2.48297294441054,0.449623943014987,1.58264461642011,1.4576833147977,2.48000552372373,-0.142090889455521,1.56789309681624,0.565740078449401,1.3211232134429,1.74741191785834,0.940504164605828,1.65234367988118,1.16001380853945,-2.48297294441054,2.65345429302447,1.89887013477973,-1.0601534841526,1.56608077058752,2.23568186975796,1.1931354254091,-2.48297294441054,0.955362056135537,-2.48297294441054,0.471109981302202,1.82350072917378,-2.48297294441054,-1.24831210601982,1.38075635958618,2.36888162190816,-0.127466435043457,0.0530352566042651,2.10741910429909,0.248173827118304,1.14848630216571,-2.48297294441054,1.38676470145416,-0.853297532745415,2.3054270206162,0.952663266142023,0.071414763996145,-0.0682170639838032,1.10238229960813
