"","Gene_ID","H173Fg01","H173Fg07","H173Fg08","H173Fg09","H173Fg14","H173Fg25","H173Fg28","H173Fg29","H173Fg30","H173Fg32","H173Fg36","H173Fg37","H173Fg42","H173Fg43","H173Fg45","H173Fg46","H183Fg01","H183Fg07","H183Fg08","H183Fg09","H183Fg14","H183Fg25","H183Fg28","H183Fg29","H183Fg30","H183Fg32","H183Fg36","H183Fg37","H183Fg42","H183Fg43","H183Fg45","H183Fg46","S173Fg02","S173Fg03","S173Fg05","S173Fg07","S173Fg10","S173Fg20","S173Fg23","S173Fg25","S173Fg27","S173Fg28","S173Fg29","S173Fg36","S173Fg39","S173Fg42","S173Fg44","S173Fg45","S183Fg02","S183Fg03","S183Fg05","S183Fg07","S183Fg10","S183Fg20","S183Fg23","S183Fg25","S183Fg27","S183Fg28","S183Fg29","S183Fg36","S183Fg39","S183Fg42","S183Fg44","S183Fg45"
"40","FAGR_UCONN_00083",3.08979888802496,2.73189878949218,3.0877630247984,4.12870093922021,3.36313898785056,3.498929390023,2.22404490758506,3.33232163583124,2.41986491288809,2.80170150833328,3.68789776028645,1.89974753311681,2.908352313477,2.51703215135846,2.74084868880609,3.02300396482288,3.37764982029844,3.12050137274664,3.55345731143514,4.70350028402691,4.34929927348877,3.41541761998505,3.37636137684511,3.53273204438449,3.89449407940431,4.29642008608506,4.8620344902072,3.1727292083441,4.31310776929554,4.57323371925669,3.76632635534115,3.23269522253776,0.943390734838401,3.08724912195598,1.47885840077616,1.38150410976961,2.43461304486074,2.3374267520291,3.81692085115956,1.93764109925703,2.44031667234404,2.44736526425722,1.93798582568593,3.51398218670061,3.25313494617809,3.27472864761456,2.51194104085119,3.53990237755559,5.00718580885766,4.68266368098397,3.27626657032587,3.78667642652299,3.77540929970461,4.31276401723863,3.84036544330771,4.03341195512781,4.4758603251912,4.56570189412467,4.27647257278323,3.52355918256182,4.07913669559229,5.41270212363393,4.79689800721039,4.64632564319802
"50","FAGR_UCONN_00123",4.0755484364276,3.91284170986103,3.86425091474373,3.88042652365367,3.47036575915747,3.54593140474473,4.45053592470983,3.5301145660676,3.95507565133718,2.97357202754172,2.75501139854647,3.97822907739483,3.6444575905137,4.24853074107267,3.28861880063222,3.68605009323808,4.10343039307505,4.12105762836808,4.97681875227021,4.87405206859994,4.61577513769566,4.44151805987811,4.51130077871249,3.56483413695588,4.1942638871014,4.37173864039905,3.3817698637456,4.8490748262125,3.93823559943278,4.04015028819197,4.68019851940248,4.67001162900243,4.04908132488076,3.83932491000508,2.43488102254183,3.94533409790757,4.51207479405736,4.50361792831736,3.21707843820216,3.73102721009425,4.01951092997974,3.22206222958727,3.12391252716628,3.72518872691299,4.55437191076512,3.45811452597905,3.95412421118787,3.49428551287243,4.03278685111833,3.72303487106666,3.74061003779808,4.19458160049114,4.33158888049431,4.43027930719886,4.42794850428555,4.85702132869305,4.28041055479738,4.16735395337775,4.16246785914339,1.70402077630124,4.35572301836743,4.00979780152081,4.46289293441938,3.88160414345464
"54","FAGR_UCONN_00131",0.785320178457447,-0.614714469563093,1.28710804718112,0.193397333784121,3.05397764829212,0.201790442543194,-2.57893539638858,-2.57893539638858,-2.18621941937849,0.748155590863556,0.228460008053614,-0.706326492491129,2.49403135344925,-0.450648979179305,-0.013627622440042,-0.301997168189665,0.707560960584524,-1.97482666331345,-2.57893539638858,0.270176977008915,1.30135549938732,1.35287617520673,0.00302446819233828,-2.57893539638858,0.829706787439356,1.34301678530339,-0.119289481148644,2.26605609833869,1.10928721837728,0.830475681811685,-0.277059461340132,-2.57893539638858,3.86432738736996,3.17133898116215,2.18074999075501,-2.57893539638858,1.47859846928174,3.05515459041126,2.37567174673581,2.86817299483509,2.24890465167288,2.98575123631558,1.66630275827073,2.35621031056814,0.81392276137522,1.48079478176014,0.0273444025517629,0.691892970235615,7.12627876352892,6.72407361330488,5.54506867845615,5.07581098145988,6.62832055084801,4.58235043285964,3.63713828686518,5.22437258113299,3.7982060009897,5.05012781663193,6.26578369348581,4.37657629610049,4.43727076713045,4.02061423387372,4.7682186116921,5.10080659934181
"84","FAGR_UCONN_00218",2.09418106016394,2.71421144276635,2.63894253268393,2.87289749664921,3.33503907160575,3.35458744858234,2.86784267941346,3.70403079177882,1.91851870202855,2.0704272225324,1.45085628479602,3.10971765579783,1.23500300398462,2.64269496098428,3.504573095261,1.70373562186513,1.92533293717029,3.09133231821974,3.32031824100969,4.51975836026803,4.72005343951405,4.32035243422758,5.58639600933741,4.06431815210896,2.19153767479576,3.48861629107817,2.26390949191149,3.77190777771205,2.17838601113816,3.25590097305092,3.83444540103343,2.19631751074297,3.21674835992505,2.65268741779881,2.18074999075501,2.0458518096425,1.18470437251382,2.36452208263738,2.71359073601539,1.51940552160836,0.465992111470703,2.35098825683838,1.82775034636626,0.370741287424458,2.14045780296699,2.25058859186645,2.51194104085119,4.12293293602199,4.55132865737969,3.39544386084633,2.23619291036698,1.63403063965796,1.93253303393026,1.14337821303042,4.01116449383946,4.63103260043064,2.44720097952583,1.48773754790165,4.29720228195022,3.86697627088999,1.01395378563398,3.4696269293934,3.06598926200204,3.72982041899158
"104","FAGR_UCONN_00269",4.5551424895852,2.84998684842011,2.17759410684505,2.33565716547267,6.34949930892403,0.608345369977242,1.69845956538659,1.93000306407388,0.0806843445191976,1.73029090696239,5.62241879941752,1.25998708570989,2.23156992289189,1.44818292850278,2.53426025250349,4.44469274723089,3.14754948572496,2.63607291751959,0.527573597184088,3.7482737899175,4.24828617241355,2.84172623487117,2.1400633901385,1.10197380968957,1.97230189312936,3.26980457990016,4.72018052304055,2.24413259619062,2.08480562814881,2.6137006801009,2.8131951640884,2.84646657825855,4.58060035115878,2.44313856297603,-2.57893539638858,-2.57893539638858,2.24443020977757,2.51720488565384,4.32399773591199,3.85154261205667,4.82562679370353,4.50617613165693,2.38985981243886,2.83721883886573,2.78310417103787,3.50053690972231,2.27860919706236,3.70918368565943,7.94669110693245,7.2071433404968,6.42022617140022,6.0767171316075,6.46260821499579,3.96463940659815,6.11847891734142,5.49787501953466,6.3249055807852,7.20365907558181,7.56914528174538,4.37657629610049,6.09235684367485,7.72099865046767,5.82075283645451,5.81371845115956
"106","FAGR_UCONN_00275",4.33011878594637,4.05311447152308,3.0877630247984,4.6211877022463,4.30864790030736,4.64214503123327,4.11770453346925,3.62635735857057,3.85943002989104,2.85293164359142,4.36362595431679,3.60836582679275,3.49259791888869,3.41000599821405,4.92048447531641,3.31195696004165,4.36365494147164,4.30381607417727,3.69619829900944,4.78224796697089,4.10156039792077,4.17542028917031,4.65588932554156,4.13444792342411,3.19898734078403,4.35327442282069,4.18031599983479,3.88248096127837,3.33878009021625,4.46301360134551,4.93635806326404,4.38134862448971,4.98957376169775,4.30163117468073,4.56964984052831,4.40567992802415,2.57801239351823,3.79380414197874,4.35651673586468,3.90822395402509,4.24149045010086,4.12413497427064,3.06033428604144,3.90938710761013,4.05343957834146,3.45811452597905,4.3351373977474,4.45206322114094,6.68963179055807,5.89766217065138,5.95546279241165,6.01955926639378,6.54784235391017,5.18169993759713,5.5885646539293,5.39872096223285,6.51664535988954,5.61335943668017,5.34431040385167,6.1960214066149,4.88440052712026,5.74332420996016,6.02243668418901,5.53560768746303
"108","FAGR_UCONN_00279",1.51358746107542,2.91336518400843,3.93742226237551,3.48401356670889,3.54585980085465,3.516735074686,2.59058050772763,2.83029714663159,2.27130269330221,0.748155590863556,2.75501139854647,1.25998708570989,2.81538624540908,2.04187689265821,2.40941202902563,2.10732464897557,3.05805977726926,2.16209742262642,3.31263010305557,3.94486196631797,2.9960229533553,3.3151929478865,3.20412241992059,3.18164196069338,3.72919417935131,2.21505362530578,4.21223650767353,2.9872076727449,2.76570110128828,1.08981594839405,3.07693445530409,3.10389491973419,3.71801996374472,3.02833659227702,-2.57893539638858,2.9033211900003,2.33533050753864,2.06752021262649,2.81067032233828,3.47995929166682,2.47572995473586,3.32712794958958,2.10483656953131,2.07714518597985,2.74557777674789,3.00689843661696,2.00011889173188,2.24878251189446,3.94624570883318,4.52741846604936,4.26375143718581,4.53196791875031,4.55885299404673,3.66486230092996,3.78148729645964,4.27621862614765,2.28279974145668,4.68142462680262,3.70032263483262,3.3881537520763,3.75088583497494,4.90348098523974,3.55998442262077,3.59573331365809
"109","FAGR_UCONN_00280",2.14120445548394,1.50522297603234,-0.442968868990994,0.141148729047224,2.51721626353321,-0.551852472397489,0.529753066958521,-2.57893539638858,2.01512551283899,0.233336984525017,-0.463421848571219,3.66012601828828,1.13595710437426,1.73829327004252,2.4996780183606,-0.645077913595036,-2.09550549799754,1.45150333803168,-0.756142827687956,-0.857187000817781,-0.673894839707963,0.677594592742707,-1.20264050075677,0.273820253207052,-1.0310426984355,-0.527182901306929,-1.55132122626684,1.51168314891673,0.157038266832255,-0.683574363328604,-0.277059461340132,1.52456930583094,1.68281596197709,2.2296222671695,4.06696477919795,3.55434656479869,0.193108929360771,1.18607358067322,0.995444869313174,1.61331511046016,1.21748713925798,-0.197145656049899,2.90612904635066,2.83721883886573,3.25313494617809,1.09431003759196,2.71273659163671,0.795826352956011,-0.79641475778442,-0.12666146678064,0.0467258143436515,0.00912204790356,0.0372565581454495,-1.96505098245325,-0.282775918409633,-2.57893539638858,0.657200275701572,-1.36912964658585,-2.07410793195977,0.260148525628665,-0.270870628791854,-1.28692641049417,0.169738032124563,0.0710994965499396
"110","FAGR_UCONN_00281",7.09615796997545,6.7252771949722,6.52411432354051,6.18837423992989,5.78518241397007,6.18118304642451,5.28752824237442,6.36399396048369,5.45063738158089,6.1724610008416,5.87643891869991,5.80365723943285,5.95812235623322,6.35369280873719,6.76052238512752,5.45192550429748,6.60686117880828,5.60297185542756,5.50290933840587,7.53825013025452,7.09406036714909,7.16927291233658,6.35939595145684,5.98748079305102,6.52422666651391,6.48671181640811,5.33766426913225,5.93487829023737,6.50550494093523,6.27072985579954,6.70595896045973,5.92559831570709,5.83418883134467,5.63458004975178,5.1333820395551,6.40231797662431,3.86279482043399,6.17243801225398,6.2898898986651,5.86303903605788,5.74722497160544,5.4667659027388,5.12646100745406,6.41771472458658,6.40639597552786,5.77968701950358,5.18458148953566,6.50638352774165,7.71487804709476,7.27437705056725,6.11710606923155,6.87546821197197,6.13696968445453,6.74441492266269,7.20500116364465,7.30962002642309,7.1081180026601,7.46462663819952,6.25522785837529,5.50772546411362,6.00292853120445,7.19287874862614,7.37698015361575,6.10963775420327
"111","FAGR_UCONN_00284",5.05615325054905,4.63086540560686,3.45472949373425,3.61907651364718,3.93090148394435,2.7781023421377,3.4064194292974,3.9576449911392,3.29307392636122,3.18824572848534,2.9960196781975,4.67591076957597,4.59802915570993,4.72180449451303,4.69833148843832,3.37299385791553,4.79261702693596,5.43898411421448,5.02935978760474,5.62093695663894,5.55554131853006,4.89935885713742,5.65587737728228,5.7484551952401,4.69038295446174,4.85119990517693,4.59432909692938,5.23262738040886,6.27248160644527,5.6589461843668,5.66483027699763,4.42244061894851,3.7051306064093,3.05219105582893,5.4248997152675,5.59450495479374,3.48671354067192,4.90064787317054,4.16784680600811,5.45097436692847,4.83928613818215,4.43743593304419,3.71517803790816,4.99597146148559,4.89152676759021,5.15326931387184,4.50711409036238,5.13096914115078,5.58760276183714,4.89113032215657,4.95934858564573,5.51686056492193,4.13405560385218,3.88886144785088,4.99627899412635,3.67504873759326,4.96253843592823,4.9714667686694,4.86423905609259,5.40623411310029,5.19169606715537,5.62958193868235,5.72326649833628,4.96462491422976
