"","Gene_ID","S191Fg02","S191Fg04","S191Fg06","S191Fg07","S191Fg08","S191Fg10","S191Fg20","S191Fg23","S191Fg25","S191Fg27","S191Fg29","S191Fg42","S201Fg02","S201Fg04","S201Fg06","S201Fg07","S201Fg08","S201Fg10","S201Fg20","S201Fg23","S201Fg25","S201Fg27","S201Fg29","S201Fg42"
"2","FAGR_UCONN_00009",2.02320927895786,2.75839964881398,1.62411057868379,2.38417386879902,2.6840353611432,2.29629925042323,2.51702892666266,2.40130705074913,1.95190502833184,2.26141282226577,2.8267004997272,2.09559477352249,-0.982919135304311,1.26828361675923,0.229693524919405,-0.327014155063388,-0.821100067710037,0.132335143970822,-0.200262809466996,-0.663564227192769,0.301835516290346,-0.759785547779186,-0.0653829851045697,-0.266540000943202
"5","FAGR_UCONN_00014",4.66550821495075,4.72585192096592,4.82489165380953,5.29583855876057,4.97583301161026,4.59866503397154,4.92604531489917,4.97966709658534,4.52553312554298,5.09450818275706,4.84540305411579,5.42367557112591,6.49939257058577,6.84957594446947,6.85260673511864,6.87741345797058,6.6240345508633,6.6886376238679,6.8136920083004,6.52143088042067,5.60633232413145,6.68179847212428,6.48295470260076,7.06638525988557
"9","FAGR_UCONN_00019",6.23090886099121,6.63228837649099,6.54839351194874,7.46311232532506,6.64391662523437,7.09642603599721,6.19031426934371,6.2478788223536,6.59823544614929,6.17014388261339,6.3593009540944,6.78363985558205,7.41107135794379,7.96403971256352,8.76166119769569,8.56631111575121,7.77986082619933,8.62538165666633,7.70807591614571,7.58572792432047,7.94290249971652,8.48553748858322,7.67640909326917,8.5442460786898
"16","FAGR_UCONN_00035",1.11793903726086,1.86118712346836,-0.0327899487485898,1.50575009749058,2.22316987739226,0.0683912726573896,2.00532637128984,2.59390056940706,2.55211988535964,2.49617402327322,-1.85797153897873,0.261249231499017,-0.687333664740011,-1.31714749009941,-1.30769060456337,-0.764502457128395,-0.224053552759891,-1.34726788107681,0.223615371871816,-0.963440648970814,-1.85797153897873,-1.85797153897873,-1.85797153897873,-1.0056587194739
"17","FAGR_UCONN_00037",2.10490123962803,2.60762912137126,2.72046272196074,2.38417386879902,1.54193844372352,2.17811545934611,2.54370557994996,2.30447415474728,2.0935843029292,2.1738266516912,2.93496172858547,2.12979082549784,0.91571320965824,0.0407474119977925,1.50483727245547,1.76714141414138,1.01202635866736,1.32315545195333,1.04225785753457,0.860890793411239,-0.406812954108598,1.30970328988585,0.806385024789052,1.18616652418434
"30","FAGR_UCONN_00064",3.85645167703777,3.70412250065853,3.68994985274625,3.516893029937,3.37580346852785,3.16487425673258,2.74102689751389,3.21115888821709,2.97472351720891,3.21930047899035,2.91747299689664,3.49123395984378,4.25007378965875,4.09491259815522,4.43756650030043,4.1699867411905,3.51683424095639,4.52401286982502,4.2705860208757,3.93766132099319,3.31671761340941,4.2834623955302,3.95034547206554,4.32551429942297
"31","FAGR_UCONN_00065",-0.0198978171427063,-0.0781005052335694,-1.85797153897873,-1.12344445227198,0.672524338330681,-1.85797153897872,-1.03056886198808,-1.27564436861713,0.103404145203951,0.16752283516508,0.36674973285513,-1.85797153897872,-1.85797153897873,-1.85797153897872,-1.85797153897873,-1.85797153897872,-1.85797153897873,-1.85797153897872,-1.85797153897872,-1.85797153897872,-1.85797153897873,-1.85797153897873,-0.992881697595709,-1.85797153897873
"34","FAGR_UCONN_00068",-0.0198978171427063,0.227885798302718,0.74776744264452,1.30652894877749,0.672524338330681,0.864912930145698,-0.3040116843229,0.457623656961087,0.905155915909714,0.755290433205297,-0.271032802341173,1.08485904357714,2.56391354963706,2.43826067615576,1.79844137794821,2.15264750576489,1.52966140224146,1.78219970128001,0.690240196304919,1.1187664648351,1.80950727173872,1.04213898738473,2.12261643496013,1.61027432084694
"38","FAGR_UCONN_00078",0.290560590904138,0.881709775458991,0.74776744264452,-0.277075510190015,1.54193844372352,-1.85797153897872,0.426672623928429,0.993184047543328,0.103404145203951,0.755290433205297,-1.85797153897873,-0.00943392424724981,-1.35509375132607,-1.31714749009941,-1.85797153897873,-0.529238257379883,-0.821100067710037,-0.97084414960783,-1.23617745437363,-0.203759077943885,-1.85797153897873,-1.85797153897873,-0.992881697595709,-1.85797153897873
"40","FAGR_UCONN_00083",2.575160630878,2.17897542123989,2.16538108972642,2.81798678961569,2.77943651446524,3.06850481422595,2.51702892666266,2.92881002965775,1.95190502833184,1.98088201577564,2.95224099390569,2.81598109425496,3.54416046309235,3.51628510673369,3.16781987439792,3.43383325390703,2.79685293989161,3.30508772374315,3.43679320546271,3.01717819905462,3.44900620757677,3.34157278798217,3.65833342597643,3.28072815589296
"64","FAGR_UCONN_00161",6.23090886099121,6.64524973527814,7.45113073547769,6.93575942146333,7.01613325738599,7.0318724279656,7.10491195426815,7.26790653170827,6.9405970757722,6.88664830093279,7.12131136759918,7.47106615850619,6.04366969971237,5.87939828275872,6.15212049182911,5.75413667762867,6.27257772156048,6.32318716324009,6.27455775535434,6.60984258289904,5.82299225163187,5.79329277482575,6.22336457598,6.32261417746867
"67","FAGR_UCONN_00166",0.545897564598563,0.881709775458991,-1.85797153897873,0.639503844627979,-0.483590019148692,-0.225369232899893,-1.85797153897872,-1.53762406457078,-1.85797153897872,1.17172843851212,-1.85797153897873,-1.05619808738873,1.36556639898708,2.05840006142565,3.39562697770313,2.15264750576489,0.66131388610884,2.27666442275957,1.48677016014766,0.860890793411239,0.301835516290346,2.84793860857481,0.709748771128763,0.872722783018185
"75","FAGR_UCONN_00199",1.93661242096507,1.56638881611638,1.62411057868379,1.40957558990732,2.86891846830159,1.90802010593462,1.50573976987397,1.52718161431456,0.905155915909714,2.34398459967364,1.88173535536832,2.37758896803206,1.29967204240807,1.34153723769371,0.956952215392627,1.10609277777335,-0.491909425213793,0.938299974498087,0.934189010754303,1.403567262298,0.872428262963271,0.966704952211261,1.40885359217118,0.686107554056617
"82","FAGR_UCONN_00215",4.24671837138808,4.35184523975754,3.33616378587235,3.64912797050628,4.19286239211096,4.2779673855364,3.8456883551614,4.08843238982101,3.7917483800187,4.03332513985796,4.14494554525961,4.55118899994818,2.21648417951753,2.56601975263897,2.89717060929968,2.92112299545352,2.99362748045321,3.28788274788706,2.86028135182293,2.63228619067454,1.59779410397144,1.94211780172004,2.5429489234133,3.32937208224839
"87","FAGR_UCONN_00225",-0.0198978171427063,-0.0781005052335694,3.23227678354375,1.07532154401905,-0.483590019148692,0.312337041364322,0.735184011248155,1.62666688637129,-0.566859728562036,0.16752283516508,-0.441081239250598,0.938198764767296,-1.85797153897873,-0.924696164320504,1.21754965600426,0.00821861368155849,-1.85797153897873,-0.672590336203778,-0.803070877525407,-0.663564227192769,-1.85797153897873,-1.04192983630703,-0.45584632534244,0.0751761838409569
"94","FAGR_UCONN_00235",2.83661854413898,2.31497061411481,2.37504313073238,2.89103848468642,2.95317302600214,2.92910011209437,3.10573493391293,3.31423615434496,2.97472351720891,2.69802658913892,3.11452367091909,2.97491748346028,1.15810307038743,1.96875937522255,1.56853305806219,1.97273283629759,1.01202635866736,1.38918105160052,1.88534029121618,1.7969876932701,2.26929992711583,2.12671750174708,1.58264015062452,1.75973837544704
"99","FAGR_UCONN_00254",-0.416019509585244,-1.00093148463956,-1.85797153897873,-1.12344445227198,-0.483590019148692,0.0683912726573896,-1.38575006611372,-0.540790510231192,-1.85797153897872,-0.84092533048003,0.144251536193391,-0.00943392424724981,-1.35509375132607,-1.31714749009941,-1.85797153897873,-1.85797153897872,-1.85797153897873,-1.34726788107681,-1.23617745437363,-1.85797153897872,-1.85797153897873,-1.39300592054366,-1.85797153897873,-1.85797153897873
"103","FAGR_UCONN_00265",5.78082561895132,5.44941819750172,6.00286690443553,6.02469350533779,6.14991552731596,5.97856981236584,6.54579335481706,6.65179904270217,7.24013595976881,6.39497792331298,7.2280223771555,7.13251474795757,5.07699154391005,4.53827348819994,5.43691196503826,5.08989852608834,6.10633715718522,5.23920075026116,5.54836538129784,5.29923264499871,4.82696894836227,5.29264433140446,5.27374447827997,4.97181464291544
"109","FAGR_UCONN_00280",2.02320927895786,1.86118712346836,0.74776744264452,1.68076917735841,2.35290369123818,-0.225369232899893,1.70797037648202,1.6893726144602,1.95190502833184,1.17172843851212,-1.85797153897873,1.28019555291236,0.258492639315645,-0.616491473288805,-0.599083337330125,0.508702042162894,0.787930085924804,-0.0307746025849247,1.04225785753457,0.546666377163298,0.301835516290346,0.71338926653893,-0.247444984406267,-0.47348746812808
"110","FAGR_UCONN_00281",6.86774586012255,7.32263692275727,6.74994297808923,6.24621237349015,7.1604635115324,4.24894653665201,6.69753540279636,7.08322120912961,6.89293043709762,6.98320196479161,6.5272466867271,5.90792947719028,4.46070791262982,5.77087352642754,4.79128975862742,4.32061387050082,5.50441749762007,3.76907847943169,4.78007515343454,5.68872732836845,5.25515934811441,4.58404780021567,5.69885102989934,4.25171701656523
