"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_14283",1.16695382329115,2.03921212379681,13.8219340394303,0.000200976263687858,0.000712803719884073
"FAGR_UCONN_32176",1.02570341410648,4.00949012201652,13.8085714241535,0.000202410692623095,0.000717773588358024
"FAGR_UCONN_07771",-0.824185940807951,2.00230756054311,13.8071008677579,0.000202569180273319,0.000718217922587675
"FAGR_UCONN_14679",-1.18750818908098,7.13540765689158,13.8051363904679,0.000202781094800606,0.000718851507563426
"FAGR_UCONN_25489",1.5698761036587,0.228206527318972,13.8017362348264,0.000203148408566604,0.000720035679364305
"FAGR_UCONN_17063",0.944696146691231,2.76621484036914,13.7990713985526,0.000203436755358816,0.000720939620022188
"FAGR_UCONN_30088",-0.6070565381247,3.92694003289868,13.797858882733,0.000203568091261096,0.000721286940254198
"FAGR_UCONN_14337",-1.29399031389071,1.12841090080645,13.7944271188736,0.000203940272341188,0.000722487375021769
"FAGR_UCONN_06765",-1.14106055600621,0.625507983388297,13.7915383474967,0.000204254096259547,0.000723480712152066
"FAGR_UCONN_10929",-2.19711484052202,-0.345699793907318,13.7873861492792,0.000204706025963897,0.000724962823418535
"FAGR_UCONN_02636",-0.711757339250988,3.75125552208529,13.7834914250871,0.000205130847532956,0.000726348462419541
"FAGR_UCONN_29440",-1.96930282001596,-0.0688504676560634,13.7818110146881,0.000205314414432469,0.000726879528406265
"FAGR_UCONN_32323",-1.18712009431435,5.18744268151461,13.7782079196338,0.000205708572172766,0.000728114383181301
"FAGR_UCONN_09951",1.60644664453256,-0.126245735139508,13.7780076878876,0.000205730498713319,0.000728114383181301
"FAGR_UCONN_10856",-0.530861800002033,5.24335740085293,13.7742521151076,0.000206142192306798,0.000729452146158227
"FAGR_UCONN_25313",-1.18479874888749,4.37735604270178,13.765424073335,0.0002071132121103,0.000732768372812019
"FAGR_UCONN_33002",0.663757465296501,3.68081223140037,13.754880322493,0.000208278988031393,0.000736772451614157
"FAGR_UCONN_23417",0.477872411627006,4.23645038889442,13.750026573825,0.000208817865542466,0.000738557974517088
"FAGR_UCONN_32208",0.8609936492036,2.6614940047758,13.7482343725533,0.000209017195924668,0.000739142182059097
"FAGR_UCONN_14268",0.538928918650273,6.4210235322361,13.7478023309031,0.000209065276690647,0.000739191425933503
"FAGR_UCONN_24086",-0.468178533849508,4.36241933425916,13.7452546051465,0.000209349033002154,0.000740073794876285
"FAGR_UCONN_21842",0.561751015828482,5.13456260719917,13.7397904054554,0.000209958924685075,0.000742108614736958
"FAGR_UCONN_08905",0.907896644009258,3.48465722339355,13.7366503832539,0.00021031021076645,0.00074322886698359
"FAGR_UCONN_29757",0.845179387419693,4.16840444664204,13.7329882245405,0.000210720658353192,0.00074455779397221
"FAGR_UCONN_27840",-0.715739729721716,5.32681191743775,13.7293274819546,0.000211131753836187,0.000745888575991309
"FAGR_UCONN_08532",0.402878076733708,4.84392951342918,13.7248994545972,0.000211630094167496,0.000747527092863219
"FAGR_UCONN_18871",-0.77604679960591,7.24130684538478,13.7233218846262,0.000211807923679875,0.000748033140385094
"FAGR_UCONN_32697",-0.394966062863081,4.84640251753689,13.7143164604685,0.000212825934904943,0.000751505773080892
"FAGR_UCONN_06154",-0.634009689408271,5.76348685243823,13.7139498859294,0.000212867478301558,0.000751529847537081
"FAGR_UCONN_05762",2.04139901118561,0.155699601324517,13.7097532952767,0.000213343654818618,0.000753088138571936
"FAGR_UCONN_27502",-0.608602890465092,4.86913693776986,13.7082917280318,0.000213509747011571,0.000753463624432626
"FAGR_UCONN_10751",-0.712095421510733,3.03653117367993,13.7082045622916,0.000213519656623477,0.000753463624432626
"FAGR_UCONN_23331",0.792309682143141,5.41856259788293,13.7073000438117,0.000213622515978788,0.000753703699186979
"FAGR_UCONN_31015",0.531620196984023,4.38694436931319,13.7068061028816,0.000213678706657607,0.000753779065930552
"FAGR_UCONN_23308",2.40093232065192,0.0484844616209936,13.7031360104471,0.00021409668273458,0.000755130444547226
"FAGR_UCONN_32199",0.400934777396512,5.14231509342799,13.6992004996635,0.000214545801880861,0.000756591208131922
"FAGR_UCONN_23119",1.51445926710654,1.56389173957756,13.6970731620846,0.000214788968038525,0.000757325325234564
"FAGR_UCONN_20535",1.77968134237077,0.826831817161887,13.6812377979851,0.000216607784038723,0.000763613888608249
"FAGR_UCONN_24160",1.68377662604048,0.120508068229388,13.6785356937864,0.000216919688281306,0.000764588907782414
"FAGR_UCONN_16954",-1.18041303843087,1.62599668878772,13.6725730275696,0.000217609561655332,0.000766895641319768
"FAGR_UCONN_04698",-0.786849065439028,2.14676081598378,13.6691928983461,0.000218001619935335,0.00076815224009126
"FAGR_UCONN_15416",-0.437477462677575,4.91432114267375,13.666595099866,0.000218303419971283,0.000769090446853087
"FAGR_UCONN_30931",-0.405266354946439,6.65157621809106,13.660007190677,0.000219070661199392,0.000771667846627155
"FAGR_UCONN_27702",-0.768911207181523,3.20029932005802,13.6582576588731,0.000219274871406627,0.00077226147550565
"FAGR_UCONN_21659",0.672298754244284,4.26002773076096,13.657871538525,0.000219319966275678,0.000772294616032903
"FAGR_UCONN_26216",-1.44393499474855,0.611524454174867,13.6570687860757,0.000219413749382153,0.000772499164491388
"FAGR_UCONN_03707",0.404740769473528,6.10683674644205,13.6449740466894,0.000220831641339917,0.000777260970550469
