Gene_ID,H172Fg01,H172Fg07,H172Fg09,H172Fg14,H172Fg24,H172Fg25,H172Fg28,H172Fg29,H172Fg30,H172Fg32,H172Fg36,H172Fg37,H172Fg42,H172Fg43,H172Fg45,H172Fg46,H182Fg01,H182Fg07,H182Fg09,H182Fg14,H182Fg24,H182Fg25,H182Fg28,H182Fg29,H182Fg30,H182Fg32,H182Fg36,H182Fg37,H182Fg42,H182Fg43,H182Fg45,H182Fg46,S172Fg02,S172Fg03,S172Fg05,S172Fg06,S172Fg07,S172Fg10,S172Fg18,S172Fg20,S172Fg23,S172Fg25,S172Fg28,S172Fg29,S172Fg36,S172Fg39,S172Fg42,S172Fg44,S172Fg45,S182Fg02,S182Fg03,S182Fg05,S182Fg06,S182Fg07,S182Fg10,S182Fg18,S182Fg20,S182Fg23,S182Fg25,S182Fg28,S182Fg29,S182Fg36,S182Fg39,S182Fg42,S182Fg44,S182Fg45
FAGR_UCONN_00600,6.172584237,6.688308825,6.327402864,6.011055749,5.571425415,5.89411652,5.8680521,5.718371607,5.907629574,5.702991065,6.121412616,6.389582641,5.968085599,5.674340613,6.018721551,5.704782964,5.762436615,5.675321483,5.640828612,5.826744079,5.661522239,5.537594621,5.66938676,5.193426866,5.963595391,5.302638803,5.235808445,5.834932227,5.396133678,5.119283741,5.571867823,5.966617746,6.15396882,6.056993016,6.270974102,6.011008638,6.453857445,6.056841437,5.931796266,6.017190952,6.103915753,6.232160731,5.994983459,5.818521907,6.161048995,5.643673788,5.896107666,5.913837765,6.189386335,5.257769034,5.707452882,5.794436304,5.965847825,5.619856107,5.641055413,5.84650409,5.640217646,5.653516372,6.032602246,5.512054723,5.657997083,5.500964706,5.622451741,5.131658328,5.682578341,5.459189883
FAGR_UCONN_00654,-0.461134334,-2.323235347,-0.949830622,-0.820723446,-2.323235347,-1.623262989,-1.756968779,-0.256924535,-2.323235347,-2.323235347,-2.323235347,-0.722982639,-2.323235347,-2.323235347,-0.63621218,-2.323235347,-2.323235347,-2.323235347,-1.912452804,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-1.90812619,-2.323235347,-2.323235347,-1.506088557,-2.323235347,-0.898570842,-2.323235347,-0.576598594,-2.323235347,-1.722793137,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-0.236957108,-2.323235347,-2.323235347,-0.568391719,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-1.557134187,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-1.548575335,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-1.463479919
FAGR_UCONN_00655,-2.323235347,7.61323141,4.915806191,8.162821397,-2.323235347,5.872770038,4.713115655,-2.323235347,4.992607274,3.794901006,2.948018558,4.641969606,-2.323235347,-2.323235347,6.3476397,6.156319764,-1.538538338,4.846109616,1.958223737,-2.323235347,-2.323235347,1.155955476,3.677647054,1.122748331,2.238568225,2.288451863,-2.323235347,3.617024971,-2.323235347,-2.323235347,0.551481301,2.320461209,2.65640496,3.593948253,0.900991494,0.274548939,-2.323235347,0.376484667,0.527623844,1.391588112,2.331138185,2.004344027,1.978086794,0.975537394,2.245136238,3.48654261,2.78457209,-2.323235347,2.085098845,3.55048466,3.653231438,3.653039198,-0.396222503,2.821041458,1.801691148,2.102851858,4.090026431,2.656965206,2.87274854,1.387671388,2.154140511,2.289212018,1.232133279,3.783557194,-2.323235347,2.911836032
FAGR_UCONN_00705,6.159889912,6.682414859,6.7920758,6.693590772,4.765400341,6.210827856,7.035232421,7.068164667,7.055014375,7.442395208,6.690973458,6.317967375,6.735447218,7.495125684,6.929173017,6.057943179,5.556507419,5.712651535,5.983152817,5.592265828,6.00313628,5.157794101,5.953101357,5.305895565,6.099226615,5.926326572,6.246889042,5.509880277,5.032820334,5.480009577,5.631246418,5.545730199,6.35422488,6.37541167,6.882144143,6.611962093,5.843664206,7.417141245,6.371125586,6.36103666,6.500241879,6.613848477,6.413484536,7.232247891,6.302145077,6.139286736,6.789550546,6.630580571,7.226884786,5.447401179,5.786633306,6.065090787,6.206394864,5.608407366,6.350903455,5.835653728,6.204194778,5.992918165,5.869179741,6.385040821,5.846772026,5.922341098,6.512331305,5.376194606,6.15861265,5.966976322
FAGR_UCONN_00755,5.510721329,6.372653745,6.231992843,5.857727594,5.903256945,6.366204944,5.985338548,6.007411609,5.30227295,6.620896109,5.8007805,5.43424269,7.699102003,6.417796086,6.234420225,6.109230039,5.718598157,6.315091622,6.504150665,6.921501901,7.198682051,6.599306682,6.214166485,6.829409014,6.889774282,6.746464174,8.290355113,6.296173025,7.04439663,7.028287254,6.391296099,7.116637208,6.545011793,5.724562745,6.18541222,5.673168195,5.896920913,6.268373296,5.777054577,5.750446949,6.076365679,6.073341738,6.253579509,5.442293576,5.85097817,5.56327435,5.935678687,5.809362904,5.684088634,6.411004209,6.623214208,6.34125367,5.76506713,7.253302565,6.846937134,6.444153525,6.41778019,5.759440625,6.581739663,6.027024806,5.6255491,6.259374468,6.195284006,5.987319892,6.055929255,5.496085772
FAGR_UCONN_00774,0.441834137,1.572829167,-0.353674086,1.315820259,-0.680692663,3.400086052,2.442163285,1.846964624,4.746144691,-2.323235347,-1.733511728,1.605016451,0.823447024,3.915329107,3.325094579,-2.323235347,-2.323235347,-1.265780533,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-1.067071704,-2.323235347,-2.323235347,0.261966,-2.323235347,-2.323235347,-0.98761717,-1.190873933,4.442423003,1.238386709,5.016405276,2.532970783,0.359316134,-1.37455062,-1.280649489,-2.323235347,1.900307754,3.543550031,-1.437581308,0.839671152,-0.847541847,-2.323235347,-2.323235347,-1.81579362,-2.323235347,1.650744946,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-1.22495242,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-0.331505454,-2.323235347
FAGR_UCONN_00851,0.325398973,2.644891634,1.756409608,2.413747443,1.026697426,2.249247453,2.69846598,2.284374167,2.400906546,3.023988143,2.778047248,1.946372188,2.860757251,2.991694486,2.232353434,1.684174133,0.232195726,-0.392964653,0.883902829,0.501940727,0.761692741,-0.723756359,1.710223251,1.569846974,1.334752558,1.190464421,-2.323235347,1.09902202,2.368213579,2.289802691,0.735910562,2.012889988,1.628333858,1.221108104,1.755343329,2.989428922,2.485075256,1.438477434,3.657315295,1.786100868,1.579000657,2.149143893,-0.540296016,2.739240219,4.344115581,0.921045947,1.576284923,0.272902372,3.050721867,-0.647119065,1.306847975,-0.322413763,1.014287133,-2.323235347,-1.686876454,-0.664399506,-1.461080653,-1.04729045,-1.431234595,-0.112722386,-0.941571885,0.581611149,-1.010782274,-1.07286201,0.87637795,0.587083852
FAGR_UCONN_00855,4.985967642,5.871846001,5.550727504,5.67066434,2.440880348,5.93882236,5.839296946,5.400715363,5.219006409,6.037397377,5.858369998,5.012379836,6.030047872,5.70039149,5.612658424,3.801416949,2.413203495,3.568860645,4.578674369,4.71974389,3.520998903,3.964991519,4.480287601,4.201283755,4.744938831,5.027969386,6.149741668,4.314699542,-2.323235347,4.31813579,3.330487808,3.716616574,5.000403194,4.554183223,5.164029937,5.007945513,5.206009093,6.133004154,5.76886411,5.566438431,5.54995137,5.697020291,5.827460558,6.079448982,5.85637296,5.894289655,6.09794738,6.188331606,6.593403011,3.62932444,3.672420026,4.622496623,2.731209778,4.587343307,5.973320542,5.332533698,5.63073315,3.49544584,4.332649627,5.367525521,3.944850779,4.950545455,4.829720923,3.505871025,5.95578152,2.711266303
FAGR_UCONN_00955,2.979681648,3.339529046,1.822730082,0.735674064,0.690022109,1.093515487,2.363566199,-1.278691238,0.430029583,-0.824661155,-1.733511728,1.15700662,-2.323235347,-0.971461471,5.703178551,-0.11541356,-0.43172311,1.782681396,1.323991071,-2.323235347,-2.323235347,-2.323235347,1.030827795,-0.013134806,-0.794755101,-1.520501221,-2.323235347,1.431371673,-2.323235347,-2.323235347,-2.323235347,-2.323235347,-0.940303731,-0.607010863,-0.74456014,-2.323235347,-2.323235347,-2.323235347,2.679984324,-1.300077625,2.482740846,0.556372211,0.01840216,-2.323235347,-1.265147081,1.454345383,-1.327179053,0.200275104,-2.323235347,-2.323235347,1.205108492,1.218334277,-2.323235347,-1.602161575,-1.869479917,-0.664399506,-0.535279145,-0.380947055,-0.178212819,-2.323235347,-1.83634431,-1.00272209,2.01926627,-2.323235347,-2.323235347,-2.323235347
FAGR_UCONN_00962,7.821549718,7.789724757,7.452337503,7.678718415,7.303280595,7.464676623,7.768461577,7.644011504,8.026530034,7.458193842,8.045515197,8.174343619,7.403837543,7.524587289,7.618969238,7.24651703,7.275235986,7.314455624,7.49679008,6.286195784,6.572499009,7.329634845,7.346285548,6.844384955,7.236958282,7.021327338,6.736875179,7.313338435,5.991372787,6.76241792,7.225230592,6.723722594,7.632592282,8.298710761,7.966767923,7.979067675,7.619975955,7.607918711,8.109440088,7.791114536,7.815504763,8.276359397,7.620495728,8.469210486,8.245941774,7.983361653,7.88481049,8.01882912,7.180724424,7.782838253,7.611224582,7.239406865,7.856554532,7.003814155,6.934034839,7.552610837,7.249481083,7.677515457,7.556842059,7.603669465,7.627614163,7.672293256,7.962589896,7.307774063,7.67836254,7.574965224
