sample,MEbrown,MEblack,MEcyan,MEgreenyellow,MEpink,MEturquoise,MEsalmon,MEtan,MEyellow,MEmagenta,MEblue,MEgreen,MEgrey,RGR.change,growth.change
S201Fg02,-0.321429591,0.082383233,0.192412023,-0.048729092,0.404769524,0.099672114,-0.421278958,-0.253064603,-0.421526025,0.159324992,-0.12245803,0.195620853,0.035716811,-2.11E-06,-4.49E-05
S201Fg04,0.4812452,0.073005453,0.037341538,0.050860105,0.016401684,-0.244701703,-0.020992982,-0.284178447,0.128868633,0.084188652,-0.060649623,-0.229846029,0.400247736,-0.003139634,-0.02928194
S201Fg06,0.048730006,-0.536823959,-0.656806526,-0.462784696,0.094091864,-0.223076239,0.460131142,0.1477874,0.433741704,0.673635534,0.932293152,0.647282715,-0.106587155,-0.002208823,-0.05764674
S201Fg07,0.266215877,-0.138401342,-0.091942489,0.160092678,-0.209941475,0.100829055,0.102995981,0.164286272,0.242867221,-0.12354749,-0.003442368,-0.183380751,-0.423483114,-0.003528302,-0.07273562
S201Fg08,0.362347046,0.266591609,-0.311040911,-0.553078153,0.503254663,0.094860135,-0.252737932,-0.298993845,0.143287431,0.179134934,-0.126508562,-0.424862256,0.095668251,0.000597913,0.003838473
S201Fg10,-0.523680227,-0.498466975,-0.272033366,0.040027132,0.03093705,0.420209019,0.343620965,0.446292326,-0.005276325,0.271204527,-0.031384922,0.30970211,-0.3458662,-0.000341542,-0.02976091
S201Fg20,-0.079628569,0.209691491,0.047078288,-0.258928605,0.197925847,-0.250752386,-0.247306809,-0.35279504,0.002407739,-0.09314065,-0.12975219,-0.283591909,-0.124130918,-0.000232188,-0.01745099
S201Fg23,-0.124367951,0.251929887,0.030281697,-0.083237236,0.047969099,-0.085764351,-0.243231857,-0.169968835,-0.273000676,-0.169355214,-0.20012996,-0.213711756,-0.036240343,-0.000962446,-0.03544922
S201Fg25,0.193000538,0.386028354,0.501074661,0.325659257,-0.375875657,-0.233013982,0.491889699,0.356998121,-0.444072738,-0.525019949,-0.066982444,0.038625329,-0.370245318,0.00040313,0.01924965
S201Fg27,-0.027312524,-0.1798843,0.130020734,0.255591265,0.076055948,-0.397903042,-0.099349871,-0.263165983,0.417861854,-0.079111842,0.019284914,0.08641786,0.129702877,-0.00183246,-0.05607914
S201Fg29,-0.348101437,0.227268916,0.231489343,0.150611507,-0.267048134,0.62710938,-0.196844821,0.393603794,-0.294706653,-0.22325478,-0.180304583,-0.118016331,0.184525324,1.89E-05,0.00165922
S201Fg42,0.072981635,-0.143322367,0.162125009,0.423915839,-0.518540413,0.092532,0.083105443,0.11319884,0.069547836,-0.154058713,-0.029965385,0.175760165,0.560692048,0.000446074,0.02914286
