sample,MEcyan,MElightgreen,MEbrown,MEskyblue,MEsaddlebrown,MEdarkorange,MEdarkred,MEsalmon,MEmidnightblue,MEorange,MEgrey60,MElightyellow,MEdarkgreen,MEturquoise,MEgreen,MEyellow,MEdarkgrey,MEblack,MEblue,MEred,MEroyalblue,MEpurple,MEgreenyellow,MEtan,MEwhite,MEdarkturquoise,MElightcyan,MEmagenta,MEpink,MEgrey
S191Fg02,0.14684017810811043,-0.05378607834413773,-0.16485055875595128,0.05945416923919729,0.0694562849560272,0.04920254360465124,0.11433016162929042,0.2382249646697781,0.024228573108091598,0.001567597933121089,0.05801454072889636,-0.024416973572137197,0.10268145008738912,0.017475763535514974,-0.0027073481361509872,-0.020341171009733348,0.05456490663371746,-0.27221982602231715,-0.07798790549217145,0.001348089838996125,-0.5586340632956662,0.05750773327127734,0.12949612340636682,0.21536235416950622,-0.1327683741052639,0.09715842426908976,-0.06759160227232512,-0.045029928436305516,0.09429049031493446,0.04674911687697575
S191Fg03,0.24722591816162132,0.03458521937728798,-0.2865991997788171,-0.08539230321113433,-0.07441841704509489,-0.024608780821953724,0.010509652590632856,0.045276807499754934,-0.01758131810668373,-0.06231523435269822,-0.11627261247593679,-0.09638047894775054,-0.06717771885088963,-0.07362716480341513,-0.09315777091109231,-0.13382812567440971,-0.1549500584870071,-0.2536940559830083,-0.02432324057978219,-0.05317365458234359,-0.21601041091668638,-0.06614379041201102,-0.07057377256313924,0.10233262942035792,0.037013211684263414,-0.14014716386564663,-0.03569646280784833,-0.0726930305546698,-0.11531643070660114,-0.307859153855687
S191Fg04,0.022925528807664186,0.09550564229066572,-0.13486420513773442,0.06208091934027815,0.07944988213623894,-0.17373942371548645,-0.008556667590509437,-0.03329526041387862,0.05588176166361947,-0.09617879172994434,0.048206241195296484,0.009014156733572087,0.14155804335349853,-0.037268402924754085,0.09963457688468813,-0.026292372003594133,0.10951291800510687,0.09356880303675474,0.2528710966944715,0.05738150864058694,-0.3203327825210436,0.010926793709687188,0.15596580943748412,0.18590625168954944,0.033237093247028615,-0.8991863393891606,-0.08395266561788184,-0.017998482423691065,-0.00485002167597226,0.1517144847988521
S191Fg06,0.047615723835718625,0.09582522359598694,0.07858772388401247,-0.009356637718487132,0.13383427053747368,0.19502324415361078,-0.04991289172369543,0.1890466752103168,0.05157338604555454,0.031868095452808665,0.022734962075603812,-0.8904473601265295,0.12113683958770219,0.0481668872648611,0.07835162429937992,-0.03638398492837813,0.0399939601531617,0.08333762055586186,0.12409051538478309,0.9321133437245187,0.38084170252792576,-0.05817394137829057,0.042551107187812305,0.06030893292234997,0.05397264307665308,0.06556549258163757,0.08771431793816242,0.010263153056824667,0.060755186040433916,0.0019582154927981488
S191Fg07,0.2655446399304617,0.3004347605311536,-0.1405347266331401,-0.025358616625028425,-0.017381351425335395,-0.20521338810908543,-0.47573355314488763,-0.4371564905663551,-0.927695872436996,-0.3115303666763492,0.08919247877348449,0.05675441322834081,-0.018517800049655895,-0.042348334861159735,-0.06031235498592724,-0.04600001784724937,0.22930369289578345,-0.04554274205114055,0.18504338671563378,-0.013783072585471068,0.1832342464020487,-0.06757944300251037,0.15246280550294689,0.1482334182134019,0.013935612233104447,-0.04672339238253184,0.002771646119658318,-0.015818841122692315,-0.1346299760477746,0.06545959372678073
S191Fg10,0.0715910704981038,0.017247501087536605,-0.09735064462960899,-0.03421370194659176,0.08661133327696574,0.2469770554627542,0.059744145645239825,0.3439398275441262,0.07638541879948135,0.03386246075080154,-0.9324999497063676,-0.10458141812922143,-0.03618283119352525,-0.030953248148619245,-0.08870975897154143,-0.08205611549316624,-2.1904189419075237e-4,-0.07390837687607456,-0.08673196202147684,0.012605435581084868,-0.20235469874196688,-0.017292223937927488,0.05861967276969713,0.16705321960544198,0.010272596387308566,0.0861944427927506,0.12721220857293428,-0.02640072118989083,0.17725273135362904,-0.001810867949868178
S191Fg20,0.028935073890997986,0.07275311472657826,0.1260904229320935,0.15685488342674678,-0.9056485757326437,-0.0059553366269081,0.13171496500348182,0.2402846423732863,0.07597447033525233,0.08357885744330146,0.1294424226083904,0.1720259843472009,0.1630688778241048,0.9425720520109289,0.6071593919403783,-0.053573398688103915,0.17694490660785903,0.0701124324921756,0.09504251217148592,0.03332532510658202,0.2963327386513902,0.004048618484006116,0.1587181267437536,0.21674608939926637,0.055611660942495096,0.05408058388544866,0.10458935354231008,-0.005464445279493798,0.12980181458986223,0.06252275251431261
S191Fg23,0.02978141609631897,0.008989830827401329,-0.1485576636965069,-0.049317706323523974,-0.011191820668397847,-0.047290186838114825,0.027721506000973138,0.10344474361448619,0.029684969517564257,-0.02218607185643732,-0.03662588037460104,0.013892073359146896,-0.01902260846256896,-0.020986615049589583,-0.08750228904602676,-0.06279828195020523,0.08769275050696683,-0.1232671781931976,0.001468155469789721,-0.0404867214687632,-0.12098960669929566,0.004194161650892353,0.055511984955899006,0.16234341824221482,0.042794945784065466,-0.009572652357659537,0.06496727405124182,-0.04713153948700184,0.06199992594243668,-0.035571996140088324
S191Fg25,-0.01861532957150762,0.05996241318702796,-0.05424512319723783,0.03603118344295526,0.07531956791010319,-0.006753192369796802,0.14889516179575854,0.2211998642493902,0.022315278077206995,0.010907123607751727,0.04380576698210625,0.13165024798296066,-0.8864087896562188,0.11535000623248859,-0.11767992153194949,0.06566042616126704,0.1278982280796047,-0.013558143895397855,0.04373748903520865,0.01777283336319596,0.08801656237270501,0.9351943387465429,0.16768152446839416,0.2086367622060821,0.06095190377839616,0.07955149313490831,0.0018625862276278546,-1.548833305908639e-4,0.09865140073759034,0.024263560944130513
S191Fg27,-0.05800071600297625,-0.18712105762266673,-0.34491353772193345,-0.890851042738222,0.05869981188247007,-0.24886972881385896,-0.07751196332976876,0.06321656438827103,0.022758998375388,0.002151599029321374,0.14472016178560418,0.08794484588315832,0.03213476987759393,-0.01383752610722853,0.005853507083669104,0.0012438331186373048,0.06499624794773586,-0.10625933430421337,0.17083079171834906,0.04184957481642644,0.19314399110536862,-0.021312416010933196,0.24498335846934338,0.15151056308131758,0.053700735311330766,0.0639450969529919,0.12545946380074438,-0.023391670761355093,0.20126150511289542,0.0964997325259473
