sample,MElightyellow,MEgreen,MEtan,MEgreenyellow,MEgrey60,MEcyan,MEdarkred,MEroyalblue,MEyellow,MEpurple,MEsalmon,MElightgreen,MEblue,MEpink,MEbrown,MElightcyan,MEblack,MEmidnightblue,MEgrey
H181Fg01,0.02504907088293362,-0.002236594404568891,-0.09375480541647543,0.00991893834331326,-0.09556222268505848,-0.13125576030122016,-0.15475176576420402,0.04445722996847612,-0.06413764524159715,0.08675297672424867,0.07348277217472186,0.03465615612910714,0.02242904629377269,0.024106699803977824,0.026457708088825665,0.013635194038359093,-0.0958391899333682,0.06058724165379993,0.04811705649898209
H181Fg02,0.011441337100312254,0.10925846842235556,0.03164475601769112,0.11024522601141257,0.22670668303341535,-0.02002245190697871,0.0672551713294618,0.0016881238005610477,2.0404417717878598e-4,0.1346481904573409,0.0910170650313109,0.05332002792447388,0.04410258611703366,0.0587535040009014,0.05588299022046894,0.019060634997293602,0.05392834655169798,0.055389240886675184,0.03313798661011935
H181Fg07,-0.1267184716216048,0.01668010929828101,-0.18315706538572835,-0.081751675210321,-0.022602275565936913,-0.2237282913116422,-0.28485186954173575,-0.07387944105758806,-0.18826654103637347,0.09659308567592487,0.07331161129492292,0.02006800678508991,-0.08403427613584935,-0.09477525077413151,-0.042629056235309326,-0.13373231995225676,-0.10497322897430372,-0.07226629692685382,-0.19805469471805415
H181Fg08,-0.3009428680411467,-0.005274649287693889,-0.10065183940301464,-0.01848687304497798,0.03176626152568339,-0.16411506851008995,-0.027989465805686328,0.019851019080443774,0.038237094320397465,0.15086202773831225,0.044645064632624853,0.03667275286522596,-0.01497684006709079,0.0032893249775557687,0.019177626662945237,0.047440177918160555,-0.05338334122273998,-0.04906974743731379,-0.09930425277904828
H181Fg09,-9.361826222950688e-4,0.054234291968295226,-0.03212170539552645,0.12273467732427001,-0.003953037627765637,-0.045410312022385164,-0.1459411362077051,0.023627371244612297,-0.12475132023099146,0.08297290477592636,0.039043888184140285,0.018200791388045322,0.022374424119184905,0.0073093864995942065,0.03161634152594687,0.14007099074045057,0.08893732218509864,0.019462955115147125,0.052450990763993954
H181Fg14,-0.21349073645576788,-0.04248474398427736,-0.18316248860923634,0.12776356838847913,-0.005280131663265146,-0.027978644685845995,-0.05262137451867451,-0.021659493283239507,-0.0753899757281824,0.017756507829703744,-0.026666665504621136,0.025394374820732788,-0.05419335659495016,-0.07521580385415683,-0.03482801699324605,-0.10754461205912977,-0.09329103926397249,-0.04421841372178415,-0.18730583356281005
H181Fg28,-0.06955786930072583,0.03323937648779328,-0.1098018077923543,0.025060554556535882,-0.15526800413753,-0.05809517355072885,-0.20842754724498497,0.026204200153745135,-0.20651718142190237,0.023697844130573534,-0.023540178102643725,0.007740191732532971,0.042791403394014646,-0.02898318066439141,0.014877162995061104,0.11835011607289316,0.42968519716610676,0.043009278643540136,0.033608784213057005
H181Fg30,-0.10032074221527751,-0.06957512425260955,-0.19487218988333613,0.18476814000168718,-0.04845858682638709,-0.02313471458717502,-0.10683527547074312,0.025613210913910382,-0.10768061252137086,-0.0147049228450109,-0.05932771010010662,0.03713499860947874,0.02208079395550024,-0.006309479449517908,0.012650603356547063,-0.08615042629986512,-0.00858885031764726,0.048433881066584285,-0.04069255236624945
H181Fg37,-0.15402908203902438,-0.09855769573597015,-0.09113606388228417,0.09883452925287797,-0.029309857522181227,-0.015174730836847191,-0.0761651154799672,0.007889264512749662,-0.1253957742951659,0.016964981352729454,-0.05727281261137716,0.031034729308404035,0.04521437714925224,0.009310163177637481,0.032308541078472995,-0.011932926828943027,0.1792581123189521,0.037595760557056386,-0.00417420830354864
H181Fg42,-0.37185908912628374,-0.03370875470868356,0.01152472066996887,-0.009406883048776049,-0.025787465204292898,-0.11407351671313738,-0.007988376848771506,-0.010026466756351637,-0.005991131503881635,0.0834866418917978,-0.003316791052384013,0.05796054491963904,0.022484888113033237,-0.0049746992823919076,0.02363042161725208,0.04339679563290319,0.1839643235023728,-0.03460576215646838,-0.0440559804609633
