sample,MEturquoise,MEblue,MEbrown,MEgrey,RGR.change,growth.change
H183Fg01,-0.104952291,-0.03779631,0.007617979,-0.104780305,0.00522835,0.057880023
H183Fg07,-0.150406827,-0.003113311,0.012076337,0.055741115,0.00063523,0.008085469
H183Fg08,-0.195804102,0.064982183,0.050796827,0.25162718,0.005299499,0.173517817
H183Fg09,-0.177607406,0.019855227,0.032968647,0.071538312,0.014899257,0.093252397
H183Fg14,-0.236005554,-0.005255607,0.018032607,0.059742417,0.003308448,0.070748795
H183Fg25,-0.228263207,0.622344196,0.044945825,0.184926662,0.00026222,0.012769563
H183Fg28,-0.152808222,-0.001226148,0.007855364,0.096325826,0.008715511,0.065038156
H183Fg29,-0.175322693,0.038842948,0.034247834,0.518688093,0.001329454,0.03316494
H183Fg30,-0.175193264,-0.040131193,-0.016280482,0.018881349,0.001949472,0.079633171
H183Fg32,-0.052052693,-0.027473876,0.012946538,0.038064559,0.000464312,0.017853345
H183Fg36,-0.182500472,-0.041654905,-0.016874484,0.048538569,0.001022942,0.01907253
H183Fg37,-0.117121205,0.69169656,0.060393591,-0.144617233,0.000683451,0.020407174
H183Fg42,-0.192661705,-0.050377193,0.012247883,0.10605692,0.000694277,0.043417845
H183Fg43,-0.122153452,-0.04829646,0.027663022,-0.171044175,0.003270811,0.050722367
H183Fg45,-0.171979721,0.014457694,0.025497769,0.036504259,-0.001145573,-0.012776326
H183Fg46,-0.187190529,-0.023751368,-9.77E-04,0.273150175,-0.00325384,-0.024157866
S183Fg02,0.197486078,-0.060162853,0.053479133,-0.107389789,0.000126371,0.00278093
S183Fg03,0.155724933,-0.057665801,0.033671169,-0.07922553,-0.026756073,-0.258608106
S183Fg05,0.333009823,0.025347116,0.254478777,-0.296162829,-0.000974156,-0.02295016
S183Fg07,0.289952637,-6.68E-04,0.129147879,-0.20631786,-0.001233259,-0.01689413
S183Fg10,0.266036229,-0.095929832,-0.030816811,-0.007699402,-0.000938263,-0.08170795
S183Fg20,0.16490231,-0.067827518,0.01015051,-0.245237933,0.000244275,0.01866306
S183Fg23,0.128647989,-0.055161596,0.064376056,-0.057957327,-0.000566225,-0.02037257
S183Fg25,0.11373093,-0.119450115,-0.052270085,-0.198063282,-0.000300254,-0.01391998
S183Fg27,0.165612846,-0.098396075,0.006426366,-0.077073516,-0.000751632,-0.02271544
S183Fg28,0.154788659,-0.091478788,0.008168362,-0.029321986,0.000879741,0.01761649
S183Fg29,0.223831782,-0.072052041,0.00278637,-0.292087867,0.000579608,0.03137012
S183Fg36,-0.002065039,-0.159120094,-0.939247559,-0.047931721,-0.006264631,-0.08832613
S183Fg39,0.102786748,-0.060916568,-0.001193419,0.029442004,-0.003014777,-0.0746269
S183Fg42,0.149036624,-0.043017442,0.087297311,-0.015874491,4.28E-05,0.00300268
S183Fg44,0.117775701,-0.090641638,0.057661422,-0.042584109,-0.000047002,-0.00244251
S183Fg45,0.060765096,-0.125961579,0.002725836,0.334141915,-0.004505197,-0.11779295
