sample,MElightcyan,MEgreenyellow,MEorange,MEmidnightblue,MEgrey60,MEblue,MEdarkred,MEdarkturquoise,MEbrown,MEyellow,MEdarkgreen,MElightyellow,MEcyan,MEsalmon,MEdarkorange,MElightgreen,MEpurple,MEdarkgrey,MEmagenta,MEblack,MEwhite,MEgrey
S181Fg02,-0.1431534900370209,0.03813842727691102,0.14910717433766982,0.021707912032729326,-0.07641841776272748,0.1401278879971844,0.08253003113847382,0.0015946584387449166,-0.015746155630105212,0.055795900864343884,0.02257595248654066,0.004865566437144233,-0.10193614011455822,-0.08944209483100263,-0.10934900778067862,0.0167904880988121,-0.15853834064049704,0.006703253711027198,0.07578472159215888,-0.26223701789984527,-0.11973212044259132,-0.13054486044773878
S181Fg03,-0.11843301911727377,0.276263328353213,0.1813678703167233,0.013277170753736578,-0.004976791808222192,0.06498445882374182,0.2407220356780424,0.01855210526422007,-0.07573713568337237,0.01636548868784715,0.004913710189801579,-0.02810869106440715,-0.07105639928960805,-0.1035538266942102,-0.13418271803785176,-0.20779115649639873,-0.29922707077951216,0.033970031057972194,-0.3321413779753378,-0.1203098731956962,-0.05013524815442194,-0.1241002763377862
S181Fg05,0.025954221803082822,0.39772559537832164,0.03384612335544887,-0.04832218113507025,-0.07100725682699272,0.038977606611969084,0.25114159202076164,0.09319660526468482,-0.12786839510836812,0.004608746486756077,-0.0340890997102985,-0.008073859880989742,-0.09315670187263742,-0.14187459810035596,-0.26508969500205887,-0.34575044223672335,-0.3204169122756899,-0.09402851790061517,-0.3254500090100617,-0.07192444215577137,0.02044742030782498,-0.09408818952413378
S181Fg06,0.025156248814770917,0.10143903150912673,0.14369313887010438,0.15653742666629006,0.9280196106096175,0.3015107063350636,0.48524296374587494,0.2271475538180442,0.19412464565079873,0.17760497315647467,0.5818429921922607,0.19184615110932407,0.01897432344099779,0.08563545056109263,0.0703283074818379,0.10927410802474366,0.007805499789863619,0.07482501811976083,-0.4321471451023986,0.06846866560682521,0.029885094918795208,0.19955834827443863
S181Fg07,-0.0399130140251281,0.2756687310679837,0.031062018376910274,-0.08460973990783063,0.03892014049754966,0.09131155347015951,0.3368009614203474,-0.05678610745858223,-0.07488327567758643,0.061490720782286346,0.004368707093893469,-0.024671230266258955,-0.09544284762506657,-0.07912866736758406,-0.2896267937566235,-0.23040580887127762,-0.3256983257806719,-0.9318156258485849,-0.30505233666478865,0.031964038651594945,-0.021637486016041773,0.06710344624619335
S181Fg10,0.037630613643819394,0.05392745879015042,-0.20910439757480867,0.16757992617401468,0.09196488029156888,0.1180859104516302,0.24296395163493092,-0.0028891895910644304,0.024422144402034503,0.04921285878314297,0.09537477716621981,0.05024523916619183,-0.007199303360265505,0.033572033749287467,-0.04574678594339963,-0.09729345930607339,-0.0450680463557254,0.08648622117595058,-0.3751547114443159,0.0434532248671194,0.0349585445459577,0.1635198030328508
S181Fg18,-0.10548092949317624,0.27854809024243715,-0.028247926142422986,-0.14485290671069756,-0.13529031572585334,-0.015874895816374853,0.09293773303906298,-0.02177450858928792,-0.19439652588113646,-0.05826234530887405,-0.15361905301034115,-0.14338608842486397,-0.163283220385735,-0.198445043400737,-0.1422710123547046,-0.37752809453698405,-0.2933337038348769,-0.028120309335763555,-0.036742723486510455,-0.15542264761337712,-0.07286038570033426,-0.1466403282060379
S181Fg20,0.047144234100320564,-0.06368861698644329,-0.13429232102332003,0.11871883824016873,0.028248177506235695,0.3294746549717488,0.04808578527213062,0.2494931590521664,0.7836109413721853,0.0731649574011586,0.12722635335756913,0.018547217568117228,0.048139073751838825,0.2437092134453726,-0.047167480248596086,0.14541114033889346,0.08014107266291555,0.10712638486919925,0.30387799561505036,-0.1665787065769271,0.06371281323750712,0.16147214165895252
S181Fg23,-0.06699674839613795,0.18663779154937765,-0.011651161724446817,-0.031070527006641292,-0.09768063558120449,-0.0019465387264429959,0.11641736268968286,-0.16036211000607675,-0.12633744581880796,0.019712469933626842,-0.06533160475042415,-0.09244578411541197,-0.0631137068979678,-0.16079026776697014,-0.13174198717133567,-0.26657809349386075,-0.18063332427974332,-0.02215994964114607,0.01339663461759969,-0.03659582524747858,-0.06949134872420329,-0.12437290847966331
S181Fg25,0.04496946491246376,0.09661428438781519,-0.20144999086467527,0.046821454281094826,0.12294550612893025,0.20519803505137224,0.05386287833669053,0.12000489809709612,0.1428287480281502,0.14275136415849843,-0.030384164092005492,0.12979898052818334,0.03192914923537676,0.05350938738117267,-0.026069436110549328,-0.04228839305695824,0.08636348467348327,0.06825709141787739,0.24137830819780529,0.15270808358007068,0.014569064824094083,0.220126581834945
